stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,0.99,8.322,0.99,399.09,399.09,0.58,49.86,307.69,54.407,274.58,50.631,0.16,8.32,100.20,12.868,67.09,9.091,0.49,41.64,248.95,43.910,248.95,43.910,0.49,41.64,248.95,43.910,248.95,43.910
Average,1:1,3,1.50,25.975,1.50,643.72,643.72,1.08,68.53,567.36,77.145,514.61,71.274,0.55,25.97,338.10,38.300,217.03,25.874,1.00,63.28,500.59,68.301,500.59,68.301,1.00,63.28,500.59,68.301,500.59,68.301
Average,1:1,4,2.00,42.310,2.00,893.05,893.05,1.57,77.35,825.75,87.679,749.58,80.202,1.02,42.31,619.13,59.452,401.75,39.893,1.51,74.18,754.99,80.130,754.99,80.130,1.51,74.18,754.99,80.130,754.99,80.130
Average,1:1,5,2.50,54.082,2.50,1137.71,1137.71,2.05,81.82,1077.60,92.634,981.06,84.673,1.50,54.08,900.67,73.150,610.47,50.462,2.00,79.63,1001.25,85.817,1001.25,85.817,2.00,79.63,1001.25,85.817,1001.25,85.817
Average,1:1,10,4.99,78.712,4.99,2383.86,2383.86,4.52,90.55,2345.14,98.252,2188.36,91.738,3.99,78.71,2249.35,93.853,1755.78,73.366,4.49,89.81,2250.84,94.104,2250.84,94.104,4.49,89.81,2250.84,94.104,2250.84,94.104
Average,1:1,15,7.49,86.146,7.49,3625.01,3625.01,7.01,93.59,3597.04,99.195,3414.56,94.179,6.49,86.14,3532.23,97.316,2960.61,81.600,6.99,93.29,3495.25,96.299,3495.25,96.299,6.99,93.29,3495.25,96.299,3495.25,96.299
Average,1:1,25,12.48,91.816,12.48,6114.35,6114.35,11.99,96.08,6096.44,99.701,5890.20,96.342,11.48,91.81,6057.09,99.044,5418.20,88.641,11.98,95.99,5987.06,97.875,5987.06,97.875,11.98,95.99,5987.06,97.875,5987.06,97.875
Average,1:1,50,24.99,95.957,24.99,12363.53,12363.53,24.49,98.01,12354.00,99.922,12125.21,98.073,23.99,95.95,12334.35,99.761,11643.54,94.182,24.49,98.00,12237.62,98.973,12237.62,98.973,24.49,98.00,12237.62,98.973,12237.62,98.973
Average,1:1,100,49.98,97.989,49.98,24846.57,24846.57,49.49,99.00,24841.74,99.980,24605.62,99.030,48.98,97.98,24831.73,99.940,24109.76,97.038,49.49,99.00,24721.79,99.495,24721.79,99.495,49.49,99.00,24721.79,99.495,24721.79,99.495
Average,1:1,500,250.03,99.599,250.03,124741.15,124741.15,249.53,99.80,124740.15,99.999,124490.96,99.799,249.03,99.59,124738.17,99.997,123995.02,99.402,249.52,99.79,124615.12,99.898,124615.12,99.898,249.52,99.79,124615.12,99.898,124615.12,99.898
Average,1:1,1000,500.05,99.799,500.05,249630.78,249630.78,499.55,99.90,249630.29,99.999,249383.62,99.901,499.05,99.79,249629.30,99.999,248890.40,99.703,499.54,99.89,249504.65,99.949,249504.65,99.949,499.54,99.89,249504.65,99.949,249504.65,99.949
