stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,0.99,8.298,0.99,99198.39,99198.39,0.55,47.48,77571.73,52.335,70077.50,48.870,0.16,8.31,26133.63,13.174,18639.39,9.710,0.50,41.91,72519.41,45.189,72519.41,45.189,0.50,41.89,72519.41,45.189,72519.41,45.189
Average,1:1,3,1.49,25.758,1.49,156047.34,156047.34,1.05,66.92,140242.23,76.740,129438.33,71.207,0.54,25.79,87036.60,39.247,63074.94,28.168,1.00,63.59,135171.03,70.697,135171.03,70.697,1.00,63.55,135171.03,70.697,135171.03,70.697
Average,1:1,4,1.99,42.042,2.00,212641.31,212641.31,1.54,76.00,199775.11,88.055,185309.35,81.358,1.01,42.07,155371.47,61.250,115219.25,44.347,1.49,73.84,194706.20,82.661,194706.20,82.661,1.49,73.80,194706.20,82.661,194706.20,82.661
Average,1:1,5,2.49,53.885,2.49,263059.23,263059.23,2.03,81.28,253038.07,93.226,237893.08,86.560,1.50,53.91,217042.63,74.929,165307.75,55.283,1.99,79.48,246886.63,88.267,246886.63,88.267,1.99,79.43,246886.63,88.267,246886.63,88.267
Average,1:1,10,4.98,78.657,4.98,551755.03,551755.03,4.51,90.46,546168.49,98.648,523967.06,93.658,3.98,78.67,529845.54,94.986,450903.97,78.386,4.49,90.23,539181.77,96.045,539181.77,96.045,4.49,90.17,539181.77,96.045,539181.77,96.045
Average,1:1,15,7.49,86.139,7.50,842190.52,842190.52,7.01,93.51,838300.65,99.404,813149.45,95.697,6.50,86.14,828485.45,97.902,744442.98,85.636,7.00,93.38,830628.82,97.564,830628.82,97.564,7.00,93.32,830628.82,97.564,830628.82,97.564
Average,1:1,25,12.50,91.830,12.51,1423835.99,1423835.99,12.02,96.07,1421599.38,99.788,1395947.68,97.409,11.51,91.83,1416256.32,99.291,1331540.36,91.561,12.01,96.08,1412902.92,98.655,1412902.92,98.655,12.01,96.00,1412902.92,98.655,1412902.92,98.655
Average,1:1,50,24.98,95.956,25.00,2850196.49,2850196.49,24.50,98.01,2849041.13,99.945,2821375.08,98.659,24.00,95.95,2846382.91,99.824,2756209.25,95.718,24.50,98.05,2839811.39,99.363,2839811.39,99.363,24.50,97.99,2839811.39,99.363,2839811.39,99.363
Average,1:1,100,49.96,97.988,49.99,5709580.19,5709580.19,49.48,98.97,5708980.73,99.986,5679565.50,99.313,48.99,97.98,5707695.88,99.957,5616001.49,97.881,49.49,99.06,5699822.92,99.693,5699822.92,99.693,49.49,98.99,5699822.92,99.693,5699822.92,99.693
Average,1:1,500,249.94,99.599,250.10,28652854.14,28652854.14,249.56,99.78,28652745.43,99.999,28625674.83,99.864,249.10,99.59,28652515.21,99.998,28568225.08,99.592,249.60,99.86,28643496.35,99.939,28643496.35,99.939,249.60,99.79,28643496.35,99.939,28643496.35,99.939
Average,1:1,1000,499.87,99.799,500.20,57259565.24,57259565.24,499.63,99.88,57259516.40,99.999,57235120.96,99.936,499.20,99.79,57259406.72,99.999,57180314.97,99.807,499.70,99.96,57250379.28,99.970,57250379.28,99.970,499.70,99.89,57250379.28,99.970,57250379.28,99.970
