stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
TSLA,4:3:2:1,3,3,3,318330,2,66.666,226402.67,71.122,2,66.666,215354.03,67.651
TSLA,4:3:2:1,4,4,4,407612,3,75.0,324812.5,79.687,3,75.0,310208.8,76.104
TSLA,4:3:2:1,5,5,5,478274,4,80.0,410435.6,85.816,4,80.0,389136.24,81.363
TSLA,4:3:2:1,10,10,10,779833,9,90.0,728216.4,93.381,9,90.0,708579.27,90.863
TSLA,4:3:2:1,15,15,15,1179871,14,93.333,1128176.07,95.619,14,93.333,1108338.79,93.937
TSLA,4:3:2:1,25,25,25,1947049,24,96.0,1895420.2,97.348,24,96.0,1876219.91,96.362
TSLA,4:3:2:1,50,50,50,3532203,49,98.0,3492825.8,98.885,49,98.0,3471023.34,98.268
TSLA,4:3:2:1,100,100,100,7419497,99,99.0,7380346.46,99.472,99,99.0,7355598.03,99.139
TSLA,4:3:2:1,500,252,252,28269038,251,99.603,28173697.87,99.663,251,99.603,28161056.38,99.618
TSLA,4:3:2:1,1000,409,409,235759552,409,100.0,235759552.0,100.0,409,100.0,235759552.0,100.0
TSLA,4:3:2:1,2000,1284,1284,1326867282,1284,100.0,1326867282.0,100.0,1284,100.0,1326867282.0,100.0
TSLA,4:3:2:1,5000,3560,3560,4419914582,3560,100.0,4419914582.0,100.0,3560,100.0,4419914582.0,100.0
TSLA,4:3:2:1,10000,3692,3692,5061738710,3692,100.0,5061738710.0,100.0,3692,100.0,5061738710.0,100.0
TSLA,4:3:2:1,20000,3692,3692,5061738710,3692,100.0,5061738710.0,100.0,3692,100.0,5061738710.0,100.0
TSLA,4:3:2:1,20528,3692,3692,5061738710,3692,100.0,5061738710.0,100.0,3692,100.0,5061738710.0,100.0
WFC,4:3:2:1,2,2,2,34547,1,50.0,18723.0,54.196,1,50.0,17559.76,50.829
WFC,4:3:2:1,3,3,3,50685,1,33.333,17445.67,34.42,2,66.666,34048.77,67.177
WFC,4:3:2:1,4,4,4,67229,2,50.0,34285.5,50.998,3,75.0,50671.14,75.371
WFC,4:3:2:1,5,5,5,83359,3,60.0,51348.4,61.599,4,80.0,66909.91,80.267
WFC,4:3:2:1,10,10,10,162147,9,90.0,146995.3,90.656,9,90.0,146267.43,90.207
WFC,4:3:2:1,15,15,15,238334,14,93.333,223422.53,93.743,14,93.333,222761.77,93.466
WFC,4:3:2:1,25,25,25,396981,24,96.0,382748.6,96.415,24,96.0,381616.58,96.13
WFC,4:3:2:1,50,50,50,853487,49,98.0,839930.64,98.412,49,98.0,837428.13,98.118
WFC,4:3:2:1,100,100,100,1880966,99,99.0,1867634.69,99.291,99,99.0,1863659.56,99.08
WFC,4:3:2:1,500,500,500,11349935,498,99.6,11315123.4,99.693,499,99.8,11329881.6,99.823
WFC,4:3:2:1,1000,1000,1000,18044272,998,99.8,18037779.67,99.964,999,99.9,18030318.94,99.923
WFC,4:3:2:1,2000,1609,1609,29061767,1606,99.813,29036727.88,99.914,1608,99.937,29047076.92,99.949
