stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1:1:1:1,2,1.00,5.303,1.00,1505.79,1505.79,0.53,48.33,1082.98,51.029,1082.98,51.029,0.53,48.33,1082.98,51.029,1082.98,51.029
Average,1:1:1:1:1,3,1.47,24.747,1.47,2438.52,2438.52,1.01,68.08,2096.12,75.891,2096.12,75.891,1.01,68.08,2096.12,75.891,2096.12,75.891
Average,1:1:1:1:1,4,1.99,44.015,1.99,3329.18,3329.18,1.43,71.89,2877.05,82.306,2877.05,82.306,1.43,71.89,2877.05,82.306,2877.05,82.306
Average,1:1:1:1:1,5,2.49,55.924,2.49,4400.39,4400.39,1.99,79.81,4022.62,89.372,4022.62,89.372,1.99,79.81,4022.62,89.372,4022.62,89.372
Average,1:1:1:1:1,10,5.02,79.285,5.02,9297.39,9297.39,4.55,90.90,8982.14,96.463,8982.14,96.463,4.55,90.90,8982.14,96.463,8982.14,96.463
Average,1:1:1:1:1,15,7.57,86.487,7.57,14490.35,14490.35,7.08,93.54,14157.33,97.613,14157.33,97.613,7.08,93.54,14157.33,97.613,14157.33,97.613
Average,1:1:1:1:1,25,12.46,91.854,12.46,24517.66,24517.66,11.97,96.16,24193.63,98.688,24193.63,98.688,11.97,96.16,24193.63,98.688,24193.63,98.688
Average,1:1:1:1:1,50,24.87,95.953,24.87,48937.68,48937.68,24.34,97.87,48591.27,99.291,48591.27,99.291,24.34,97.87,48591.27,99.291,48591.27,99.291
Average,1:1:1:1:1,100,50.17,98.001,50.17,99578.76,99578.76,49.70,99.06,99283.76,99.702,99283.76,99.702,49.70,99.06,99283.76,99.702,99283.76,99.702
Average,1:1:1:1:1,500,250.43,99.600,250.43,499398.42,499398.42,249.94,99.80,499109.21,99.941,499109.21,99.941,249.94,99.80,499109.21,99.941,499109.21,99.941
Average,1:1:1:1:1,1000,498.73,99.799,498.73,995016.62,995016.62,498.23,99.90,994710.96,99.969,994710.96,99.969,498.23,99.90,994710.96,99.969,994710.96,99.969
