stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,1.07,10.909,1.07,447.77,447.77,0.64,53.63,340.02,59.122,289.57,53.700,0.21,10.90,128.81,16.395,78.37,10.972,0.50,39.69,264.72,42.604,264.72,42.604,0.50,39.69,264.72,42.604,264.72,42.604
Average,1:1,3,1.56,27.626,1.56,676.52,676.52,1.09,67.32,592.59,77.012,532.10,70.489,0.60,27.62,366.59,40.406,232.84,27.276,1.03,64.14,518.00,69.202,518.00,69.202,1.03,64.14,518.00,69.202,518.00,69.202
Average,1:1,4,2.02,42.222,2.02,922.92,922.92,1.61,78.63,859.97,88.617,789.02,82.006,1.03,42.22,648.09,59.527,426.39,40.469,1.50,73.88,772.72,80.289,772.72,80.289,1.50,73.88,772.72,80.289,772.72,80.289
Average,1:1,5,2.48,53.878,2.48,1123.14,1123.14,2.00,80.64,1054.14,92.224,942.39,82.897,1.49,53.87,889.43,73.195,600.80,50.497,2.00,80.41,994.45,86.155,994.45,86.155,2.00,80.41,994.45,86.155,994.45,86.155
Average,1:1,10,5.07,79.097,5.07,2402.90,2402.90,4.60,90.87,2371.88,98.595,2237.92,93.056,4.07,79.09,2278.44,94.409,1805.88,75.054,4.54,89.44,2266.22,93.965,2266.22,93.965,4.54,89.44,2266.22,93.965,2266.22,93.965
Average,1:1,15,7.38,85.929,7.38,3523.93,3523.93,6.90,93.54,3496.92,99.237,3318.18,94.386,6.38,85.92,3429.87,97.224,2865.84,81.317,6.90,93.58,3396.94,96.419,3396.94,96.419,6.90,93.58,3396.94,96.419,3396.94,96.419
Average,1:1,25,12.37,91.711,12.37,6100.23,6100.23,11.89,96.12,6081.08,99.683,5862.80,96.144,11.37,91.71,6042.11,99.014,5405.54,88.548,11.85,95.88,5967.30,97.821,5967.30,97.821,11.85,95.88,5967.30,97.821,5967.30,97.821
Average,1:1,50,25.36,96.017,25.36,12618.04,12618.04,24.87,98.08,12607.52,99.915,12349.31,97.852,24.36,96.01,12584.56,99.733,11780.63,93.385,24.95,98.39,12513.84,99.173,12513.84,99.173,24.95,98.39,12513.84,99.173,12513.84,99.173
Average,1:1,100,50.32,98.003,50.32,24992.42,24992.42,49.85,99.05,24987.86,99.981,24764.74,99.085,49.32,98.00,24976.10,99.934,24173.61,96.741,49.86,99.08,24878.34,99.543,24878.34,99.543,49.86,99.08,24878.34,99.543,24878.34,99.543
Average,1:1,500,250.11,99.599,250.11,124813.44,124813.44,249.64,99.81,124812.44,99.999,124565.04,99.800,249.11,99.59,124810.35,99.997,124040.94,99.381,249.64,99.81,124695.67,99.905,124695.67,99.905,249.64,99.81,124695.67,99.905,124695.67,99.905
Average,1:1,1000,500.07,99.799,500.07,249471.46,249471.46,499.58,99.90,249470.92,99.999,249200.67,99.890,499.07,99.79,249469.95,99.999,248716.07,99.697,499.56,99.89,249342.51,99.948,249342.51,99.948,499.56,99.89,249342.51,99.948,249342.51,99.948
