iterations,recipe,numofagents,meanoptimalcount,meanoptimalkmin,meanoptimalkmax,gftformula,meanauctioncount,countratio,meanoptimalgft,meanauctiontotalgft,totalgftratio
5000,[0- [1- None- 2- [3- None]]],2,1,0.83,0.83,0.000,0.28,27.632,746.5,293.4,39.308
5000,[0- [1- None- 2- [3- None]]],4,2,1.14,1.36,15.254,1.15,57.473,1700.5,1273.5,74.888
5000,[0- [1- None- 2- [3- None]]],6,3,1.33,1.94,31.973,2.14,71.135,2712.1,2367.3,87.29
5000,[0- [1- None- 2- [3- None]]],10,5.01,2.01,3.05,50.617,4.12,82.351,4690,4454.2,94.972
5000,[0- [1- None- 2- [3- None]]],16,8,3.32,4.69,64.851,7.12,88.996,7656.9,7500.9,97.962
5000,[0- [1- None- 2- [3- None]]],26,12.95,5.6,7.36,76.077,12.08,93.272,12598,12499.6,99.218
5000,[0- [1- None- 2- [3- None]]],50,25.06,11.3,13.76,86.450,24.17,96.448,24696.5,24641.5,99.777
5000,[0- [1- None- 2- [3- None]]],100,49.88,23.22,26.66,92.769,49.01,98.24,49497.6,49470.3,99.945
5000,[0- [1- None- 2- [3- None]]],500,250.15,121.14,129.01,98.462,249.28,99.65,249506.7,249501.4,99.998
5000,[0- [1- None- 2- [3- None]]],1000,499.88,244.48,255.39,99.220,499.01,99.826,498886.5,498883.8,99.999
5000,[0- [1- None- 2- [3- None]]],2000,1000.27,492.45,507.82,99.607,999.4,99.913,998838.5,998837.1,99.999
5000,[0- [1- None- 2- [3- None]]],5000,2499.69,1237.69,1262,99.842,2498.82,99.965,2496824.3,2496823.7,99.999
