iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionwithoutgftzerocountratio,SBBExternalCompetitionwithoutgftzerototalgft,SBBExternalCompetitionwithoutgftzerototalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPriceswithoutgftzerocountratio,SBBAscendingPriceswithoutgftzerototalgft,SBBAscendingPriceswithoutgftzerototalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
303,Average,1:4,2,0.99,3.053,0.99,165460.04,165460.04,0.67,62.76,135154.70,62.889,62.76,135154.70,62.889,135154.70,62.889,0.67,62.76,135154.70,62.889,62.76,135154.70,62.889,135154.70,62.889
303,Average,1:4,3,1.49,16.870,1.49,266884.61,266884.61,1.16,79.12,234821.33,82.545,79.12,234821.33,82.545,234821.33,82.545,1.16,79.12,234821.33,82.545,79.12,234821.33,82.545,234821.33,82.545
303,Average,1:4,4,1.98,29.938,1.98,365548.48,365548.48,1.66,85.28,334428.85,89.711,85.28,334428.85,89.711,334428.85,89.711,1.66,85.28,334428.85,89.711,85.28,334428.85,89.711,334428.85,89.711
303,Average,1:4,5,2.49,40.356,2.49,465020.85,465020.85,2.16,87.77,433357.87,92.205,87.77,433357.87,92.205,433357.87,92.205,2.16,87.77,433357.87,92.205,87.77,433357.87,92.205,433357.87,92.205
303,Average,1:4,10,5.01,65.894,5.01,970671.62,970671.62,4.69,93.87,939163.89,96.595,93.87,939163.89,96.595,939163.89,96.595,4.69,93.87,939163.89,96.595,93.87,939163.89,96.595,939163.89,96.595
303,Average,1:4,15,7.51,76.092,7.51,1469782.64,1469782.64,7.19,95.82,1438151.18,97.770,95.82,1438151.18,97.770,1438151.18,97.770,7.19,95.82,1438151.18,97.770,95.82,1438151.18,97.770,1438151.18,97.770
303,Average,1:4,25,12.48,84.995,12.48,2467344.78,2467344.78,12.16,97.53,2435977.94,98.704,97.53,2435977.94,98.704,2435977.94,98.704,12.16,97.53,2435977.94,98.704,97.53,2435977.94,98.704,2435977.94,98.704
303,Average,1:4,50,25.00,92.263,25.00,4969142.34,4969142.34,24.68,98.74,4937738.58,99.361,98.74,4937738.58,99.361,4937738.58,99.361,24.68,98.74,4937738.58,99.361,98.74,4937738.58,99.361,4937738.58,99.361
303,Average,1:4,100,49.97,96.064,49.97,9962321.02,9962321.02,49.66,99.38,9931653.68,99.690,99.38,9931653.68,99.690,9931653.68,99.690,49.66,99.38,9931653.68,99.690,99.38,9931653.68,99.690,9931653.68,99.690
303,Average,1:4,500,249.99,99.202,249.99,49963848.99,49963848.99,249.67,99.87,49932213.37,99.936,99.87,49932213.37,99.936,49932213.37,99.936,249.67,99.87,49932213.37,99.936,99.87,49932213.37,99.936,49932213.37,99.936
303,Average,1:4,1000,499.96,99.600,499.96,99955925.60,99955925.60,499.66,99.93,99925514.82,99.969,99.93,99925514.82,99.969,99925514.82,99.969,499.66,99.93,99925514.82,99.969,99.93,99925514.82,99.969,99925514.82,99.969
