stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
INTC,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,15,7.8,7.8,3112554.8,7.2,92.937,3032428.2,97.335,7.3,93.394,3044580.5,97.786
INTC,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,25,12.9,12.9,5302596.3,12.4,95.663,5225171.9,98.499,12.4,95.937,5238456.8,98.771
INTC,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,50,25.6,25.6,10680906.1,25.0,97.575,10584562.3,99.09,25.0,97.87,10613928.1,99.369
INTC,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,100,50.7,50.7,21586115.3,50.0,98.651,21465223.2,99.437,50.2,98.911,21517611.8,99.68
INTC,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,500,250.4,250.4,108031021.9,249.3,99.56,107744988.3,99.735,249.8,99.78,107961192.9,99.935
INTC,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,1000,499.9,499.9,216498021.2,498.5,99.717,216098100.4,99.815,499.4,99.893,216431547.0,99.969
INTC,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,2000,1000.7,1000.7,433149948.6,998.8,99.806,432568525.0,99.865,1000.2,99.947,433085560.3,99.985
J,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,2,0.9,0.9,484545.6,0.5,46.5,403033.8,49.674,0.5,47.5,410786.4,50.752
J,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,3,1.3,1.3,789724.0,0.9,66.766,688301.9,72.385,0.9,68.099,701762.9,73.926
J,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,4,1.9,1.9,1085946.5,1.4,73.641,984783.5,83.402,1.4,75.174,1000913.4,85.163
J,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,5,2.3,2.3,1437553.8,1.9,82.341,1366790.2,91.948,1.9,83.908,1383615.6,93.754
J,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,10,4.7,4.7,3060529.0,4.2,89.768,2970528.0,96.697,4.3,91.077,3008342.2,98.099
J,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,15,7.1,7.1,4745200.6,6.7,93.371,4652360.0,97.911,6.7,94.508,4700628.8,99.027
J,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,25,12.0,12.0,8019603.0,11.4,95.546,7906079.0,98.493,11.6,96.577,7982792.7,99.526
J,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,50,24.5,24.5,16274381.6,23.8,97.393,16106051.3,98.912,24.0,98.259,16237763.6,99.782
J,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,100,49.1,49.1,32702465.8,48.4,98.564,32472041.7,99.266,48.7,99.224,32675644.9,99.918
J,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,500,247.6,247.6,164944021.1,246.5,99.534,164508763.2,99.734,247.1,99.799,164916287.3,99.983
J,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,1000,497.2,497.2,331383557.5,495.8,99.699,330788577.3,99.82,496.7,99.888,331352630.1,99.99
J,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,2000,996.4,996.4,662487190.7,994.3,99.792,661580887.7,99.863,995.8,99.943,662457429.0,99.995
JBLU,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,2,1.0,1.0,123721.4,0.5,49.5,98559.8,53.124,0.6,49.8,99084.1,53.502
JBLU,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,3,1.5,1.5,207323.7,1.0,67.483,178008.0,76.741,1.0,68.233,179517.8,77.534
JBLU,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,4,2.0,2.0,286953.9,1.5,74.949,257319.8,86.547,1.5,75.349,258706.5,87.068
JBLU,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,5,2.5,2.5,368620.2,2.0,80.013,339426.7,90.013,2.0,81.446,343603.6,91.626
JBLU,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,10,5.0,5.0,796810.2,4.5,89.63,768700.5,96.252,4.5,90.263,773338.6,96.912
JBLU,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,15,7.4,7.4,1210430.1,6.9,92.824,1183692.9,97.682,6.9,93.271,1188789.3,98.127
JBLU,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,25,12.5,12.5,2079716.7,11.9,95.568,2050060.1,98.536,12.0,95.937,2057199.8,98.897
JBLU,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,50,25.0,25.0,4199815.8,24.4,97.575,4164502.1,99.151,24.4,97.929,4178353.6,99.485
JBLU,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,100,49.9,50.0,8436942.0,49.2,98.594,8388529.1,99.42,49.4,98.926,8414633.7,99.734
JBLU,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,500,249.7,249.7,42529992.7,248.6,99.562,42419930.0,99.74,249.2,99.789,42508164.5,99.948
JBLU,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,1000,499.9,499.9,85143919.2,498.4,99.702,84975820.1,99.802,499.3,99.897,85123032.4,99.975
M,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,2,0.9,0.9,239936.5,0.4,39.05,177666.1,41.048,0.4,39.45,179617.6,41.448
M,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,3,1.4,1.4,411719.5,0.9,62.449,349608.7,72.265,0.9,63.433,354968.5,73.452
M,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,4,1.9,1.9,574114.7,1.3,72.849,521584.0,85.905,1.4,73.733,525772.5,86.852
M,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,5,2.4,2.4,747638.3,1.9,79.016,699684.9,91.073,1.9,79.683,703532.3,91.859
M,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,10,5.0,5.0,1617278.5,4.4,88.63,1567103.4,96.422,4.4,89.409,1578445.0,97.23
M,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,15,7.4,7.4,2425595.9,6.8,92.402,2374694.8,97.718,6.9,93.057,2389731.0,98.392
M,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,25,12.4,12.4,4086900.6,11.9,95.306,4034752.6,98.671,11.9,95.691,4050513.7,99.055
M,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,50,25.1,25.1,8277799.0,24.5,97.645,8215234.0,99.228,24.6,98.047,8246372.4,99.611
M,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,100,49.9,49.9,16567776.4,49.2,98.637,16476701.0,99.445,49.4,99.034,16538755.2,99.823
M,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,500,250.4,250.4,83114023.0,249.2,99.514,82868315.0,99.703,249.9,99.796,83082189.8,99.961
M,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,1000,500.7,500.7,166500631.8,499.0,99.656,166107489.1,99.763,500.2,99.898,166470099.4,99.981
MA,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,2,0.9,0.9,1516833.4,0.4,36.0,1171666.2,37.638,0.4,36.1,1175496.5,37.738
MA,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,3,1.4,1.4,2480911.7,0.9,64.616,2219459.2,75.388,0.9,64.816,2227796.9,75.636
MA,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,4,1.9,1.9,3570561.3,1.4,73.116,3285925.1,85.705,1.4,73.266,3290290.4,85.853
MA,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,5,2.4,2.4,4477128.9,1.9,79.249,4235723.7,92.288,1.9,79.299,4238523.5,92.337
MA,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,10,4.9,4.9,9343997.4,4.4,90.802,9168242.1,97.906,4.4,90.842,9170164.8,97.934
MA,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,15,7.5,7.5,14422404.6,7.0,94.281,14258285.7,98.814,7.0,94.281,14258216.4,98.814
MA,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,25,12.5,12.5,24542351.4,12.1,96.561,24388250.3,99.344,12.1,96.61,24399192.4,99.392
MA,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,50,25.0,25.0,48948017.6,24.6,98.209,48791347.8,99.68,24.6,98.24,48807314.8,99.71
MA,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,100,50.0,50.0,99602150.3,49.6,99.09,99442126.8,99.838,49.6,99.117,99468638.5,99.865
MA,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,500,249.2,249.2,499030635.7,248.7,99.786,498755801.7,99.945,248.7,99.814,498893859.7,99.972
MRVL,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,2,1.0,1.0,116600.0,0.4,39.15,84045.1,41.694,0.4,39.2,84419.4,41.751
MRVL,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,3,1.5,1.5,191295.1,0.9,63.816,161806.8,75.254,0.9,64.116,162360.0,75.596
MRVL,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,4,2.0,2.0,263622.1,1.4,74.466,236559.1,86.627,1.4,74.899,237974.6,87.113
MRVL,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,5,2.5,2.5,341476.1,1.9,78.666,315765.0,90.625,1.9,79.133,317604.8,91.163
MRVL,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,10,5.0,5.0,742779.5,4.5,89.111,715646.8,96.138,4.5,89.581,719438.5,96.6
MRVL,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,15,7.6,7.6,1137074.3,7.0,92.33,1106895.6,97.28,7.0,93.123,1115808.4,98.046
MRVL,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,25,12.6,12.6,1925570.3,12.0,95.209,1893933.8,98.303,12.0,95.838,1905240.8,98.91
MRVL,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,50,25.1,25.1,3882254.7,24.4,97.221,3836226.8,98.791,24.6,97.952,3862181.0,99.471
MRVL,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,100,50.0,50.0,7823429.8,49.2,98.313,7754069.8,99.111,49.5,98.998,7804276.0,99.752
MRVL,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,500,249.9,249.9,39258542.3,248.4,99.378,39095722.6,99.585,249.4,99.797,39239132.4,99.95
MRVL,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,1000,500.0,500.0,78466789.1,497.9,99.581,78232308.6,99.701,499.5,99.901,78448388.9,99.976
MSFT,1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1:1,2,0.9,0.9,584131.2,0.3,31.2,437481.8,32.394,0.3,31.4,438448.3,32.594
