iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionwithoutgftzerocountratio,SBBExternalCompetitionwithoutgftzerototalgft,SBBExternalCompetitionwithoutgftzerototalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPriceswithoutgftzerocountratio,SBBAscendingPriceswithoutgftzerototalgft,SBBAscendingPriceswithoutgftzerototalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
303,Average,1:8,2,1.00,2.646,1.00,336942.46,336942.46,0.70,66.81,284070.52,66.515,66.81,284070.52,66.515,284070.52,66.515,0.70,66.81,284070.52,66.515,66.81,284070.52,66.515,284070.52,66.515
303,Average,1:8,3,1.50,16.825,1.50,535212.58,535212.58,1.18,81.01,475560.43,84.260,81.01,475560.43,84.260,475560.43,84.260,1.18,81.01,475560.43,84.260,81.01,475560.43,84.260,475560.43,84.260
303,Average,1:8,4,1.99,30.370,1.99,737618.78,737618.78,1.70,86.79,680703.62,90.795,86.79,680703.62,90.795,680703.62,90.795,1.70,86.79,680703.62,90.795,86.79,680703.62,90.795,680703.62,90.795
303,Average,1:8,5,2.49,40.697,2.49,935724.35,935724.35,2.20,89.24,878927.04,93.217,89.24,878927.04,93.217,878927.04,93.217,2.20,89.24,878927.04,93.217,89.24,878927.04,93.217,878927.04,93.217
303,Average,1:8,10,4.98,65.829,4.98,1934338.27,1934338.27,4.70,94.54,1878300.98,96.966,94.54,1878300.98,96.966,1878300.98,96.966,4.70,94.54,1878300.98,96.966,94.54,1878300.98,96.966,1878300.98,96.966
303,Average,1:8,15,7.50,76.106,7.50,2943127.54,2943127.54,7.21,96.29,2886354.14,98.017,96.29,2886354.14,98.017,2886354.14,98.017,7.21,96.29,2886354.14,98.017,96.29,2886354.14,98.017,2886354.14,98.017
303,Average,1:8,25,12.49,85.021,12.49,4940443.88,4940443.88,12.20,97.78,4883996.26,98.840,97.78,4883996.26,98.840,4883996.26,98.840,12.20,97.78,4883996.26,98.840,97.78,4883996.26,98.840,4883996.26,98.840
303,Average,1:8,50,24.97,92.260,24.97,9939788.43,9939788.43,24.69,98.87,9883195.47,99.425,98.87,9883195.47,99.425,9883195.47,99.425,24.69,98.87,9883195.47,99.425,98.87,9883195.47,99.425,9883195.47,99.425
303,Average,1:8,100,50.02,96.069,50.02,19960382.99,19960382.99,49.74,99.44,19903887.53,99.715,99.44,19903887.53,99.715,19903887.53,99.715,49.74,99.44,19903887.53,99.715,99.44,19903887.53,99.715,19903887.53,99.715
303,Average,1:8,500,249.99,99.202,249.99,99985081.79,99985081.79,249.71,99.88,99928472.22,99.943,99.88,99928472.22,99.943,99928472.22,99.943,249.71,99.88,99928472.22,99.943,99.88,99928472.22,99.943,99928472.22,99.943
303,Average,1:8,1000,500.03,99.600,500.03,199945542.90,199945542.90,499.75,99.94,199889526.17,99.971,99.94,199889526.17,99.971,199889526.17,99.971,499.75,99.94,199889526.17,99.971,99.94,199889526.17,99.971,199889526.17,99.971
