iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionwithoutgftzerocountratio,SBBExternalCompetitionwithoutgftzerototalgft,SBBExternalCompetitionwithoutgftzerototalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPriceswithoutgftzerocountratio,SBBAscendingPriceswithoutgftzerototalgft,SBBAscendingPriceswithoutgftzerototalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
303,Average,2:2,2,1.00,1.876,1.00,83084.88,83084.88,0.49,47.15,49976.55,45.674,47.15,49976.55,45.674,49976.55,45.674,0.49,47.15,49972.18,45.683,47.15,49972.18,45.683,49972.18,45.683
303,Average,2:2,3,1.50,16.771,1.50,133261.54,133261.54,0.99,68.58,99687.85,70.978,68.59,99687.85,70.978,99687.85,70.978,0.99,68.58,99717.03,71.041,68.59,99717.03,71.041,99717.03,71.041
303,Average,2:2,4,2.01,31.190,2.01,184993.08,184993.08,1.51,76.13,151017.90,79.908,76.13,151017.90,79.908,151017.90,79.908,1.51,76.13,151036.74,79.939,76.13,151036.74,79.939,151036.74,79.939
303,Average,2:2,5,2.49,40.803,2.49,233836.05,233836.05,1.98,80.37,198682.63,83.909,80.37,198682.63,83.909,198682.63,83.909,1.98,80.37,198727.92,83.957,80.37,198727.92,83.957,198727.92,83.957
303,Average,2:2,10,4.98,65.922,4.98,484487.65,484487.65,4.48,90.14,448190.38,92.312,90.14,448190.38,92.312,448190.38,92.312,4.48,90.14,448082.30,92.295,90.14,448082.30,92.295,448082.30,92.295
303,Average,2:2,15,7.49,76.118,7.49,735843.11,735843.11,6.99,93.47,699576.91,94.992,93.47,699576.91,94.992,699576.91,94.992,6.99,93.47,699554.20,94.993,93.47,699554.20,94.993,699554.20,94.993
303,Average,2:2,25,12.49,85.040,12.49,1234091.00,1234091.00,12.00,96.10,1197720.90,97.023,96.10,1197720.90,97.023,1197720.90,97.023,12.00,96.10,1197794.61,97.029,96.10,1197794.61,97.029,1197794.61,97.029
303,Average,2:2,50,25.01,92.276,25.01,2488280.87,2488280.87,24.52,98.02,2451289.06,98.506,98.02,2451289.06,98.506,2451289.06,98.506,24.52,98.02,2451328.97,98.507,98.02,2451328.97,98.507,2451328.97,98.507
303,Average,2:2,100,50.00,96.069,50.00,4988234.57,4988234.57,49.50,98.98,4950759.78,99.246,98.98,4950759.78,99.246,4950759.78,99.246,49.50,98.98,4950615.43,99.243,98.98,4950615.43,99.243,4950615.43,99.243
303,Average,2:2,500,249.94,99.202,249.94,24982958.23,24982958.23,249.44,99.80,24945721.84,99.850,99.80,24945721.84,99.850,24945721.84,99.850,249.44,99.80,24945777.77,99.851,99.80,24945777.77,99.851,24945777.77,99.851
303,Average,2:2,1000,500.02,99.600,500.02,49976191.81,49976191.81,499.52,99.90,49938584.01,99.924,99.90,49938584.01,99.924,49938584.01,99.924,499.52,99.90,49938626.72,99.924,99.90,49938626.72,99.924,49938626.72,99.924
