iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionwithoutgftzerocountratio,SBBExternalCompetitionwithoutgftzerototalgft,SBBExternalCompetitionwithoutgftzerototalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPriceswithoutgftzerocountratio,SBBAscendingPriceswithoutgftzerototalgft,SBBAscendingPriceswithoutgftzerototalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
303,Average,1:1:1:1:1,2,0.92,4.825,0.92,382432.81,382432.81,0.44,39.93,304510.42,42.601,39.93,304510.42,42.601,304510.42,42.601,0.44,39.93,304510.42,42.601,39.93,304510.42,42.601,304510.42,42.601
303,Average,1:1:1:1:1,3,1.42,22.437,1.42,606641.83,606641.83,0.93,64.50,541974.53,72.948,64.50,541974.53,72.948,541974.53,72.948,0.93,64.50,541974.53,72.948,64.50,541974.53,72.948,541974.53,72.948
303,Average,1:1:1:1:1,4,1.91,40.726,1.91,815222.68,815222.68,1.42,74.55,763413.58,85.714,74.56,763413.58,85.714,763413.58,85.714,1.42,74.55,763413.58,85.714,74.56,763413.58,85.714,763413.58,85.714
303,Average,1:1:1:1:1,5,2.41,53.940,2.41,1075052.71,1075052.71,1.92,80.35,1027101.55,91.408,80.35,1027101.55,91.408,1027101.55,91.408,1.92,80.35,1027101.55,91.408,80.35,1027101.55,91.408,1027101.55,91.408
303,Average,1:1:1:1:1,10,4.90,78.737,4.90,2170084.16,2170084.16,4.41,90.07,2133459.58,97.252,90.07,2133459.58,97.252,2133459.58,97.252,4.41,90.07,2133459.58,97.252,90.07,2133459.58,97.252,2133459.58,97.252
303,Average,1:1:1:1:1,15,7.40,86.142,7.40,3372905.90,3372905.90,6.91,93.37,3341136.55,98.389,93.38,3341136.55,98.389,3341136.55,98.389,6.91,93.37,3341136.55,98.389,93.38,3341136.55,98.389,3341136.55,98.389
303,Average,1:1:1:1:1,25,12.40,91.822,12.40,5582837.69,5582837.69,11.90,96.02,5554389.23,99.105,96.02,5554389.23,99.105,5554389.23,99.105,11.90,96.02,5554389.23,99.105,96.02,5554389.23,99.105,5554389.23,99.105
303,Average,1:1:1:1:1,50,24.84,95.947,24.84,11355922.84,11355922.84,24.35,98.03,11330045.13,99.601,98.04,11330045.13,99.601,11330045.13,99.601,24.35,98.03,11330045.13,99.601,98.04,11330045.13,99.601,11330045.13,99.601
303,Average,1:1:1:1:1,100,49.78,97.984,49.78,22649479.15,22649479.15,49.28,98.98,22624562.24,99.801,98.98,22624562.24,99.801,22624562.24,99.801,49.28,98.98,22624562.24,99.801,98.98,22624562.24,99.801,22624562.24,99.801
303,Average,1:1:1:1:1,500,249.68,99.599,249.70,114411778.53,114411778.53,249.20,99.80,114387130.14,99.963,99.80,114387130.14,99.963,114387130.14,99.963,249.20,99.80,114387130.14,99.963,99.80,114387130.14,99.963,114387130.14,99.963
303,Average,1:1:1:1:1,1000,499.77,99.799,499.80,229184120.06,229184120.06,499.29,99.89,229160410.27,99.981,99.90,229160410.27,99.981,229160410.27,99.981,499.29,99.89,229160410.27,99.981,99.90,229160410.27,99.981,229160410.27,99.981
