iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionwithoutgftzerocountratio,SBBExternalCompetitionwithoutgftzerototalgft,SBBExternalCompetitionwithoutgftzerototalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPriceswithoutgftzerocountratio,SBBAscendingPriceswithoutgftzerototalgft,SBBAscendingPriceswithoutgftzerototalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
303,Average,1:2,2,0.98,3.613,0.98,196471.69,196471.69,0.60,54.98,163903.02,56.337,54.98,163903.02,56.337,163903.02,56.337,0.60,54.98,163903.02,56.337,54.98,163903.02,56.337,163903.02,56.337
303,Average,1:2,3,1.48,16.514,1.48,316052.80,316052.80,1.11,74.76,290974.82,80.227,74.76,290974.82,80.227,290974.82,80.227,1.11,74.76,290974.82,80.227,74.76,290974.82,80.227,290974.82,80.227
303,Average,1:2,4,1.98,29.655,1.98,429807.58,429807.58,1.61,81.55,408140.18,88.538,81.57,408140.18,88.538,408140.18,88.538,1.61,81.55,408140.18,88.538,81.57,408140.18,88.538,408140.18,88.538
303,Average,1:2,5,2.48,39.939,2.48,563815.20,563815.20,2.11,85.66,542573.29,92.634,85.68,542573.29,92.634,542573.29,92.634,2.11,85.66,542573.29,92.634,85.68,542573.29,92.634,542573.29,92.634
303,Average,1:2,10,4.99,65.650,4.99,1117487.27,1117487.27,4.61,92.65,1100614.41,97.155,92.66,1100614.41,97.155,1100614.41,97.155,4.61,92.65,1100614.41,97.155,92.66,1100614.41,97.155,1100614.41,97.155
303,Average,1:2,15,7.50,75.981,7.50,1703203.91,1703203.91,7.13,95.06,1687258.55,98.233,95.07,1687258.55,98.233,1687258.55,98.233,7.13,95.06,1687258.55,98.233,95.07,1687258.55,98.233,1687258.55,98.233
303,Average,1:2,25,12.50,84.989,12.51,2836568.97,2836568.97,12.13,96.99,2820338.27,98.991,97.02,2820338.27,98.991,2820338.27,98.991,12.13,96.99,2820338.27,98.991,97.02,2820338.27,98.991,2820338.27,98.991
303,Average,1:2,50,24.97,92.244,24.98,5713580.10,5713580.10,24.60,98.50,5698122.48,99.526,98.53,5698122.48,99.526,5698122.48,99.526,24.60,98.50,5698122.48,99.526,98.53,5698122.48,99.526,5698122.48,99.526
303,Average,1:2,100,49.96,96.061,49.97,11473081.86,11473081.86,49.60,99.27,11458470.65,99.769,99.29,11458470.65,99.769,11458470.65,99.769,49.60,99.27,11458470.65,99.769,99.29,11458470.65,99.769,11458470.65,99.769
303,Average,1:2,500,249.95,99.202,250.05,57070741.17,57070741.17,249.72,99.86,57056826.43,99.956,99.90,57056826.43,99.956,57056826.43,99.956,249.72,99.86,57056826.43,99.956,99.90,57056826.43,99.956,57056826.43,99.956
303,Average,1:2,1000,499.89,99.600,500.10,114675999.32,114675999.32,499.79,99.93,114662572.61,99.978,99.98,114662572.61,99.978,114662572.61,99.978,499.79,99.93,114662572.61,99.978,99.98,114662572.61,99.978,114662572.61,99.978
