iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionwithoutgftzerocountratio,SBBExternalCompetitionwithoutgftzerototalgft,SBBExternalCompetitionwithoutgftzerototalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPriceswithoutgftzerocountratio,SBBAscendingPriceswithoutgftzerototalgft,SBBAscendingPriceswithoutgftzerototalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
303,Average,1:16,2,0.96,1.653,0.96,1678077.39,1678077.39,0.72,70.49,1556477.22,69.893,70.49,1556477.22,69.893,1556477.22,69.893,0.72,70.49,1556477.22,69.893,70.49,1556477.22,69.893,1556477.22,69.893
303,Average,1:16,3,1.47,16.031,1.47,2528209.23,2528209.23,1.19,83.53,2408786.01,87.988,83.53,2408786.01,87.988,2408786.01,87.988,1.19,83.53,2408786.01,87.988,83.53,2408786.01,87.988,2408786.01,87.988
303,Average,1:16,4,1.98,30.467,1.98,3588803.07,3588803.07,1.72,88.03,3478089.53,93.403,88.03,3478089.53,93.403,3478089.53,93.403,1.72,88.03,3478089.53,93.403,88.03,3478089.53,93.403,3478089.53,93.403
303,Average,1:16,5,2.48,40.658,2.48,4334782.47,4334782.47,2.22,90.33,4235071.71,95.352,90.33,4235071.71,95.352,4235071.71,95.352,2.22,90.33,4235071.71,95.352,90.33,4235071.71,95.352,4235071.71,95.352
303,Average,1:16,10,4.98,65.901,4.98,8934021.19,8934021.19,4.72,95.03,8841156.36,98.120,95.03,8841156.36,98.120,8841156.36,98.120,4.72,95.03,8841156.36,98.120,95.03,8841156.36,98.120,8841156.36,98.120
303,Average,1:16,15,7.49,76.103,7.49,13541833.86,13541833.86,7.23,96.67,13457905.81,98.829,96.67,13457905.81,98.829,13457905.81,98.829,7.23,96.67,13457905.81,98.829,96.67,13457905.81,98.829,13457905.81,98.829
303,Average,1:16,25,12.49,85.027,12.49,22772580.95,22772580.95,12.22,97.93,22687230.41,99.299,97.93,22687230.41,99.299,22687230.41,99.299,12.22,97.93,22687230.41,99.299,97.93,22687230.41,99.299,22687230.41,99.299
303,Average,1:16,50,25.00,92.271,25.00,46231887.91,46231887.91,24.75,98.97,46148797.29,99.669,98.97,46148797.29,99.669,46148797.29,99.669,24.75,98.97,46148797.29,99.669,98.97,46148797.29,99.669,46148797.29,99.669
303,Average,1:16,100,49.99,96.067,49.99,91523036.90,91523036.90,49.74,99.50,91442692.28,99.839,99.50,91442692.28,99.839,91442692.28,99.839,49.74,99.50,91442692.28,99.839,99.50,91442692.28,99.839,91442692.28,99.839
303,Average,1:16,500,249.92,99.202,249.96,458871644.79,458871644.79,249.76,99.91,458789342.83,99.968,99.93,458789342.83,99.968,458789342.83,99.968,249.76,99.91,458789342.83,99.968,99.93,458789342.83,99.968,458789342.83,99.968
303,Average,1:16,1000,500.06,99.600,500.20,916642201.47,916642201.47,500.03,99.96,916564384.49,99.984,99.99,916564384.49,99.984,916564384.49,99.984,500.03,99.96,916564384.49,99.984,99.99,916564384.49,99.984,916564384.49,99.984
