iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionwithoutgftzerocountratio,SBBExternalCompetitionwithoutgftzerototalgft,SBBExternalCompetitionwithoutgftzerototalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPriceswithoutgftzerocountratio,SBBAscendingPriceswithoutgftzerototalgft,SBBAscendingPriceswithoutgftzerototalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
303,Average,4:3:2:1,2,0.99,0.143,0.99,253036.09,253036.09,0.42,41.90,130805.80,41.100,41.90,130805.80,41.100,130805.80,41.100,0.42,41.90,126647.38,39.898,41.90,126647.38,39.898,126647.38,39.898
303,Average,4:3:2:1,3,1.50,16.950,1.50,396528.80,396528.80,0.97,71.07,294234.29,74.749,71.07,294234.29,74.749,294234.29,74.749,0.97,71.07,293756.94,74.547,71.07,293756.94,74.547,293756.94,74.547
303,Average,4:3:2:1,4,1.99,32.414,1.99,553112.59,553112.59,1.43,72.55,430219.27,76.634,72.55,430219.27,76.634,430219.27,76.634,1.43,72.55,430249.03,76.556,72.55,430249.03,76.556,430249.03,76.556
303,Average,4:3:2:1,5,2.50,41.664,2.50,702152.07,702152.07,1.95,79.90,586384.44,83.394,79.90,586384.44,83.394,586384.44,83.394,1.95,79.90,586000.99,83.300,79.90,586000.99,83.300,586000.99,83.300
303,Average,4:3:2:1,10,4.98,66.242,4.98,1453292.02,1453292.02,4.43,89.40,1331255.64,91.511,89.40,1331255.64,91.511,1331255.64,91.511,4.43,89.40,1331657.76,91.531,89.40,1331657.76,91.531,1331657.76,91.531
303,Average,4:3:2:1,15,7.50,76.326,7.50,2205629.41,2205629.41,6.93,92.60,2079640.55,94.252,92.60,2079640.55,94.252,2079640.55,94.252,6.93,92.60,2079743.64,94.248,92.60,2079743.64,94.248,2079743.64,94.248
303,Average,4:3:2:1,25,12.49,85.122,12.49,3709938.98,3709938.98,11.93,95.54,3583128.40,96.567,95.54,3583128.40,96.567,3583128.40,96.567,11.93,95.54,3583371.24,96.573,95.54,3583371.24,96.573,3583371.24,96.573
303,Average,4:3:2:1,50,24.98,92.287,24.98,7459185.69,7459185.69,24.42,97.74,7331474.20,98.284,97.74,7331474.20,98.284,7331474.20,98.284,24.42,97.74,7330803.27,98.274,97.74,7330803.27,98.274,7330803.27,98.274
303,Average,4:3:2:1,100,49.97,96.072,49.97,14945620.88,14945620.88,49.41,98.87,14818007.03,99.145,98.87,14818007.03,99.145,14818007.03,99.145,49.41,98.87,14818211.50,99.146,98.87,14818211.50,99.146,14818211.50,99.146
303,Average,4:3:2:1,500,249.99,99.203,249.99,74951420.72,74951420.72,249.43,99.77,74824173.00,99.830,99.77,74824173.00,99.830,74824173.00,99.830,249.43,99.77,74823506.27,99.829,99.77,74823506.27,99.829,74823506.27,99.829
303,Average,4:3:2:1,1000,499.97,99.600,499.97,149934548.00,149934548.00,499.41,99.88,149806473.21,99.914,99.88,149806473.21,99.914,149806473.21,99.914,499.41,99.88,149806068.56,99.914,99.88,149806068.56,99.914,149806068.56,99.914
