iterations,stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionwithoutgftzerocountratio,SBBExternalCompetitionwithoutgftzerototalgft,SBBExternalCompetitionwithoutgftzerototalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPriceswithoutgftzerocountratio,SBBAscendingPriceswithoutgftzerototalgft,SBBAscendingPriceswithoutgftzerototalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
303,Average,1:1:1:1:1:1:1:1:1,2,0.99,5.970,0.99,290792.41,290792.41,0.55,49.19,224745.47,52.868,49.19,224745.47,52.868,224745.47,52.868,0.55,49.19,224745.47,52.868,49.19,224745.47,52.868,224745.47,52.868
303,Average,1:1:1:1:1:1:1:1:1,3,1.49,25.194,1.49,478295.54,478295.54,1.02,68.62,408899.20,77.037,68.62,408899.20,77.037,408899.20,77.037,1.02,68.62,408899.20,77.037,68.62,408899.20,77.037,408899.20,77.037
303,Average,1:1:1:1:1:1:1:1:1,4,1.99,43.659,1.99,673781.94,673781.94,1.52,77.49,608967.56,87.503,77.49,608967.56,87.503,608967.56,87.503,1.52,77.49,608967.56,87.503,77.49,608967.56,87.503,608967.56,87.503
303,Average,1:1:1:1:1:1:1:1:1,5,2.50,56.148,2.50,873520.41,873520.41,2.02,81.46,808066.20,91.303,81.46,808066.20,91.303,808066.20,91.303,2.02,81.46,808066.20,91.303,81.46,808066.20,91.303,808066.20,91.303
303,Average,1:1:1:1:1:1:1:1:1,10,5.02,79.362,5.02,1871413.46,1871413.46,4.51,90.17,1809281.15,96.504,90.17,1809281.15,96.504,1809281.15,96.504,4.51,90.17,1809281.15,96.504,90.17,1809281.15,96.504,1809281.15,96.504
303,Average,1:1:1:1:1:1:1:1:1,15,7.49,86.366,7.49,2863103.28,2863103.28,6.99,93.36,2802999.81,97.827,93.36,2802999.81,97.827,2802999.81,97.827,6.99,93.36,2802999.81,97.827,93.36,2802999.81,97.827,2802999.81,97.827
303,Average,1:1:1:1:1:1:1:1:1,25,12.50,91.906,12.50,4861428.39,4861428.39,12.00,96.01,4802257.52,98.759,96.01,4802257.52,98.759,4802257.52,98.759,12.00,96.01,4802257.52,98.759,96.01,4802257.52,98.759,4802257.52,98.759
303,Average,1:1:1:1:1:1:1:1:1,50,25.06,95.987,25.06,9885356.79,9885356.79,24.56,98.02,9827505.71,99.409,98.02,9827505.71,99.409,9827505.71,99.409,24.56,98.02,9827505.71,99.409,98.02,9827505.71,99.409,9827505.71,99.409
303,Average,1:1:1:1:1:1:1:1:1,100,50.01,97.995,50.01,19867627.94,19867627.94,49.52,99.00,19810613.39,99.711,99.00,19810613.39,99.711,19810613.39,99.711,49.52,99.00,19810613.39,99.711,99.00,19810613.39,99.711,19810613.39,99.711
303,Average,1:1:1:1:1:1:1:1:1,500,249.96,99.599,249.96,99833419.21,99833419.21,249.46,99.79,99777055.66,99.943,99.79,99777055.66,99.943,99777055.66,99.943,249.46,99.79,99777055.66,99.943,99.79,99777055.66,99.943,99777055.66,99.943
303,Average,1:1:1:1:1:1:1:1:1,1000,500.05,99.799,500.05,199846209.24,199846209.24,499.55,99.89,199789342.32,99.971,99.89,199789342.32,99.971,199789342.32,99.971,499.55,99.89,199789342.32,99.971,99.89,199789342.32,99.971,199789342.32,99.971
