stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
WMT,1:1:1,1000,504,504,22.84,504,100.0,22.84,100.0,504,100.0,22.84,100.0,504,100.0,22.84,100.0,504,100.0,22.84,100.0,504,100.0,22.84,100.0,504,100.0,22.84,100.0,504,100.0,22.84,100.0,504,100.0,22.84,100.0,504,100.0,22.84,100.0,504,100.0,22.84,100.0,504,100.0,22.84,100.0,504,100.0,22.84,100.0,504,100.0,22.84,100.0
WMT,1:1:1,2000,1010,1011,99.97,1010,99.901,99.93,99.968,1010,99.901,99.93,99.968,1010,99.901,99.93,99.968,1010,99.901,99.93,99.968,1010,99.901,99.93,99.968,1010,99.901,99.93,99.968,1010,99.901,99.93,99.968,1010,99.901,99.93,99.968,1010,99.901,99.93,99.968,1010,99.901,99.93,99.968,1010,99.901,99.93,99.968,1010,99.901,99.93,99.968,1010,99.901,99.93,99.968
WMT,1:1:1,5000,2503,2504,21177.21,2503,99.96,21176.91,99.999,2503,99.96,21176.91,99.999,2503,99.96,21176.91,99.999,2503,99.96,21176.91,99.999,2503,99.96,21176.91,99.999,2503,99.96,21176.91,99.999,2503,99.96,21176.91,99.999,2503,99.96,21176.91,99.999,2503,99.96,21176.91,99.999,2503,99.96,21176.91,99.999,2503,99.96,21176.91,99.999,2503,99.96,21176.91,99.999,2503,99.96,21176.91,99.999
WMT,1:1:1,10000,5024,5039,382267.84,5039,100.0,382267.84,100.0,5039,100.0,382267.84,100.0,5039,100.0,382267.84,100.0,5039,100.0,382267.84,100.0,5039,100.0,382267.84,100.0,5039,100.0,382267.84,100.0,5039,100.0,382267.84,100.0,5039,100.0,382267.84,100.0,5039,100.0,382267.84,100.0,5039,100.0,382267.84,100.0,5039,100.0,382267.84,100.0,5039,100.0,382267.84,100.0,5039,100.0,382267.84,100.0
WMT,1:1:1,12113,6065,6066,685690.67,6065,99.983,685669.83,99.997,6065,99.983,685669.83,99.997,6065,99.983,685669.83,99.997,6065,99.983,685669.83,99.997,6065,99.983,685669.83,99.997,6065,99.983,685669.83,99.997,6065,99.983,685669.83,99.997,6065,99.983,685669.83,99.997,6065,99.983,685669.83,99.997,6065,99.983,685669.83,99.997,6065,99.983,685669.83,99.997,6065,99.983,685669.83,99.997,6065,99.983,685669.83,99.997
X,1:1:1,2,1,2,12.12,1,50.0,10.56,87.113,1,50.0,10.56,87.113,1,50.0,10.56,87.113,1,50.0,10.56,87.113,1,50.0,10.56,87.113,1,50.0,10.56,87.113,1,50.0,10.56,87.113,1,50.0,10.56,87.113,1,50.0,10.56,87.113,1,50.0,10.56,87.113,1,50.0,10.56,87.113,1,50.0,10.56,87.113,1,50.0,10.56,87.113
X,1:1:1,3,2,2,17.38,2,100.0,17.38,100.0,2,100.0,17.38,100.0,2,100.0,17.38,100.0,2,100.0,17.38,100.0,2,100.0,17.38,100.0,2,100.0,17.38,100.0,2,100.0,17.38,100.0,2,100.0,17.38,100.0,2,100.0,17.38,100.0,2,100.0,17.38,100.0,2,100.0,17.38,100.0,2,100.0,17.38,100.0,2,100.0,17.38,100.0
X,1:1:1,4,3,3,18.88,3,100.0,18.88,100.0,3,100.0,18.88,100.0,3,100.0,18.88,100.0,3,100.0,18.88,100.0,3,100.0,18.88,100.0,3,100.0,18.88,100.0,3,100.0,18.88,100.0,3,100.0,18.88,100.0,3,100.0,18.88,100.0,3,100.0,18.88,100.0,3,100.0,18.88,100.0,3,100.0,18.88,100.0,3,100.0,18.88,100.0
X,1:1:1,5,4,4,21.62,3,75.0,17.12,79.191,3,75.0,17.12,79.191,3,75.0,17.12,79.191,3,75.0,17.12,79.191,3,75.0,17.12,79.191,3,75.0,17.12,79.191,3,75.0,17.12,79.191,3,75.0,17.12,79.191,3,75.0,17.12,79.191,3,75.0,17.12,79.191,3,75.0,17.12,79.191,3,75.0,17.12,79.191,3,75.0,17.12,79.191
X,1:1:1,10,7,7,26.75,7,100.0,26.75,100.0,7,100.0,26.75,100.0,7,100.0,26.75,100.0,7,100.0,26.75,100.0,7,100.0,26.75,100.0,7,100.0,26.75,100.0,7,100.0,26.75,100.0,7,100.0,26.75,100.0,7,100.0,26.75,100.0,7,100.0,26.75,100.0,7,100.0,26.75,100.0,7,100.0,26.75,100.0,7,100.0,26.75,100.0
