stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio
A,1:8,1000,515,516,102323.56,515,515,515,99.806,99.806,99.806,102323.56,102323.56,102323.56,100.0,100.0,100.0,516,516,516,100.0,100.0,100.0,102323.56,102323.56,102323.56,100.0,100.0,100.0,515,515,515,99.806,99.806,99.806,102323.56,102323.56,102323.56,100.0,100.0,100.0,516,516,516,100.0,100.0,100.0,102323.56,102323.56,102323.56,100.0,100.0,100.0,515,515,515,99.806,99.806,99.806,102323.56,102323.56,102323.56,100.0,100.0,100.0,516,516,516,100.0,100.0,100.0,102323.56,102323.56,102323.56,100.0,100.0,100.0
A,1:8,2000,1020,1020,131184.22,1018,1018,1018,99.803,99.803,99.803,131092.03,131092.03,131092.03,99.93,99.93,99.93,1019,1019,1019,99.901,99.901,99.901,131138.13,131138.13,131138.13,99.965,99.965,99.965,1018,1018,1018,99.803,99.803,99.803,131092.03,131092.03,131092.03,99.93,99.93,99.93,1019,1019,1019,99.901,99.901,99.901,131138.13,131138.13,131138.13,99.965,99.965,99.965,1018,1018,1018,99.803,99.803,99.803,131092.03,131092.03,131092.03,99.93,99.93,99.93,1019,1019,1019,99.901,99.901,99.901,131138.13,131138.13,131138.13,99.965,99.965,99.965
A,1:8,5000,2536,2536,531242.25,2535,2535,2535,99.96,99.96,99.96,531089.55,531089.55,531089.55,99.971,99.971,99.971,2536,2536,2536,100.0,100.0,100.0,531242.25,531242.25,531242.25,100.0,100.0,100.0,2535,2535,2535,99.96,99.96,99.96,531089.55,531089.55,531089.55,99.971,99.971,99.971,2536,2536,2536,100.0,100.0,100.0,531242.25,531242.25,531242.25,100.0,100.0,100.0,2535,2535,2535,99.96,99.96,99.96,531089.55,531089.55,531089.55,99.971,99.971,99.971,2536,2536,2536,100.0,100.0,100.0,531242.25,531242.25,531242.25,100.0,100.0,100.0
A,1:8,10000,5064,5064,1078326.15,5063,5063,5063,99.98,99.98,99.98,1078269.44,1078269.44,1078269.44,99.995,99.995,99.995,5063,5063,5063,99.98,99.98,99.98,1078269.44,1078269.44,1078269.44,99.995,99.995,99.995,5063,5063,5063,99.98,99.98,99.98,1078269.44,1078269.44,1078269.44,99.995,99.995,99.995,5063,5063,5063,99.98,99.98,99.98,1078269.44,1078269.44,1078269.44,99.995,99.995,99.995,5063,5063,5063,99.98,99.98,99.98,1078269.44,1078269.44,1078269.44,99.995,99.995,99.995,5063,5063,5063,99.98,99.98,99.98,1078269.44,1078269.44,1078269.44,99.995,99.995,99.995
A,1:8,10466,5286,5286,1267892.28,5285,5285,5285,99.981,99.981,99.981,1267832.51,1267832.51,1267832.51,99.995,99.995,99.995,5285,5285,5285,99.981,99.981,99.981,1267832.51,1267832.51,1267832.51,99.995,99.995,99.995,5285,5285,5285,99.981,99.981,99.981,1267832.51,1267832.51,1267832.51,99.995,99.995,99.995,5285,5285,5285,99.981,99.981,99.981,1267832.51,1267832.51,1267832.51,99.995,99.995,99.995,5285,5285,5285,99.981,99.981,99.981,1267832.51,1267832.51,1267832.51,99.995,99.995,99.995,5285,5285,5285,99.981,99.981,99.981,1267832.51,1267832.51,1267832.51,99.995,99.995,99.995
AGNC,1:8,2,2,2,7.28,1,1,1,50.0,50.0,50.0,5.08,5.08,5.08,69.78,69.78,69.78,1,1,1,50.0,50.0,50.0,5.08,5.08,5.08,69.78,69.78,69.78,1,1,1,50.0,50.0,50.0,5.08,5.08,5.08,69.78,69.78,69.78,1,1,1,50.0,50.0,50.0,5.08,5.08,5.08,69.78,69.78,69.78,1,1,1,50.0,50.0,50.0,5.08,5.08,5.08,69.78,69.78,69.78,1,1,1,50.0,50.0,50.0,5.08,5.08,5.08,69.78,69.78,69.78
AGNC,1:8,3,2,2,10.0,2,2,2,100.0,100.0,100.0,10.0,10.0,10.0,100.0,100.0,100.0,2,2,2,100.0,100.0,100.0,10.0,10.0,10.0,100.0,100.0,100.0,2,2,2,100.0,100.0,100.0,10.0,10.0,10.0,100.0,100.0,100.0,2,2,2,100.0,100.0,100.0,10.0,10.0,10.0,100.0,100.0,100.0,2,2,2,100.0,100.0,100.0,10.0,10.0,10.0,100.0,100.0,100.0,2,2,2,100.0,100.0,100.0,10.0,10.0,10.0,100.0,100.0,100.0
AGNC,1:8,4,3,3,12.56,2,2,2,66.666,66.666,66.666,9.39,9.39,9.39,74.734,74.734,74.734,2,2,2,66.666,66.666,66.666,9.39,9.39,9.39,74.734,74.734,74.734,2,2,2,66.666,66.666,66.666,9.39,9.39,9.39,74.734,74.734,74.734,2,2,2,66.666,66.666,66.666,9.39,9.39,9.39,74.734,74.734,74.734,2,2,2,66.666,66.666,66.666,9.39,9.39,9.39,74.734,74.734,74.734,2,2,2,66.666,66.666,66.666,9.39,9.39,9.39,74.734,74.734,74.734
AGNC,1:8,5,4,4,15.52,3,3,3,75.0,75.0,75.0,13.36,13.36,13.36,86.082,86.082,86.082,3,3,3,75.0,75.0,75.0,13.36,13.36,13.36,86.082,86.082,86.082,3,3,3,75.0,75.0,75.0,13.36,13.36,13.36,86.082,86.082,86.082,3,3,3,75.0,75.0,75.0,13.36,13.36,13.36,86.082,86.082,86.082,3,3,3,75.0,75.0,75.0,13.36,13.36,13.36,86.082,86.082,86.082,3,3,3,75.0,75.0,75.0,13.36,13.36,13.36,86.082,86.082,86.082
AGNC,1:8,10,7,7,35.2,6,6,6,85.714,85.714,85.714,32.66,32.66,32.66,92.792,92.792,92.792,6,6,6,85.714,85.714,85.714,32.66,32.66,32.66,92.792,92.792,92.792,6,6,6,85.714,85.714,85.714,32.66,32.66,32.66,92.792,92.792,92.792,6,6,6,85.714,85.714,85.714,32.66,32.66,32.66,92.792,92.792,92.792,6,6,6,85.714,85.714,85.714,32.66,32.66,32.66,92.792,92.792,92.792,6,6,6,85.714,85.714,85.714,32.66,32.66,32.66,92.792,92.792,92.792
AGNC,1:8,15,9,9,50.56,9,9,9,100.0,100.0,100.0,50.56,50.56,50.56,100.0,100.0,100.0,9,9,9,100.0,100.0,100.0,50.56,50.56,50.56,100.0,100.0,100.0,9,9,9,100.0,100.0,100.0,50.56,50.56,50.56,100.0,100.0,100.0,9,9,9,100.0,100.0,100.0,50.56,50.56,50.56,100.0,100.0,100.0,9,9,9,100.0,100.0,100.0,50.56,50.56,50.56,100.0,100.0,100.0,9,9,9,100.0,100.0,100.0,50.56,50.56,50.56,100.0,100.0,100.0
AGNC,1:8,25,16,16,160.96,15,15,15,93.75,93.75,93.75,153.81,153.81,153.81,95.558,95.558,95.558,16,16,16,100.0,100.0,100.0,160.96,160.96,160.96,100.0,100.0,100.0,15,15,15,93.75,93.75,93.75,153.81,153.81,153.81,95.558,95.558,95.558,16,16,16,100.0,100.0,100.0,160.96,160.96,160.96,100.0,100.0,100.0,15,15,15,93.75,93.75,93.75,153.81,153.81,153.81,95.558,95.558,95.558,16,16,16,100.0,100.0,100.0,160.96,160.96,160.96,100.0,100.0,100.0
AGNC,1:8,50,27,27,647.76,27,27,27,100.0,100.0,100.0,647.76,647.76,647.76,100.0,100.0,100.0,27,27,27,100.0,100.0,100.0,647.76,647.76,647.76,100.0,100.0,100.0,27,27,27,100.0,100.0,100.0,647.76,647.76,647.76,100.0,100.0,100.0,27,27,27,100.0,100.0,100.0,647.76,647.76,647.76,100.0,100.0,100.0,27,27,27,100.0,100.0,100.0,647.76,647.76,647.76,100.0,100.0,100.0,27,27,27,100.0,100.0,100.0,647.76,647.76,647.76,100.0,100.0,100.0
AGNC,1:8,100,55,55,1188.01,54,54,54,98.181,98.181,98.181,1177.16,1177.16,1177.16,99.086,99.086,99.086,54,54,54,98.181,98.181,98.181,1177.16,1177.16,1177.16,99.086,99.086,99.086,54,54,54,98.181,98.181,98.181,1177.16,1177.16,1177.16,99.086,99.086,99.086,54,54,54,98.181,98.181,98.181,1177.16,1177.16,1177.16,99.086,99.086,99.086,54,54,54,98.181,98.181,98.181,1177.16,1177.16,1177.16,99.086,99.086,99.086,54,54,54,98.181,98.181,98.181,1177.16,1177.16,1177.16,99.086,99.086,99.086
AGNC,1:8,500,254,254,16165.48,253,253,253,99.606,99.606,99.606,16142.93,16142.93,16142.93,99.861,99.861,99.861,253,253,253,99.606,99.606,99.606,16142.93,16142.93,16142.93,99.861,99.861,99.861,253,253,253,99.606,99.606,99.606,16142.93,16142.93,16142.93,99.861,99.861,99.861,253,253,253,99.606,99.606,99.606,16142.93,16142.93,16142.93,99.861,99.861,99.861,253,253,253,99.606,99.606,99.606,16142.93,16142.93,16142.93,99.861,99.861,99.861,253,253,253,99.606,99.606,99.606,16142.93,16142.93,16142.93,99.861,99.861,99.861
AGNC,1:8,1000,513,513,30636.89,513,513,513,100.0,100.0,100.0,30636.89,30636.89,30636.89,100.0,100.0,100.0,513,513,513,100.0,100.0,100.0,30636.89,30636.89,30636.89,100.0,100.0,100.0,513,513,513,100.0,100.0,100.0,30636.89,30636.89,30636.89,100.0,100.0,100.0,513,513,513,100.0,100.0,100.0,30636.89,30636.89,30636.89,100.0,100.0,100.0,513,513,513,100.0,100.0,100.0,30636.89,30636.89,30636.89,100.0,100.0,100.0,513,513,513,100.0,100.0,100.0,30636.89,30636.89,30636.89,100.0,100.0,100.0
AGNC,1:8,2000,1009,1009,73727.72,1007,1007,1007,99.801,99.801,99.801,73670.81,73670.81,73670.81,99.923,99.923,99.923,1008,1008,1008,99.9,99.9,99.9,73699.26,73699.26,73699.26,99.961,99.961,99.961,1007,1007,1007,99.801,99.801,99.801,73670.81,73670.81,73670.81,99.923,99.923,99.923,1008,1008,1008,99.9,99.9,99.9,73699.26,73699.26,73699.26,99.961,99.961,99.961,1007,1007,1007,99.801,99.801,99.801,73670.81,73670.81,73670.81,99.923,99.923,99.923,1008,1008,1008,99.9,99.9,99.9,73699.26,73699.26,73699.26,99.961,99.961,99.961
AGNC,1:8,5000,2534,2534,185273.01,2533,2533,2533,99.96,99.96,99.96,185245.66,185245.66,185245.66,99.985,99.985,99.985,2534,2534,2534,100.0,100.0,100.0,185273.01,185273.01,185273.01,100.0,100.0,100.0,2533,2533,2533,99.96,99.96,99.96,185245.66,185245.66,185245.66,99.985,99.985,99.985,2534,2534,2534,100.0,100.0,100.0,185273.01,185273.01,185273.01,100.0,100.0,100.0,2533,2533,2533,99.96,99.96,99.96,185245.66,185245.66,185245.66,99.985,99.985,99.985,2534,2534,2534,100.0,100.0,100.0,185273.01,185273.01,185273.01,100.0,100.0,100.0
AGNC,1:8,6200,3125,3125,219469.99,3125,3125,3125,100.0,100.0,100.0,219469.99,219469.99,219469.99,100.0,100.0,100.0,3125,3125,3125,100.0,100.0,100.0,219469.99,219469.99,219469.99,100.0,100.0,100.0,3125,3125,3125,100.0,100.0,100.0,219469.99,219469.99,219469.99,100.0,100.0,100.0,3125,3125,3125,100.0,100.0,100.0,219469.99,219469.99,219469.99,100.0,100.0,100.0,3125,3125,3125,100.0,100.0,100.0,219469.99,219469.99,219469.99,100.0,100.0,100.0,3125,3125,3125,100.0,100.0,100.0,219469.99,219469.99,219469.99,100.0,100.0,100.0
AMAT,1:8,2,2,2,1.55,1,1,1,50.0,50.0,50.0,0.78,0.78,0.78,50.447,50.447,50.447,1,1,1,50.0,50.0,50.0,0.78,0.78,0.78,50.447,50.447,50.447,1,1,1,50.0,50.0,50.0,0.78,0.78,0.78,50.447,50.447,50.447,1,1,1,50.0,50.0,50.0,0.78,0.78,0.78,50.447,50.447,50.447,1,1,1,50.0,50.0,50.0,0.78,0.78,0.78,50.447,50.447,50.447,1,1,1,50.0,50.0,50.0,0.78,0.78,0.78,50.447,50.447,50.447
AMAT,1:8,3,3,3,2.34,2,2,2,66.666,66.666,66.666,1.57,1.57,1.57,67.063,67.063,67.063,2,2,2,66.666,66.666,66.666,1.57,1.57,1.57,67.063,67.063,67.063,2,2,2,66.666,66.666,66.666,1.57,1.57,1.57,67.063,67.063,67.063,2,2,2,66.666,66.666,66.666,1.57,1.57,1.57,67.063,67.063,67.063,2,2,2,66.666,66.666,66.666,1.57,1.57,1.57,67.063,67.063,67.063,2,2,2,66.666,66.666,66.666,1.57,1.57,1.57,67.063,67.063,67.063
AMAT,1:8,4,4,4,3.14,3,3,3,75.0,75.0,75.0,2.37,2.37,2.37,75.443,75.443,75.443,3,3,3,75.0,75.0,75.0,2.37,2.37,2.37,75.443,75.443,75.443,3,3,3,75.0,75.0,75.0,2.37,2.37,2.37,75.443,75.443,75.443,3,3,3,75.0,75.0,75.0,2.37,2.37,2.37,75.443,75.443,75.443,3,3,3,75.0,75.0,75.0,2.37,2.37,2.37,75.443,75.443,75.443,3,3,3,75.0,75.0,75.0,2.37,2.37,2.37,75.443,75.443,75.443
AMAT,1:8,5,5,5,3.96,4,4,4,80.0,80.0,80.0,3.19,3.19,3.19,80.561,80.561,80.561,4,4,4,80.0,80.0,80.0,3.19,3.19,3.19,80.561,80.561,80.561,4,4,4,80.0,80.0,80.0,3.19,3.19,3.19,80.561,80.561,80.561,4,4,4,80.0,80.0,80.0,3.19,3.19,3.19,80.561,80.561,80.561,4,4,4,80.0,80.0,80.0,3.19,3.19,3.19,80.561,80.561,80.561,4,4,4,80.0,80.0,80.0,3.19,3.19,3.19,80.561,80.561,80.561
AMAT,1:8,10,10,10,7.54,9,9,9,90.0,90.0,90.0,6.9,6.9,6.9,91.539,91.539,91.539,9,9,9,90.0,90.0,90.0,6.9,6.9,6.9,91.539,91.539,91.539,9,9,9,90.0,90.0,90.0,6.9,6.9,6.9,91.539,91.539,91.539,9,9,9,90.0,90.0,90.0,6.9,6.9,6.9,91.539,91.539,91.539,9,9,9,90.0,90.0,90.0,6.9,6.9,6.9,91.539,91.539,91.539,9,9,9,90.0,90.0,90.0,6.9,6.9,6.9,91.539,91.539,91.539
