iterations,auction_name,recipe,num_of_agents,mean_optimal_count,mean_auction_count,count_ratio,mean_optimal_gft,mean_auction_total_gft,total_gft_ratio,mean_auction_market_gft,market_gft_ratio,stock_names
1,SBB Ascending Prices,1:1:1:1,4,2000.0,2642.0,132.1,151972.01,158438.87,104.26,158438.87,104.26,A
2,SBB Ascending Prices,1:1:1:1,4,2782.0,3424.0,123.07,165687.38,172154.24,103.9,172154.24,103.9,"A,AGNC"
4,SBB Ascending Prices,1:1:1:1,4,3282.0,4784.0,145.76,1144261.08,1212638.24,105.98,1212638.24,105.98,"A,AGNC,AMAT,AMZN"
8,SBB Ascending Prices,1:1:1:1,4,3586.5,6939.62,193.49,1472345.96,1698042.47,115.33,1698042.47,115.33,"A,AGNC,AMAT,AMZN,B,BA,BAC,C"
16,SBB Ascending Prices,1:1:1:1,4,3706.81,7671.12,206.94,1720284.06,1994356.09,115.93,1994356.09,115.93,"A,AGNC,AMAT,AMZN,B,BA,BAC,C,CMCSA,CSCO,D,E,EBAY,F,FB,FCEL"
32,SBB Ascending Prices,1:1:1:1,4,3804.0,7735.03,203.33,1546369.15,1789864.91,115.75,1789864.91,115.75,"A,AGNC,AMAT,AMZN,B,BA,BAC,C,CMCSA,CSCO,D,E,EBAY,F,FB,FCEL,GILD,GOOG,HBAN,INTC,J,JBLU,K,L,M,MA,MRVL,MSFT,NFLX,O,OSTK,PLUG"
41,SBB Ascending Prices,1:1:1:1,4,4913.49,9996.76,203.45,1781791.01,2073753.94,116.39,2073753.94,116.39,"A,AGNC,AMAT,AMZN,B,BA,BAC,C,CMCSA,CSCO,D,E,EBAY,F,FB,FCEL,GILD,GOOG,HBAN,INTC,J,JBLU,K,L,M,MA,MRVL,MSFT,NFLX,O,OSTK,PLUG,QCOM,R,SHLO,SIRI,T,TSLA,WFC,WMT,X"
