stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
AGNC,1:1:1,5,4,4,3.23,3,75.0,2.84,87.848,3,75.0,2.84,87.848,3,75.0,2.84,87.848,3,75.0,2.84,87.848,3,75.0,2.84,87.848,3,75.0,2.84,87.848,3,75.0,2.84,87.848,3,75.0,2.84,87.848
AGNC,1:1:1,10,7,7,7.71,6,85.714,7.2,93.441,6,85.714,7.2,93.441,6,85.714,7.2,93.441,6,85.714,7.2,93.441,6,85.714,7.2,93.441,6,85.714,7.2,93.441,6,85.714,7.2,93.441,6,85.714,7.2,93.441
AGNC,1:1:1,15,9,9,11.05,9,100.0,11.05,100.0,9,100.0,11.05,100.0,9,100.0,11.05,100.0,9,100.0,11.05,100.0,9,100.0,11.05,100.0,9,100.0,11.05,100.0,9,100.0,11.05,100.0,9,100.0,11.05,100.0
AGNC,1:1:1,25,16,16,45.45,15,93.75,43.31,95.28200000000001,15,93.75,43.31,95.28200000000001,15,93.75,43.31,95.28200000000001,15,93.75,43.31,95.28200000000001,15,93.75,43.31,95.28200000000001,15,93.75,43.31,95.28200000000001,15,93.75,43.31,95.28200000000001,15,93.75,43.31,95.28200000000001
AGNC,1:1:1,50,28,28,166.41,27,96.428,163.44,98.21600000000001,27,96.428,163.44,98.21600000000001,27,96.428,163.44,98.21600000000001,27,96.428,163.44,98.21600000000001,27,96.428,163.44,98.21600000000001,27,96.428,163.44,98.21600000000001,27,96.428,163.44,98.21600000000001,27,96.428,163.44,98.21600000000001
AGNC,1:1:1,100,56,56,303.51,55,98.214,302.4,99.633,55,98.214,302.4,99.633,55,98.214,302.4,99.633,55,98.214,302.4,99.633,55,98.214,302.4,99.633,55,98.214,302.4,99.633,55,98.214,302.4,99.633,55,98.214,302.4,99.633
AGNC,1:1:1,500,254,254,4093.66,253,99.60600000000001,4088.09,99.86399999999999,253,99.60600000000001,4088.09,99.86399999999999,253,99.60600000000001,4088.09,99.86399999999999,253,99.60600000000001,4088.09,99.86399999999999,253,99.60600000000001,4088.09,99.86399999999999,253,99.60600000000001,4088.09,99.86399999999999,253,99.60600000000001,4088.09,99.86399999999999,253,99.60600000000001,4088.09,99.86399999999999
AGNC,1:1:1,1000,516,516,7776.7,515,99.806,7765.03,99.85,515,99.806,7765.03,99.85,515,99.806,7765.03,99.85,515,99.806,7765.03,99.85,515,99.806,7765.03,99.85,515,99.806,7765.03,99.85,515,99.806,7765.03,99.85,515,99.806,7765.03,99.85
AGNC,1:1:1,2000,1012,1012,18465.61,1011,99.90100000000001,18458.41,99.961,1011,99.90100000000001,18458.41,99.961,1011,99.90100000000001,18458.41,99.961,1011,99.90100000000001,18458.41,99.961,1011,99.90100000000001,18458.41,99.961,1011,99.90100000000001,18458.41,99.961,1011,99.90100000000001,18458.41,99.961,1011,99.90100000000001,18458.41,99.961
AGNC,1:1:1,3100,1565,1565,27428.96,1564,99.936,27426.09,99.99,1564,99.936,27426.09,99.99,1564,99.936,27426.09,99.99,1564,99.936,27426.09,99.99,1564,99.936,27426.09,99.99,1564,99.936,27426.09,99.99,1564,99.936,27426.09,99.99,1564,99.936,27426.09,99.99
AMAT,1:1:1,2,2,2,0.19,1,50.0,0.1,50.893,1,50.0,0.1,50.893,1,50.0,0.1,50.893,1,50.0,0.1,50.893,1,50.0,0.1,50.893,1,50.0,0.1,50.893,1,50.0,0.1,50.893,1,50.0,0.1,50.893
AMAT,1:1:1,3,3,3,0.29,2,66.666,0.2,67.458,2,66.666,0.2,67.458,2,66.666,0.2,67.458,2,66.666,0.2,67.458,2,66.666,0.2,67.458,2,66.666,0.2,67.458,2,66.666,0.2,67.458,2,66.666,0.2,67.458
AMAT,1:1:1,4,4,4,0.39,3,75.0,0.3,75.885,3,75.0,0.3,75.885,3,75.0,0.3,75.885,3,75.0,0.3,75.885,3,75.0,0.3,75.885,3,75.0,0.3,75.885,3,75.0,0.3,75.885,3,75.0,0.3,75.885
AMAT,1:1:1,5,5,5,0.5,4,80.0,0.4,81.12100000000002,4,80.0,0.4,81.12100000000002,4,80.0,0.4,81.12100000000002,4,80.0,0.4,81.12100000000002,4,80.0,0.4,81.12100000000002,4,80.0,0.4,81.12100000000002,4,80.0,0.4,81.12100000000002,4,80.0,0.4,81.12100000000002
AMAT,1:1:1,10,10,10,0.94,9,90.0,0.88,93.146,9,90.0,0.88,93.146,9,90.0,0.88,93.146,9,90.0,0.88,93.146,9,90.0,0.88,93.146,9,90.0,0.88,93.146,9,90.0,0.88,93.146,9,90.0,0.88,93.146
AMAT,1:1:1,15,15,15,1.41,14,93.333,1.35,95.405,14,93.333,1.35,95.405,14,93.333,1.35,95.405,14,93.333,1.35,95.405,14,93.333,1.35,95.405,14,93.333,1.35,95.405,14,93.333,1.35,95.405,14,93.333,1.35,95.405
AMAT,1:1:1,25,25,25,2.32,24,96.0,2.25,97.12100000000001,24,96.0,2.25,97.12100000000001,24,96.0,2.25,97.12100000000001,24,96.0,2.25,97.12100000000001,24,96.0,2.25,97.12100000000001,24,96.0,2.25,97.12100000000001,24,96.0,2.25,97.12100000000001,24,96.0,2.25,97.12100000000001
AMAT,1:1:1,50,50,50,4.84,49,98.0,4.78,98.697,49,98.0,4.78,98.697,49,98.0,4.78,98.697,49,98.0,4.78,98.697,49,98.0,4.78,98.697,49,98.0,4.78,98.697,49,98.0,4.78,98.697,49,98.0,4.78,98.697
AMAT,1:1:1,100,99,99,10.97,98,98.98899999999999,10.9,99.419,98,98.98899999999999,10.9,99.419,98,98.98899999999999,10.9,99.419,98,98.98899999999999,10.9,99.419,98,98.98899999999999,10.9,99.419,98,98.98899999999999,10.9,99.419,98,98.98899999999999,10.9,99.419,98,98.98899999999999,10.9,99.419
AMAT,1:1:1,500,434,434,79.85,433,99.76899999999999,79.78,99.915,433,99.76899999999999,79.78,99.915,433,99.76899999999999,79.78,99.915,433,99.76899999999999,79.78,99.915,433,99.76899999999999,79.78,99.915,433,99.76899999999999,79.78,99.915,433,99.76899999999999,79.78,99.915,433,99.76899999999999,79.78,99.915
AMAT,1:1:1,1000,775,775,207.07,774,99.87,206.98,99.95700000000001,775,100.0,207.07,100.0,774,99.87,206.98,99.95700000000001,775,100.0,207.07,100.0,774,99.87,206.98,99.95700000000001,775,100.0,207.07,100.0,774,99.87,206.98,99.95700000000001,775,100.0,207.07,100.0
AMAT,1:1:1,2000,1183,1183,420.0,1183,100.0,420.0,100.0,1185,100.169,420.0,100.0,1183,100.0,420.0,100.0,1185,100.169,420.0,100.0,1183,100.0,420.0,100.0,1185,100.169,420.0,100.0,1183,100.0,420.0,100.0,1185,100.169,420.0,100.0
AMAT,1:1:1,5000,2533,2533,24608.46,2532,99.96,24608.27,99.999,2532,99.96,24608.27,99.999,2532,99.96,24608.27,99.999,2532,99.96,24608.27,99.999,2532,99.96,24608.27,99.999,2532,99.96,24608.27,99.999,2532,99.96,24608.27,99.999,2532,99.96,24608.27,99.999
AMAT,1:1:1,10000,5038,5038,207543.07,5037,99.98,207534.3,99.99600000000001,5037,99.98,207534.3,99.99600000000001,5037,99.98,207534.3,99.99600000000001,5037,99.98,207534.3,99.99600000000001,5037,99.98,207534.3,99.99600000000001,5037,99.98,207534.3,99.99600000000001,5037,99.98,207534.3,99.99600000000001,5037,99.98,207534.3,99.99600000000001
AMAT,1:1:1,10207,5125,5125,227079.15,5125,100.0,227079.15,100.0,5125,100.0,227079.15,100.0,5125,100.0,227079.15,100.0,5125,100.0,227079.15,100.0,5125,100.0,227079.15,100.0,5125,100.0,227079.15,100.0,5125,100.0,227079.15,100.0,5125,100.0,227079.15,100.0
AMZN,1:1:1,2,1,1,0.78,1,100.0,0.78,100.0,1,100.0,0.78,100.0,1,100.0,0.78,100.0,1,100.0,0.78,100.0,1,100.0,0.78,100.0,1,100.0,0.78,100.0,1,100.0,0.78,100.0,1,100.0,0.78,100.0
AMZN,1:1:1,3,2,2,1.1,1,50.0,1.03,93.396,1,50.0,1.03,93.396,1,50.0,1.03,93.396,1,50.0,1.03,93.396,1,50.0,1.03,93.396,1,50.0,1.03,93.396,1,50.0,1.03,93.396,1,50.0,1.03,93.396
AMZN,1:1:1,4,2,2,1.42,2,100.0,1.42,100.0,2,100.0,1.42,100.0,2,100.0,1.42,100.0,2,100.0,1.42,100.0,2,100.0,1.42,100.0,2,100.0,1.42,100.0,2,100.0,1.42,100.0,2,100.0,1.42,100.0
AMZN,1:1:1,5,3,3,1.89,2,66.666,1.66,88.03,2,66.666,1.66,88.03,2,66.666,1.66,88.03,2,66.666,1.66,88.03,2,66.666,1.66,88.03,2,66.666,1.66,88.03,2,66.666,1.66,88.03,2,66.666,1.66,88.03
AMZN,1:1:1,10,5,6,3.78,5,100.0,3.78,100.0,5,83.333,3.66,96.92399999999999,5,100.0,3.78,100.0,5,83.333,3.66,96.92399999999999,5,100.0,3.78,100.0,5,83.333,3.66,96.92399999999999,5,100.0,3.78,100.0,5,83.333,3.66,96.92399999999999
AMZN,1:1:1,15,9,9,4.61,8,88.88799999999998,4.45,96.62299999999999,8,88.88799999999998,4.45,96.62299999999999,8,88.88799999999998,4.45,96.62299999999999,8,88.88799999999998,4.45,96.62299999999999,8,88.88799999999998,4.45,96.62299999999999,8,88.88799999999998,4.45,96.62299999999999,8,88.88799999999998,4.45,96.62299999999999,8,88.88799999999998,4.45,96.62299999999999
AMZN,1:1:1,25,13,13,6.11,13,100.0,6.11,100.0,13,100.0,6.11,100.0,13,100.0,6.11,100.0,13,100.0,6.11,100.0,13,100.0,6.11,100.0,13,100.0,6.11,100.0,13,100.0,6.11,100.0,13,100.0,6.11,100.0
AMZN,1:1:1,50,27,27,29.66,26,96.296,29.58,99.71600000000001,26,96.296,29.58,99.71600000000001,26,96.296,29.58,99.71600000000001,26,96.296,29.58,99.71600000000001,26,96.296,29.58,99.71600000000001,26,96.296,29.58,99.71600000000001,26,96.296,29.58,99.71600000000001,26,96.296,29.58,99.71600000000001
AMZN,1:1:1,100,55,55,130.09,55,100.0,130.09,100.0,55,100.0,130.09,100.0,55,100.0,130.09,100.0,55,100.0,130.09,100.0,55,100.0,130.09,100.0,55,100.0,130.09,100.0,55,100.0,130.09,100.0,55,100.0,130.09,100.0
AMZN,1:1:1,500,254,254,17556.35,254,100.0,17556.35,100.0,254,100.0,17556.35,100.0,254,100.0,17556.35,100.0,254,100.0,17556.35,100.0,254,100.0,17556.35,100.0,254,100.0,17556.35,100.0,254,100.0,17556.35,100.0,254,100.0,17556.35,100.0
AMZN,1:1:1,1000,503,503,50282.87,503,100.0,50282.87,100.0,503,100.0,50282.87,100.0,503,100.0,50282.87,100.0,503,100.0,50282.87,100.0,503,100.0,50282.87,100.0,503,100.0,50282.87,100.0,503,100.0,50282.87,100.0,503,100.0,50282.87,100.0
AMZN,1:1:1,2000,1007,1007,77748.57,1007,100.0,77748.57,100.0,1007,100.0,77748.57,100.0,1007,100.0,77748.57,100.0,1007,100.0,77748.57,100.0,1007,100.0,77748.57,100.0,1007,100.0,77748.57,100.0,1007,100.0,77748.57,100.0,1007,100.0,77748.57,100.0
AMZN,1:1:1,5000,2520,2520,1253050.62,2520,100.0,1253050.62,100.0,2520,100.0,1253050.62,100.0,2520,100.0,1253050.62,100.0,2520,100.0,1253050.62,100.0,2520,100.0,1253050.62,100.0,2520,100.0,1253050.62,100.0,2520,100.0,1253050.62,100.0,2520,100.0,1253050.62,100.0
AMZN,1:1:1,5867,2955,2955,4093364.01,2955,100.0,4093364.01,100.0,2955,100.0,4093364.01,100.0,2955,100.0,4093364.01,100.0,2955,100.0,4093364.01,100.0,2955,100.0,4093364.01,100.0,2955,100.0,4093364.01,100.0,2955,100.0,4093364.01,100.0,2955,100.0,4093364.01,100.0
B,1:1:1,2,2,2,5.52,1,50.0,2.82,51.132,1,50.0,2.82,51.132,1,50.0,2.82,51.132,1,50.0,2.82,51.132,1,50.0,2.82,51.132,1,50.0,2.82,51.132,1,50.0,2.82,51.132,1,50.0,2.82,51.132
B,1:1:1,3,3,3,8.44,2,66.666,5.78,68.477,2,66.666,5.78,68.477,2,66.666,5.78,68.477,2,66.666,5.78,68.477,2,66.666,5.78,68.477,2,66.666,5.78,68.477,2,66.666,5.78,68.477,2,66.666,5.78,68.477
B,1:1:1,4,4,4,11.31,3,75.0,8.69,76.842,3,75.0,8.69,76.842,3,75.0,8.69,76.842,3,75.0,8.69,76.842,3,75.0,8.69,76.842,3,75.0,8.69,76.842,3,75.0,8.69,76.842,3,75.0,8.69,76.842
