,recipe,n,k,k+0,OPT_GFT,OPT_GFT+0,McAfee_k',%k',total_gft,%total_gft,market_gft,market_%gft,McAfee_Without_Heuristic_k',%k',total_gft,%total_gft,market_gft,market_%gft,SBB_External_Competition_k',%k',gft,%gft,market_gft,market_%gft,SBB_Ascending_Prices_k,%k',gft,%gft,market_gft,market_%gft
stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,optimal_gft_with_gft_zero,McAfee_count,McAfee_count_ratio,McAfee_total_gft,McAfee_total_gft_ratio,McAfee_market_gft,McAfee_market_gft_ratio,McAfee_Without_Heuristic_count,McAfee_Without_Heuristic_count_ratio,McAfee_Without_Heuristic_total_gft,McAfee_Without_Heuristic_total_gft_ratio,McAfee_Without_Heuristic_market_gft,McAfee_Without_Heuristic_market_gft_ratio,SBB_External_Competition_count,SBB_External_Competition_count_ratio,SBB_External_Competition_total_gft,SBB_External_Competition_total_gft_ratio,SBB_External_Competition_market_gft,SBB_External_Competition_market_gft_ratio,SBB_Ascending_Prices_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_total_gft,SBB_Ascending_Prices_total_gft_ratio,SBB_Ascending_Prices_market_gft,SBB_Ascending_Prices_market_gft_ratio
AGNC,1:1,25,16,16,20120,20120,16,100.0,20120.0,100.0,20120.0,100.0,15,93.75,20020.0,99.503,18520.0,92.048,15,93.75,19226.0,95.557,19226.0,95.557,16,100.0,20120.0,100.0,20120.0,100.0
AGNC,1:1,50,27,27,80968,80968,27,100.0,80968.0,100.0,80968.0,100.0,26,96.296,80768.0,99.753,75568.0,93.331,27,100.0,80968.0,100.0,80968.0,100.0,27,100.0,80968.0,100.0,80968.0,100.0
AGNC,1:1,100,55,55,148497,148497,55,100.0,148497.0,100.0,148497.0,100.0,54,98.181,148477.0,99.987,147397.0,99.259,54,98.181,147140.31,99.086,147140.31,99.086,54,98.181,147140.31,99.086,147140.31,99.086
AGNC,1:1,500,254,254,2020666,2020666,254,100.0,2020666.0,100.0,2020666.0,100.0,253,99.606,2020636.0,99.999,2013046.0,99.623,253,99.606,2017847.38,99.861,2017847.38,99.861,253,99.606,2017847.38,99.861,2017847.38,99.861
AGNC,1:1,1000,513,513,3829588,3829588,513,100.0,3829588.0,100.0,3829588.0,100.0,512,99.805,3829538.0,99.999,3803938.0,99.33,513,100.0,3829588.0,100.0,3829588.0,100.0,513,100.0,3829588.0,100.0,3829588.0,100.0
AGNC,1:1,2000,1009,1009,9215901,9215901,1008,99.9,9215882.0,100.0,9196730.0,99.792,1008,99.9,9215882.0,100.0,9196730.0,99.792,1007,99.801,9208788.95,99.923,9208788.95,99.923,1008,99.9,9212344.97,99.961,9212344.97,99.961
AGNC,1:1,5000,2534,2534,23158914,23158914,2534,100.0,23158914.0,100.0,23158914.0,100.0,2533,99.96,23158904.0,100.0,23133574.0,99.891,2533,99.96,23155495.45,99.985,23155495.45,99.985,2534,100.0,23158914.0,100.0,23158914.0,100.0
AGNC,1:1,6200,3125,3125,27433523,27433523,3125,100.0,27433523.0,100.0,27433523.0,100.0,3124,99.968,27433504.0,100.0,27374148.0,99.784,3118,99.776,27413448.34,99.927,27413448.34,99.927,3125,100.0,27433523.0,100.0,27433523.0,100.0
AMZN,1:1,2,1,1,532,532,1,100.0,532.0,100.0,532.0,100.0,0,0.0,0,0.0,0,0.0,1,100.0,532.0,100.0,532.0,100.0,1,100.0,532.0,100.0,532.0,100.0
AMZN,1:1,3,2,2,751,751,1,50.0,740.0,98.535,729.0,97.071,1,50.0,740.0,98.535,729.0,97.071,1,50.0,636.0,84.687,636.0,84.687,1,50.0,636.0,84.687,636.0,84.687
AMZN,1:1,4,2,2,990,990,2,100.0,990.0,100.0,990.0,100.0,1,50.0,771.0,77.879,552.0,55.758,2,100.0,990.0,100.0,990.0,100.0,2,100.0,990.0,100.0,990.0,100.0
AMZN,1:1,5,3,3,1125,1125,2,66.666,1115.0,99.111,1095.0,97.333,2,66.666,1115.0,99.111,1095.0,97.333,2,66.666,1063.0,94.489,1063.0,94.489,2,66.666,1063.0,94.489,1063.0,94.489
AMZN,1:1,10,6,6,2135,2135,5,83.333,2125.0,99.532,2075.0,97.19,5,83.333,2125.0,99.532,2075.0,97.19,4,66.666,1896.33,88.821,1896.33,88.821,5,83.333,2015.67,94.411,2015.67,94.411
AMZN,1:1,15,8,9,2676,2676,8,88.888,2676.0,100.0,2676.0,100.0,8,88.888,2676.0,100.0,2676.0,100.0,7,87.5,2608.62,97.482,2608.62,97.482,8,88.888,2616.11,97.762,2616.11,97.762
AMZN,1:1,25,14,15,3475,3475,14,93.333,3475.0,100.0,3475.0,100.0,14,93.333,3475.0,100.0,3475.0,100.0,14,100.0,3475.0,100.0,3475.0,100.0,14,93.333,3386.93,97.466,3386.93,97.466
AMZN,1:1,50,27,28,15405,15405,27,96.428,15405.0,100.0,15405.0,100.0,27,96.428,15405.0,100.0,15405.0,100.0,26,96.296,14934.26,96.944,14934.26,96.944,27,96.428,15308.75,99.375,15308.75,99.375
AMZN,1:1,100,55,55,66304,66304,55,100.0,66304.0,100.0,66304.0,100.0,54,98.181,66293.0,99.983,65699.0,99.088,53,96.363,65377.2,98.602,65377.2,98.602,55,100.0,66304.0,100.0,66304.0,100.0
AMZN,1:1,500,254,254,8987397,8987397,253,99.606,8987391.0,100.0,8985873.0,99.983,253,99.606,8987391.0,100.0,8985873.0,99.983,253,99.606,8983917.68,99.961,8983917.68,99.961,253,99.606,8983917.68,99.961,8983917.68,99.961
AMZN,1:1,1000,503,503,25646518,25646518,503,100.0,25646518.0,100.0,25646518.0,100.0,502,99.801,25646081.0,99.998,25426707.0,99.143,503,100.0,25646518.0,100.0,25646518.0,100.0,503,100.0,25646518.0,100.0,25646518.0,100.0
AMZN,1:1,2000,1007,1007,39444035,39444035,1007,100.0,39444035.0,100.0,39444035.0,100.0,1006,99.9,39443972.0,100.0,39380594.0,99.839,1006,99.9,39428415.2,99.96,39428415.2,99.96,1006,99.9,39428415.2,99.96,39428415.2,99.96
AMZN,1:1,5000,2525,2525,629399904,629399904,2524,99.96,629399884.0,100.0,629349404.0,99.992,2524,99.96,629399884.0,100.0,629349404.0,99.992,2524,99.96,629363666.29,99.994,629363666.29,99.994,2524,99.96,629363666.29,99.994,629363666.29,99.994
AMZN,1:1,10000,5046,5046,2298061482,2298061482,5045,99.98,2298061480.0,100.0,2298051390.0,100.0,5045,99.98,2298061480.0,100.0,2298051390.0,100.0,5045,99.98,2298025775.93,99.998,2298025775.93,99.998,5046,100.0,2298061482.0,100.0,2298061482.0,100.0
AMZN,1:1,11734,5912,5912,4093423461,4093423461,5911,99.983,4093423442.0,100.0,4093311133.0,99.997,5911,99.983,4093423442.0,100.0,4093311133.0,99.997,5911,99.983,4093377800.54,99.999,4093377800.54,99.999,5912,100.0,4093423461.0,100.0,4093423461.0,100.0
BA,1:1,2,1,2,16,16,1,50.0,16.0,100.0,16.0,100.0,1,50.0,16.0,100.0,16.0,100.0,1,100.0,16.0,100.0,16.0,100.0,1,50.0,15.0,93.75,15.0,93.75
BA,1:1,3,2,2,32,32,2,100.0,32.0,100.0,32.0,100.0,1,50.0,18.0,56.25,4.0,12.5,2,100.0,32.0,100.0,32.0,100.0,2,100.0,32.0,100.0,32.0,100.0
BA,1:1,4,2,3,38,38,3,100.0,38.0,100.0,38.0,100.0,2,66.666,38.0,100.0,38.0,100.0,2,100.0,38.0,100.0,38.0,100.0,2,66.666,35.33,92.982,35.33,92.982
BA,1:1,5,3,3,61,61,3,100.0,61.0,100.0,61.0,100.0,2,66.666,59.0,96.721,55.0,90.164,2,66.666,50.67,83.06,50.67,83.06,3,100.0,61.0,100.0,61.0,100.0
BA,1:1,10,7,7,154,154,7,100.0,154.0,100.0,154.0,100.0,6,85.714,152.0,98.701,140.0,90.909,5,71.428,128.29,83.302,128.29,83.302,7,100.0,154.0,100.0,154.0,100.0
BA,1:1,15,11,12,266,266,12,100.0,266.0,100.0,266.0,100.0,11,91.666,266.0,100.0,266.0,100.0,9,81.818,245.27,92.208,245.27,92.208,11,91.666,256.5,96.429,256.5,96.429
BA,1:1,25,14,14,883,883,13,92.857,875.0,99.094,771.0,87.316,13,92.857,875.0,99.094,771.0,87.316,13,92.857,859.57,97.347,859.57,97.347,13,92.857,859.57,97.347,859.57,97.347
BA,1:1,50,27,28,1666,1666,28,100.0,1666.0,100.0,1666.0,100.0,27,96.428,1666.0,100.0,1666.0,100.0,27,100.0,1666.0,100.0,1666.0,100.0,27,96.428,1635.46,98.167,1635.46,98.167
BA,1:1,100,55,57,4826,4826,56,98.245,4826.0,100.0,4826.0,100.0,56,98.245,4826.0,100.0,4826.0,100.0,54,98.181,4779.84,99.043,4779.84,99.043,57,100.0,4826.0,100.0,4826.0,100.0
BA,1:1,500,266,269,36098,36098,268,99.628,36098.0,100.0,36098.0,100.0,268,99.628,36098.0,100.0,36098.0,100.0,257,96.616,35728.53,98.976,35728.53,98.976,269,100.0,36098.0,100.0,36098.0,100.0
BA,1:1,1000,504,505,266490,266490,504,99.801,266490.0,100.0,266490.0,100.0,504,99.801,266490.0,100.0,266490.0,100.0,503,99.801,266092.49,99.851,266092.49,99.851,504,99.801,266359.02,99.951,266359.02,99.951
BA,1:1,2000,1007,1008,1446602,1446602,1007,99.9,1446602.0,100.0,1446602.0,100.0,1007,99.9,1446602.0,100.0,1446602.0,100.0,1005,99.801,1445806.46,99.945,1445806.46,99.945,1008,100.0,1446602.0,100.0,1446602.0,100.0
BA,1:1,5000,2509,2513,5787467,5787467,2512,99.96,5787467.0,100.0,5787467.0,100.0,2512,99.96,5787467.0,100.0,5787467.0,100.0,2508,99.96,5785576.57,99.967,5785576.57,99.967,2512,99.96,5787051.41,99.993,5787051.41,99.993
BA,1:1,10000,5017,5019,117241730,117241730,5018,99.98,117241730.0,100.0,117241730.0,100.0,5018,99.98,117241730.0,100.0,117241730.0,100.0,5003,99.72,116963057.11,99.762,116963057.11,99.762,5018,99.98,117238267.69,99.997,117238267.69,99.997
BA,1:1,20000,10026,10039,684796894,684796894,10038,99.99,684796894.0,100.0,684796894.0,100.0,10038,99.99,684796894.0,100.0,684796894.0,100.0,10025,99.99,684732103.72,99.991,684732103.72,99.991,10038,99.99,684793386.73,99.999,684793386.73,99.999
BA,1:1,29544,14793,14810,1268664410,1268664410,14809,99.993,1268664410.0,100.0,1268664410.0,100.0,14809,99.993,1268664410.0,100.0,1268664410.0,100.0,14788,99.966,1268311637.28,99.972,1268311637.28,99.972,14809,99.993,1268649220.87,99.999,1268649220.87,99.999
BAC,1:1,2,1,1,15,15,1,100.0,15.0,100.0,15.0,100.0,0,0.0,0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,1,100.0,15.0,100.0,15.0,100.0
