stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,0.99,8.939,0.99,387.03,387.03,0.56,48.03,300.06,52.415,259.62,47.862,0.17,8.93,108.39,13.324,67.96,8.771,0.47,38.93,233.71,41.219,233.71,41.219,0.47,38.93,233.71,41.219,233.71,41.219
Average,1:1,3,1.49,25.555,1.49,623.68,623.68,1.01,62.82,543.05,72.722,488.14,66.814,0.56,25.55,334.14,37.726,222.47,26.518,0.99,61.91,488.67,67.220,488.67,67.220,0.99,61.91,488.67,67.220,488.67,67.220
Average,1:1,4,2.01,41.994,2.01,915.52,915.52,1.60,78.35,855.58,88.555,791.20,82.222,1.02,41.99,627.70,58.715,409.49,39.730,1.52,74.11,776.19,79.631,776.19,79.631,1.52,74.11,776.19,79.631,776.19,79.631
Average,1:1,5,2.51,54.272,2.51,1161.25,1161.25,2.04,79.90,1091.53,90.662,983.40,82.044,1.52,54.27,921.85,73.004,620.70,50.061,2.03,80.51,1027.58,86.318,1027.58,86.318,2.03,80.51,1027.58,86.318,1027.58,86.318
Average,1:1,10,5.08,79.178,5.08,2424.60,2424.60,4.63,91.20,2390.18,98.395,2248.86,92.402,4.08,79.17,2288.44,94.070,1771.87,73.225,4.60,90.42,2301.43,94.471,2301.43,94.471,4.60,90.42,2301.43,94.471,2301.43,94.471
Average,1:1,15,7.45,86.061,7.45,3595.90,3595.90,6.92,92.95,3564.72,99.130,3356.21,93.532,6.45,86.06,3503.92,97.343,2945.21,81.962,6.93,92.88,3460.68,96.117,3460.68,96.117,6.93,92.88,3460.68,96.117,3460.68,96.117
Average,1:1,25,12.44,91.806,12.44,6141.67,6141.67,11.97,96.19,6123.73,99.707,5913.91,96.374,11.44,91.80,6082.73,99.032,5419.53,88.375,11.91,95.68,6006.22,97.735,6006.22,97.735,11.91,95.68,6006.22,97.735,6006.22,97.735
Average,1:1,50,24.91,95.937,24.91,12373.75,12373.75,24.44,98.11,12364.66,99.926,12146.63,98.174,23.91,95.93,12341.96,99.740,11591.64,93.706,24.40,97.98,12243.91,98.945,12243.91,98.945,24.40,97.98,12243.91,98.945,12243.91,98.945
Average,1:1,100,50.00,97.990,50.00,24759.31,24759.31,49.49,98.97,24754.66,99.981,24527.97,99.065,49.00,97.99,24744.24,99.938,24012.16,96.974,49.46,98.93,24625.46,99.457,24625.46,99.457,49.46,98.93,24625.46,99.457,24625.46,99.457
Average,1:1,500,250.12,99.599,250.12,124733.03,124733.03,249.58,99.78,124731.80,99.999,124427.02,99.754,249.12,99.59,124730.10,99.997,124002.39,99.413,249.64,99.80,124613.74,99.904,124613.74,99.904,249.64,99.80,124613.74,99.904,124613.74,99.904
Average,1:1,1000,499.31,99.799,499.31,249720.06,249720.06,498.81,99.90,249719.57,99.999,249471.78,99.900,498.31,99.79,249718.49,99.999,248935.41,99.686,498.81,99.89,249595.01,99.949,249595.01,99.949,498.81,99.89,249595.01,99.949,249595.01,99.949
