stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:4,2,0.99,2.121,0.99,456785.83,456785.83,0.65,62.57,412070.47,64.039,412070.47,64.039,0.65,62.57,409177.52,63.035,409177.52,63.035
Average,1:4,3,1.46,15.858,1.46,678427.84,678427.84,1.18,82.07,654684.58,88.045,654684.58,88.045,1.18,82.07,649516.36,86.617,649516.36,86.617
Average,1:4,4,1.98,30.000,1.98,869615.05,869615.05,1.68,85.85,853789.81,92.074,853789.81,92.074,1.68,85.85,849956.27,91.004,849956.27,91.004
Average,1:4,5,2.44,39.575,2.45,1152508.80,1152508.80,2.15,89.06,1117472.83,95.235,1117472.83,95.235,2.15,88.96,1112663.42,94.344,1112663.42,94.344
Average,1:4,10,5.12,66.538,5.12,2452908.33,2452908.33,4.77,93.26,2428953.55,97.730,2428953.55,97.730,4.77,93.26,2423573.19,97.355,2423573.19,97.355
Average,1:4,15,7.53,76.135,7.53,3552900.24,3552900.24,7.19,95.64,3529286.19,98.582,3529286.19,98.582,7.19,95.64,3525051.99,98.293,3525051.99,98.293
Average,1:4,25,12.53,85.055,12.53,5746882.58,5746882.58,12.23,97.67,5727122.73,99.429,5727122.73,99.429,12.23,97.67,5720745.05,99.254,5720745.05,99.254
Average,1:4,50,24.95,92.254,24.95,11893911.00,11893911.00,24.67,98.88,11874638.46,99.713,11874638.46,99.713,24.67,98.88,11870342.25,99.637,11870342.25,99.637
Average,1:4,100,49.95,96.063,49.95,22991818.68,22991818.68,49.65,99.39,22976032.17,99.859,22976032.17,99.859,49.65,99.39,22969309.81,99.809,22969309.81,99.809
Average,1:4,500,250.19,99.203,250.26,113705803.95,113705803.95,249.96,99.91,113684532.42,99.972,113684532.42,99.972,249.96,99.88,113675674.89,99.960,113675674.89,99.960
Average,1:4,1000,499.24,99.600,499.42,230419623.27,230419623.27,499.19,99.98,230402821.88,99.987,230402821.88,99.987,499.19,99.95,230395703.79,99.981,230395703.79,99.981
