recipe,ecwingftrand,tiegftrand,apwingftrand,ecwingftstock,tiegftstock,apwingftstock
(1:2),0,100,0,5.44,53.14,41.63
(1:4),0,100,0,5.08,44.14,44.34
(1:8),0,100,0,4.49,44.92,44.14
(1:16),0,100,0,4.3,45.7,43.55
(2:2),40,0,60,46.83,9.33,33.21
(2:3),65,5,30,47.3,9.12,32.77
(2:2:2),40,0,60,20.5,19.04,60.67
(1:2:3:4),45,0,55,23.63,21.29,48.63
(1:2:3),35,10,55,17.97,28.13,47.46
(1:2:2),25,20,55,14.84,30.66,48.05
