recipe,external_wins_gft,tie_gft,ascending_wins_gft,external_wins_k,tie_k,ascending_wins_k,external_wins,tie,ascending_wins
"(1, 2)",0,5,95,0,100,0,0,1,19
"(1, 3)",5,10,85,0,100,0,1,2,17
"(1, 4)",0,20,80,0,100,0,0,4,16
"(1, 8)",10,5,85,0,100,0,2,1,17
"(1, 16)",5,5,90,0,100,0,1,1,18
"(2, 2)",25,0,75,0,100,0,5,0,15
