recipe,external_wins_gft,tie_gft,ascending_wins_gft,external_wins_k,tie_k,ascending_wins_k,external_wins,tie,ascending_wins
"(7, 8, 5)",70,0,30,0,100,0,14,0,6
"(7, 8, 6)",65,0,35,0,100,0,13,0,7
"(7, 8, 7)",60,0,40,0,100,0,12,0,8
"(7, 8, 8)",45,5,50,0,100,0,9,1,10
"(7, 8, 9)",55,0,45,0,100,0,11,0,9
"(7, 9, 1)",50,0,50,0,100,0,10,0,10
"(7, 9, 2)",65,0,35,0,100,0,13,0,7
"(7, 9, 3)",40,0,60,0,100,0,8,0,12
"(7, 9, 4)",35,0,65,0,100,0,7,0,13
"(7, 9, 5)",30,0,70,0,100,0,6,0,14
"(7, 9, 6)",40,0,60,0,100,0,8,0,12
"(7, 9, 7)",60,0,40,0,100,0,12,0,8
"(7, 9, 8)",65,0,35,0,100,0,13,0,7
"(7, 9, 9)",40,0,60,0,100,0,8,0,12
"(8, 1, 1)",60,0,40,0,100,0,12,0,8
"(8, 1, 2)",40,0,60,0,100,0,8,0,12
"(8, 1, 3)",60,0,40,0,100,0,12,0,8
"(8, 1, 4)",50,0,50,0,100,0,10,0,10
"(8, 1, 5)",45,0,55,0,100,0,9,0,11
"(8, 1, 6)",30,0,70,0,100,0,6,0,14
"(8, 1, 7)",45,0,55,0,100,0,9,0,11
"(8, 1, 8)",45,0,55,0,100,0,9,0,11
"(8, 1, 9)",40,0,60,0,100,0,8,0,12
"(8, 2, 1)",65,0,35,0,100,0,13,0,7
"(8, 2, 2)",40,0,60,0,100,0,8,0,12
"(8, 2, 3)",50,0,50,0,100,0,10,0,10
"(8, 2, 4)",55,0,45,0,100,0,11,0,9
"(8, 2, 5)",50,0,50,0,100,0,10,0,10
"(8, 2, 6)",65,0,35,0,100,0,13,0,7
"(8, 2, 7)",40,0,60,0,100,0,8,0,12
"(8, 2, 8)",60,0,40,0,100,0,12,0,8
"(8, 2, 9)",70,0,30,0,100,0,14,0,6
"(8, 3, 1)",20,0,80,0,100,0,4,0,16
"(8, 3, 2)",45,0,55,0,100,0,9,0,11
"(8, 3, 3)",55,5,40,0,100,0,11,1,8
"(8, 3, 4)",45,0,55,0,100,0,9,0,11
"(8, 3, 5)",60,0,40,0,100,0,12,0,8
"(8, 3, 6)",55,0,45,0,100,0,11,0,9
"(8, 3, 7)",40,0,60,0,100,0,8,0,12
"(8, 3, 8)",50,0,50,0,100,0,10,0,10
"(8, 3, 9)",65,0,35,0,100,0,13,0,7
"(8, 4, 1)",50,0,50,0,100,0,10,0,10
"(8, 4, 2)",60,0,40,0,100,0,12,0,8
"(8, 4, 3)",60,0,40,0,100,0,12,0,8
"(8, 4, 4)",40,0,60,0,100,0,8,0,12
"(8, 4, 5)",45,0,55,0,100,0,9,0,11
"(8, 4, 6)",45,0,55,0,100,0,9,0,11
"(8, 4, 7)",55,0,45,0,100,0,11,0,9
"(8, 4, 8)",60,0,40,0,100,0,12,0,8
"(8, 4, 9)",50,0,50,0,100,0,10,0,10
"(8, 5, 1)",50,0,50,0,100,0,10,0,10
"(8, 5, 2)",55,0,45,0,100,0,11,0,9
"(8, 5, 3)",55,0,45,0,100,0,11,0,9
"(8, 5, 4)",45,0,55,0,100,0,9,0,11
"(8, 5, 5)",55,0,45,0,100,0,11,0,9
"(8, 5, 6)",45,0,55,0,100,0,9,0,11
"(8, 5, 7)",60,0,40,0,100,0,12,0,8
"(8, 5, 8)",60,0,40,0,100,0,12,0,8
"(8, 5, 9)",55,0,45,0,100,0,11,0,9
"(8, 6, 1)",55,0,45,0,100,0,11,0,9
"(8, 6, 2)",45,0,55,0,100,0,9,0,11
"(8, 6, 3)",30,0,70,0,100,0,6,0,14
"(8, 6, 4)",65,0,35,0,100,0,13,0,7
"(8, 6, 5)",35,0,65,0,100,0,7,0,13
"(8, 6, 6)",70,0,30,0,100,0,14,0,6
"(8, 6, 7)",45,0,55,0,100,0,9,0,11
"(8, 6, 8)",50,0,50,0,100,0,10,0,10
"(8, 6, 9)",55,0,45,0,100,0,11,0,9
"(8, 7, 1)",45,0,55,0,100,0,9,0,11
"(8, 7, 2)",55,0,45,0,100,0,11,0,9
"(8, 7, 3)",60,0,40,0,100,0,12,0,8
"(8, 7, 4)",30,0,70,0,100,0,6,0,14
"(8, 7, 5)",50,0,50,0,100,0,10,0,10
"(8, 7, 6)",45,0,55,0,100,0,9,0,11
"(8, 7, 7)",75,0,25,0,100,0,15,0,5
"(8, 7, 8)",45,0,55,0,100,0,9,0,11
"(8, 7, 9)",50,0,50,0,100,0,10,0,10
"(8, 8, 1)",55,0,45,0,100,0,11,0,9
"(8, 8, 2)",50,0,50,0,100,0,10,0,10
"(8, 8, 3)",55,0,45,0,100,0,11,0,9
"(8, 8, 4)",70,0,30,0,100,0,14,0,6
"(8, 8, 5)",65,0,35,0,100,0,13,0,7
"(8, 8, 6)",40,5,55,0,100,0,8,1,11
"(8, 8, 7)",55,0,45,0,100,0,11,0,9
"(8, 8, 8)",55,0,45,0,100,0,11,0,9
"(8, 8, 9)",50,0,50,0,100,0,10,0,10
"(8, 9, 1)",60,0,40,0,100,0,12,0,8
"(8, 9, 2)",60,0,40,0,100,0,12,0,8
"(8, 9, 3)",45,0,55,0,100,0,9,0,11
"(8, 9, 4)",20,0,80,0,100,0,4,0,16
"(8, 9, 5)",50,0,50,0,100,0,10,0,10
"(8, 9, 6)",55,0,45,0,100,0,11,0,9
"(8, 9, 7)",50,0,50,0,100,0,10,0,10
"(8, 9, 8)",25,0,75,0,100,0,5,0,15
"(8, 9, 9)",60,0,40,0,100,0,12,0,8
"(9, 1, 1)",50,0,50,0,100,0,10,0,10
"(9, 1, 2)",50,0,50,0,100,0,10,0,10
"(9, 1, 3)",35,0,65,0,100,0,7,0,13
"(9, 1, 4)",40,0,60,0,100,0,8,0,12
"(9, 1, 5)",65,0,35,0,100,0,13,0,7
"(9, 1, 6)",50,0,50,0,100,0,10,0,10
"(9, 1, 7)",50,0,50,0,100,0,10,0,10
"(9, 1, 8)",55,0,45,0,100,0,11,0,9
"(9, 1, 9)",45,0,55,0,100,0,9,0,11
"(9, 2, 1)",60,0,40,0,100,0,12,0,8
"(9, 2, 2)",55,0,45,0,100,0,11,0,9
"(9, 2, 3)",50,0,50,0,100,0,10,0,10
"(9, 2, 4)",50,0,50,0,100,0,10,0,10
"(9, 2, 5)",50,0,50,0,100,0,10,0,10
"(9, 2, 6)",40,0,60,0,100,0,8,0,12
"(9, 2, 7)",60,0,40,0,100,0,12,0,8
"(9, 2, 8)",50,0,50,0,100,0,10,0,10
"(9, 2, 9)",50,0,50,0,100,0,10,0,10
"(9, 3, 1)",40,0,60,0,100,0,8,0,12
"(9, 3, 2)",50,5,45,0,100,0,10,1,9
"(9, 3, 3)",55,0,45,0,100,0,11,0,9
"(9, 3, 4)",45,0,55,0,100,0,9,0,11
"(9, 3, 5)",65,0,35,0,100,0,13,0,7
"(9, 3, 6)",55,0,45,0,100,0,11,0,9
"(9, 3, 7)",60,0,40,0,100,0,12,0,8
"(9, 3, 8)",60,0,40,0,100,0,12,0,8
"(9, 3, 9)",50,0,50,0,100,0,10,0,10
"(9, 4, 1)",60,0,40,0,100,0,12,0,8
"(9, 4, 2)",40,0,60,0,100,0,8,0,12
"(9, 4, 3)",45,0,55,0,100,0,9,0,11
"(9, 4, 4)",50,0,50,0,100,0,10,0,10
"(9, 4, 5)",65,0,35,0,100,0,13,0,7
"(9, 4, 6)",50,0,50,0,100,0,10,0,10
"(9, 4, 7)",40,0,60,0,100,0,8,0,12
"(9, 4, 8)",55,0,45,0,100,0,11,0,9
"(9, 4, 9)",45,0,55,0,100,0,9,0,11
"(9, 5, 1)",55,0,45,0,100,0,11,0,9
"(9, 5, 2)",55,0,45,0,100,0,11,0,9
"(9, 5, 3)",70,0,30,0,100,0,14,0,6
"(9, 5, 4)",45,0,55,0,100,0,9,0,11
"(9, 5, 5)",45,0,55,0,100,0,9,0,11
"(9, 5, 6)",60,0,40,0,100,0,12,0,8
"(9, 5, 7)",70,0,30,0,100,0,14,0,6
"(9, 5, 8)",55,0,45,0,100,0,11,0,9
"(9, 5, 9)",50,0,50,0,100,0,10,0,10
"(9, 6, 1)",45,0,55,0,100,0,9,0,11
"(9, 6, 2)",30,0,70,0,100,0,6,0,14
"(9, 6, 3)",40,0,60,0,100,0,8,0,12
"(9, 6, 4)",20,5,75,0,100,0,4,1,15
"(9, 6, 5)",80,0,20,0,100,0,16,0,4
"(9, 6, 6)",60,0,40,0,100,0,12,0,8
"(9, 6, 7)",40,0,60,0,100,0,8,0,12
"(9, 6, 8)",60,0,40,0,100,0,12,0,8
"(9, 6, 9)",45,0,55,0,100,0,9,0,11
"(9, 7, 1)",65,0,35,0,100,0,13,0,7
"(9, 7, 2)",35,0,65,0,100,0,7,0,13
"(9, 7, 3)",30,0,70,0,100,0,6,0,14
"(9, 7, 4)",75,0,25,0,100,0,15,0,5
"(9, 7, 5)",40,0,60,0,100,0,8,0,12
"(9, 7, 6)",45,0,55,0,100,0,9,0,11
"(9, 7, 7)",50,0,50,0,100,0,10,0,10
"(9, 7, 8)",30,0,70,0,100,0,6,0,14
"(9, 7, 9)",50,0,50,0,100,0,10,0,10
"(9, 8, 1)",60,0,40,0,100,0,12,0,8
"(9, 8, 2)",50,0,50,0,100,0,10,0,10
"(9, 8, 3)",65,0,35,0,100,0,13,0,7
"(9, 8, 4)",70,0,30,0,100,0,14,0,6
"(9, 8, 5)",30,0,70,0,100,0,6,0,14
"(9, 8, 6)",45,0,55,0,100,0,9,0,11
"(9, 8, 7)",50,0,50,0,100,0,10,0,10
"(9, 8, 8)",45,5,50,0,100,0,9,1,10
"(9, 8, 9)",55,0,45,0,100,0,11,0,9
"(9, 9, 1)",45,0,55,0,100,0,9,0,11
"(9, 9, 2)",55,0,45,0,100,0,11,0,9
"(9, 9, 3)",50,0,50,0,100,0,10,0,10
"(9, 9, 4)",45,0,55,0,100,0,9,0,11
"(9, 9, 5)",55,0,45,0,100,0,11,0,9
"(9, 9, 6)",45,0,55,0,100,0,9,0,11
"(9, 9, 7)",35,0,65,0,100,0,7,0,13
"(9, 9, 8)",50,0,50,0,100,0,10,0,10
"(9, 9, 9)",40,0,60,0,100,0,8,0,12
"(1, 1, 1, 1)",0,100,0,0,100,0,0,20,0
"(1, 1, 1, 2)",0,100,0,0,100,0,0,20,0
"(1, 1, 1, 3)",0,100,0,0,100,0,0,20,0
"(1, 1, 1, 4)",0,100,0,0,100,0,0,20,0
"(1, 1, 2, 1)",50,20,30,0,100,0,10,4,6
"(1, 1, 2, 2)",30,30,40,0,100,0,6,6,8
"(1, 1, 2, 3)",40,10,50,0,100,0,8,2,10
"(1, 1, 2, 4)",65,15,20,0,100,0,13,3,4
"(1, 1, 3, 1)",25,15,60,0,100,0,5,3,12
"(1, 1, 3, 2)",45,5,50,0,100,0,9,1,10
"(1, 1, 3, 3)",50,5,45,0,100,0,10,1,9
"(1, 1, 3, 4)",35,5,60,0,100,0,7,1,12
"(1, 1, 4, 1)",45,10,45,0,100,0,9,2,9
"(1, 1, 4, 2)",85,0,15,0,100,0,17,0,3
"(1, 1, 4, 3)",55,0,45,0,100,0,11,0,9
"(1, 1, 4, 4)",45,0,55,0,100,0,9,0,11
"(1, 2, 1, 1)",75,0,25,0,100,0,15,0,5
"(1, 2, 1, 2)",40,0,60,0,100,0,8,0,12
"(1, 2, 1, 3)",70,5,25,0,100,0,14,1,5
"(1, 2, 1, 4)",60,5,35,0,100,0,12,1,7
"(1, 2, 2, 1)",65,0,35,0,100,0,13,0,7
"(1, 2, 2, 2)",40,0,60,0,100,0,8,0,12
"(1, 2, 2, 3)",65,0,35,0,100,0,13,0,7
"(1, 2, 2, 4)",70,0,30,0,100,0,14,0,6
"(1, 2, 3, 1)",40,0,60,0,100,0,8,0,12
"(1, 2, 3, 2)",50,0,50,0,100,0,10,0,10
"(1, 2, 3, 3)",45,0,55,0,100,0,9,0,11
"(1, 2, 3, 4)",35,0,65,0,100,0,7,0,13
"(1, 2, 4, 1)",55,0,45,0,100,0,11,0,9
"(1, 2, 4, 2)",50,0,50,0,100,0,10,0,10
"(1, 2, 4, 3)",55,0,45,0,100,0,11,0,9
"(1, 2, 4, 4)",60,0,40,0,100,0,12,0,8
"(1, 3, 1, 1)",55,0,45,0,100,0,11,0,9
"(1, 3, 1, 2)",60,0,40,0,100,0,12,0,8
"(1, 3, 1, 3)",25,0,75,0,100,0,5,0,15
"(1, 3, 1, 4)",30,0,70,0,100,0,6,0,14
"(1, 3, 2, 1)",45,0,55,0,100,0,9,0,11
"(1, 3, 2, 2)",55,0,45,0,100,0,11,0,9
"(1, 3, 2, 3)",40,0,60,0,100,0,8,0,12
"(1, 3, 2, 4)",50,0,50,0,100,0,10,0,10
"(1, 3, 3, 1)",30,5,65,0,100,0,6,1,13
"(1, 3, 3, 2)",45,0,55,0,100,0,9,0,11
"(1, 3, 3, 3)",50,10,40,0,100,0,10,2,8
"(1, 3, 3, 4)",50,0,50,0,100,0,10,0,10
"(1, 3, 4, 1)",55,0,45,0,100,0,11,0,9
"(1, 3, 4, 2)",55,0,45,0,100,0,11,0,9
"(1, 3, 4, 3)",50,5,45,0,100,0,10,1,9
"(1, 3, 4, 4)",30,5,65,0,100,0,6,1,13
"(1, 4, 1, 1)",55,5,40,0,100,0,11,1,8
"(1, 4, 1, 2)",45,0,55,0,100,0,9,0,11
"(1, 4, 1, 3)",35,5,60,0,100,0,7,1,12
"(1, 4, 1, 4)",60,0,40,0,100,0,12,0,8
"(1, 4, 2, 1)",70,0,30,0,100,0,14,0,6
"(1, 4, 2, 2)",50,0,50,0,100,0,10,0,10
"(1, 4, 2, 3)",40,0,60,0,100,0,8,0,12
"(1, 4, 2, 4)",60,0,40,0,100,0,12,0,8
"(1, 4, 3, 1)",55,0,45,0,100,0,11,0,9
"(1, 4, 3, 2)",55,0,45,0,100,0,11,0,9
"(1, 4, 3, 3)",40,5,55,0,100,0,8,1,11
"(1, 4, 3, 4)",30,0,70,0,100,0,6,0,14
"(1, 4, 4, 1)",45,5,50,0,100,0,9,1,10
"(1, 4, 4, 2)",40,0,60,0,100,0,8,0,12
"(1, 4, 4, 3)",60,0,40,0,100,0,12,0,8
"(1, 4, 4, 4)",55,0,45,0,100,0,11,0,9
"(2, 1, 1, 1)",55,0,45,0,100,0,11,0,9
"(2, 1, 1, 2)",60,0,40,0,100,0,12,0,8
"(2, 1, 1, 3)",35,5,60,0,100,0,7,1,12
"(2, 1, 1, 4)",40,5,55,0,100,0,8,1,11
"(2, 1, 2, 1)",45,0,55,0,100,0,9,0,11
"(2, 1, 2, 2)",55,5,40,0,100,0,11,1,8
"(2, 1, 2, 3)",45,0,55,0,100,0,9,0,11
"(2, 1, 2, 4)",70,0,30,0,100,0,14,0,6
"(2, 1, 3, 1)",50,0,50,0,100,0,10,0,10
"(2, 1, 3, 2)",40,0,60,0,100,0,8,0,12
"(2, 1, 3, 3)",40,0,60,0,100,0,8,0,12
"(2, 1, 3, 4)",65,0,35,0,100,0,13,0,7
"(2, 1, 4, 1)",45,0,55,0,100,0,9,0,11
"(2, 1, 4, 2)",60,0,40,0,100,0,12,0,8
"(2, 1, 4, 3)",30,0,70,0,100,0,6,0,14
"(2, 1, 4, 4)",55,5,40,0,100,0,11,1,8
"(2, 2, 1, 1)",30,0,70,0,100,0,6,0,14
"(2, 2, 1, 2)",25,5,70,0,100,0,5,1,14
"(2, 2, 1, 3)",80,0,20,0,100,0,16,0,4
"(2, 2, 1, 4)",45,0,55,0,100,0,9,0,11
"(2, 2, 2, 1)",50,0,50,0,100,0,10,0,10
"(2, 2, 2, 2)",60,0,40,0,100,0,12,0,8
"(2, 2, 2, 3)",45,5,50,0,100,0,9,1,10
"(2, 2, 2, 4)",40,0,60,0,100,0,8,0,12
"(2, 2, 3, 1)",60,0,40,0,100,0,12,0,8
"(2, 2, 3, 2)",50,0,50,0,100,0,10,0,10
"(2, 2, 3, 3)",55,0,45,0,100,0,11,0,9
"(2, 2, 3, 4)",60,0,40,0,100,0,12,0,8
"(2, 2, 4, 1)",55,0,45,0,100,0,11,0,9
"(2, 2, 4, 2)",60,0,40,0,100,0,12,0,8
"(2, 2, 4, 3)",55,0,45,0,100,0,11,0,9
"(2, 2, 4, 4)",25,0,75,0,100,0,5,0,15
"(2, 3, 1, 1)",80,0,20,0,100,0,16,0,4
"(2, 3, 1, 2)",50,0,50,0,100,0,10,0,10
"(2, 3, 1, 3)",70,0,30,0,100,0,14,0,6
"(2, 3, 1, 4)",45,0,55,0,100,0,9,0,11
"(2, 3, 2, 1)",45,0,55,0,100,0,9,0,11
"(2, 3, 2, 2)",45,0,55,0,100,0,9,0,11
"(2, 3, 2, 3)",60,0,40,0,100,0,12,0,8
"(2, 3, 2, 4)",50,0,50,0,100,0,10,0,10
"(2, 3, 3, 1)",40,0,60,0,100,0,8,0,12
"(2, 3, 3, 2)",65,0,35,0,100,0,13,0,7
"(2, 3, 3, 3)",50,0,50,0,100,0,10,0,10
"(2, 3, 3, 4)",55,5,40,0,100,0,11,1,8
"(2, 3, 4, 1)",55,0,45,0,100,0,11,0,9
"(2, 3, 4, 2)",55,0,45,0,100,0,11,0,9
"(2, 3, 4, 3)",55,0,45,0,100,0,11,0,9
"(2, 3, 4, 4)",45,0,55,0,100,0,9,0,11
"(2, 4, 1, 1)",35,0,65,0,100,0,7,0,13
"(2, 4, 1, 2)",50,0,50,0,100,0,10,0,10
"(2, 4, 1, 3)",65,0,35,0,100,0,13,0,7
"(2, 4, 1, 4)",65,0,35,0,100,0,13,0,7
"(2, 4, 2, 1)",55,0,45,0,100,0,11,0,9
"(2, 4, 2, 2)",60,0,40,0,100,0,12,0,8
"(2, 4, 2, 3)",20,0,80,0,100,0,4,0,16
"(2, 4, 2, 4)",60,0,40,0,100,0,12,0,8
"(2, 4, 3, 1)",55,0,45,0,100,0,11,0,9
"(2, 4, 3, 2)",50,0,50,0,100,0,10,0,10
"(2, 4, 3, 3)",45,5,50,0,100,0,9,1,10
"(2, 4, 3, 4)",55,0,45,0,100,0,11,0,9
"(2, 4, 4, 1)",75,0,25,0,100,0,15,0,5
"(2, 4, 4, 2)",50,0,50,0,100,0,10,0,10
"(2, 4, 4, 3)",45,0,55,0,100,0,9,0,11
"(2, 4, 4, 4)",50,0,50,0,100,0,10,0,10
"(3, 1, 1, 1)",65,0,35,0,100,0,13,0,7
"(3, 1, 1, 2)",40,0,60,0,100,0,8,0,12
"(3, 1, 1, 3)",55,0,45,0,100,0,11,0,9
"(3, 1, 1, 4)",55,0,45,0,100,0,11,0,9
"(3, 1, 2, 1)",45,0,55,0,100,0,9,0,11
"(3, 1, 2, 2)",55,0,45,0,100,0,11,0,9
"(3, 1, 2, 3)",45,5,50,0,100,0,9,1,10
"(3, 1, 2, 4)",55,0,45,0,100,0,11,0,9
"(3, 1, 3, 1)",55,0,45,0,100,0,11,0,9
"(3, 1, 3, 2)",60,0,40,0,100,0,12,0,8
"(3, 1, 3, 3)",65,0,35,0,100,0,13,0,7
"(3, 1, 3, 4)",45,5,50,0,100,0,9,1,10
"(3, 1, 4, 1)",55,0,45,0,100,0,11,0,9
"(3, 1, 4, 2)",70,0,30,0,100,0,14,0,6
"(3, 1, 4, 3)",55,0,45,0,100,0,11,0,9
"(3, 1, 4, 4)",60,0,40,0,100,0,12,0,8
"(3, 2, 1, 1)",45,5,50,0,100,0,9,1,10
"(3, 2, 1, 2)",45,0,55,0,100,0,9,0,11
"(3, 2, 1, 3)",45,0,55,0,100,0,9,0,11
"(3, 2, 1, 4)",20,0,80,0,100,0,4,0,16
"(3, 2, 2, 1)",40,0,60,0,100,0,8,0,12
"(3, 2, 2, 2)",55,0,45,0,100,0,11,0,9
"(3, 2, 2, 3)",70,0,30,0,100,0,14,0,6
"(3, 2, 2, 4)",65,0,35,0,100,0,13,0,7
"(3, 2, 3, 1)",70,0,30,0,100,0,14,0,6
"(3, 2, 3, 2)",55,5,40,0,100,0,11,1,8
"(3, 2, 3, 3)",30,5,65,0,100,0,6,1,13
"(3, 2, 3, 4)",40,0,60,0,100,0,8,0,12
"(3, 2, 4, 1)",45,0,55,0,100,0,9,0,11
"(3, 2, 4, 2)",55,0,45,0,100,0,11,0,9
"(3, 2, 4, 3)",65,0,35,0,100,0,13,0,7
"(3, 2, 4, 4)",40,0,60,0,100,0,8,0,12
"(3, 3, 1, 1)",50,0,50,0,100,0,10,0,10
"(3, 3, 1, 2)",50,0,50,0,100,0,10,0,10
"(3, 3, 1, 3)",45,0,55,0,100,0,9,0,11
"(3, 3, 1, 4)",50,0,50,0,100,0,10,0,10
"(3, 3, 2, 1)",55,0,45,0,100,0,11,0,9
"(3, 3, 2, 2)",55,0,45,0,100,0,11,0,9
"(3, 3, 2, 3)",45,0,55,0,100,0,9,0,11
"(3, 3, 2, 4)",40,0,60,0,100,0,8,0,12
"(3, 3, 3, 1)",45,0,55,0,100,0,9,0,11
"(3, 3, 3, 2)",40,0,60,0,100,0,8,0,12
"(3, 3, 3, 3)",65,0,35,0,100,0,13,0,7
"(3, 3, 3, 4)",70,0,30,0,100,0,14,0,6
"(3, 3, 4, 1)",65,0,35,0,100,0,13,0,7
"(3, 3, 4, 2)",55,0,45,0,100,0,11,0,9
"(3, 3, 4, 3)",35,0,65,0,100,0,7,0,13
"(3, 3, 4, 4)",60,0,40,0,100,0,12,0,8
"(3, 4, 1, 1)",50,0,50,0,100,0,10,0,10
"(3, 4, 1, 2)",50,0,50,0,100,0,10,0,10
"(3, 4, 1, 3)",50,5,45,0,100,0,10,1,9
"(3, 4, 1, 4)",40,0,60,0,100,0,8,0,12
"(3, 4, 2, 1)",55,0,45,0,100,0,11,0,9
"(3, 4, 2, 2)",45,0,55,0,100,0,9,0,11
"(3, 4, 2, 3)",50,0,50,0,100,0,10,0,10
"(3, 4, 2, 4)",30,5,65,0,100,0,6,1,13
"(3, 4, 3, 1)",55,5,40,0,100,0,11,1,8
"(3, 4, 3, 2)",50,0,50,0,100,0,10,0,10
"(3, 4, 3, 3)",45,0,55,0,100,0,9,0,11
"(3, 4, 3, 4)",55,5,40,0,100,0,11,1,8
"(3, 4, 4, 1)",35,0,65,0,100,0,7,0,13
"(3, 4, 4, 2)",50,0,50,0,100,0,10,0,10
"(3, 4, 4, 3)",45,0,55,0,100,0,9,0,11
"(3, 4, 4, 4)",35,0,65,0,100,0,7,0,13
"(4, 1, 1, 1)",45,0,55,0,100,0,9,0,11
"(4, 1, 1, 2)",45,0,55,0,100,0,9,0,11
"(4, 1, 1, 3)",50,0,50,0,100,0,10,0,10
"(4, 1, 1, 4)",60,5,35,0,100,0,12,1,7
"(4, 1, 2, 1)",40,0,60,0,100,0,8,0,12
"(4, 1, 2, 2)",65,0,35,0,100,0,13,0,7
"(4, 1, 2, 3)",60,0,40,0,100,0,12,0,8
"(4, 1, 2, 4)",30,0,70,0,100,0,6,0,14
"(4, 1, 3, 1)",40,0,60,0,100,0,8,0,12
"(4, 1, 3, 2)",60,0,40,0,100,0,12,0,8
"(4, 1, 3, 3)",35,0,65,0,100,0,7,0,13
"(4, 1, 3, 4)",55,0,45,0,100,0,11,0,9
"(4, 1, 4, 1)",45,0,55,0,100,0,9,0,11
"(4, 1, 4, 2)",50,0,50,0,100,0,10,0,10
"(4, 1, 4, 3)",60,0,40,0,100,0,12,0,8
"(4, 1, 4, 4)",45,0,55,0,100,0,9,0,11
"(4, 2, 1, 1)",50,0,50,0,100,0,10,0,10
"(4, 2, 1, 2)",40,0,60,0,100,0,8,0,12
"(4, 2, 1, 3)",55,0,45,0,100,0,11,0,9
"(4, 2, 1, 4)",40,0,60,0,100,0,8,0,12
"(4, 2, 2, 1)",50,0,50,0,100,0,10,0,10
"(4, 2, 2, 2)",45,0,55,0,100,0,9,0,11
"(4, 2, 2, 3)",45,0,55,0,100,0,9,0,11
"(4, 2, 2, 4)",55,0,45,0,100,0,11,0,9
"(4, 2, 3, 1)",35,0,65,0,100,0,7,0,13
"(4, 2, 3, 2)",60,0,40,0,100,0,12,0,8
"(4, 2, 3, 3)",65,0,35,0,100,0,13,0,7
"(4, 2, 3, 4)",45,0,55,0,100,0,9,0,11
"(4, 2, 4, 1)",50,0,50,0,100,0,10,0,10
"(4, 2, 4, 2)",35,0,65,0,100,0,7,0,13
"(4, 2, 4, 3)",55,0,45,0,100,0,11,0,9
"(4, 2, 4, 4)",50,0,50,0,100,0,10,0,10
"(4, 3, 1, 1)",65,5,30,0,100,0,13,1,6
"(4, 3, 1, 2)",60,0,40,0,100,0,12,0,8
"(4, 3, 1, 3)",45,0,55,0,100,0,9,0,11
"(4, 3, 1, 4)",25,0,75,0,100,0,5,0,15
"(4, 3, 2, 1)",55,0,45,0,100,0,11,0,9
"(4, 3, 2, 2)",70,0,30,0,100,0,14,0,6
"(4, 3, 2, 3)",50,0,50,0,100,0,10,0,10
"(4, 3, 2, 4)",45,0,55,0,100,0,9,0,11
"(4, 3, 3, 1)",40,5,55,0,100,0,8,1,11
"(4, 3, 3, 2)",35,5,60,0,100,0,7,1,12
"(4, 3, 3, 3)",35,0,65,0,100,0,7,0,13
"(4, 3, 3, 4)",45,5,50,0,100,0,9,1,10
"(4, 3, 4, 1)",45,0,55,0,100,0,9,0,11
"(4, 3, 4, 2)",50,5,45,0,100,0,10,1,9
"(4, 3, 4, 3)",40,0,60,0,100,0,8,0,12
"(4, 3, 4, 4)",55,0,45,0,100,0,11,0,9
"(4, 4, 1, 1)",40,5,55,0,100,0,8,1,11
"(4, 4, 1, 2)",45,5,50,0,100,0,9,1,10
"(4, 4, 1, 3)",45,0,55,0,100,0,9,0,11
"(4, 4, 1, 4)",60,0,40,0,100,0,12,0,8
"(4, 4, 2, 1)",45,0,55,0,100,0,9,0,11
"(4, 4, 2, 2)",55,0,45,0,100,0,11,0,9
"(4, 4, 2, 3)",45,0,55,0,100,0,9,0,11
"(4, 4, 2, 4)",45,5,50,0,100,0,9,1,10
"(4, 4, 3, 1)",35,0,65,0,100,0,7,0,13
"(4, 4, 3, 2)",40,0,60,0,100,0,8,0,12
"(4, 4, 3, 3)",55,0,45,0,100,0,11,0,9
"(4, 4, 3, 4)",45,0,55,0,100,0,9,0,11
"(4, 4, 4, 1)",50,0,50,0,100,0,10,0,10
"(4, 4, 4, 2)",60,0,40,0,100,0,12,0,8
"(4, 4, 4, 3)",40,0,60,0,100,0,8,0,12
"(4, 4, 4, 4)",45,0,55,0,100,0,9,0,11
"(1, 1, 1, 1, 1)",0,100,0,0,100,0,0,20,0
"(1, 1, 1, 1, 2)",0,100,0,0,100,0,0,20,0
"(1, 1, 1, 1, 3)",0,100,0,0,100,0,0,20,0
"(1, 1, 1, 1, 4)",0,100,0,0,100,0,0,20,0
"(1, 1, 1, 2, 1)",35,25,40,0,100,0,7,5,8
"(1, 1, 1, 2, 2)",20,25,55,0,100,0,4,5,11
"(1, 1, 1, 2, 3)",50,5,45,0,100,0,10,1,9
"(1, 1, 1, 2, 4)",55,20,25,0,100,0,11,4,5
"(1, 1, 1, 3, 1)",30,5,65,0,100,0,6,1,13
"(1, 1, 1, 3, 2)",60,5,35,0,100,0,12,1,7
"(1, 1, 1, 3, 3)",55,0,45,0,100,0,11,0,9
"(1, 1, 1, 3, 4)",50,15,35,0,100,0,10,3,7
"(1, 1, 1, 4, 1)",45,15,40,0,100,0,9,3,8
"(1, 1, 1, 4, 2)",50,5,45,0,100,0,10,1,9
"(1, 1, 1, 4, 3)",70,0,30,0,100,0,14,0,6
"(1, 1, 1, 4, 4)",55,0,45,0,100,0,11,0,9
"(1, 1, 2, 1, 1)",40,10,50,0,100,0,8,2,10
"(1, 1, 2, 1, 2)",45,20,35,0,100,0,9,4,7
