recipe,external_wins_gft,tie_gft,ascending_wins_gft,external_wins_k,tie_k,ascending_wins_k,external_wins,tie,ascending_wins
"(3, 4, 3)",45,0,55,0,100,0,9,0,11
"(3, 4, 4)",35,0,65,0,100,0,7,0,13
"(3, 4, 5)",60,0,40,0,100,0,12,0,8
"(3, 4, 6)",35,0,65,0,100,0,7,0,13
"(3, 4, 7)",60,0,40,0,100,0,12,0,8
"(3, 4, 8)",45,5,50,0,100,0,9,1,10
"(3, 4, 9)",65,0,35,0,100,0,13,0,7
"(3, 5, 1)",50,0,50,0,100,0,10,0,10
"(3, 5, 2)",50,0,50,0,100,0,10,0,10
"(3, 5, 3)",50,0,50,0,100,0,10,0,10
"(3, 5, 4)",40,0,60,0,100,0,8,0,12
"(3, 5, 5)",40,0,60,0,100,0,8,0,12
"(3, 5, 6)",45,0,55,0,100,0,9,0,11
"(3, 5, 7)",45,0,55,0,100,0,9,0,11
"(3, 5, 8)",45,0,55,0,100,0,9,0,11
"(3, 5, 9)",45,0,55,0,100,0,9,0,11
"(3, 6, 1)",55,0,45,0,100,0,11,0,9
"(3, 6, 2)",45,0,55,0,100,0,9,0,11
"(3, 6, 3)",40,0,60,0,100,0,8,0,12
"(3, 6, 4)",70,0,30,0,100,0,14,0,6
"(3, 6, 5)",25,0,75,0,100,0,5,0,15
"(3, 6, 6)",40,0,60,0,100,0,8,0,12
"(3, 6, 7)",50,0,50,0,100,0,10,0,10
"(3, 6, 8)",70,0,30,0,100,0,14,0,6
"(3, 6, 9)",45,0,55,0,100,0,9,0,11
"(3, 7, 1)",55,0,45,0,100,0,11,0,9
"(3, 7, 2)",65,0,35,0,100,0,13,0,7
"(3, 7, 3)",55,0,45,0,100,0,11,0,9
"(3, 7, 4)",65,5,30,0,100,0,13,1,6
"(3, 7, 5)",55,0,45,0,100,0,11,0,9
"(3, 7, 6)",70,0,30,0,100,0,14,0,6
"(3, 7, 7)",35,0,65,0,100,0,7,0,13
"(3, 7, 8)",50,0,50,0,100,0,10,0,10
"(3, 7, 9)",45,0,55,0,100,0,9,0,11
"(3, 8, 1)",60,0,40,0,100,0,12,0,8
"(3, 8, 2)",65,0,35,0,100,0,13,0,7
"(3, 8, 3)",45,0,55,0,100,0,9,0,11
"(3, 8, 4)",60,0,40,0,100,0,12,0,8
"(3, 8, 5)",60,0,40,0,100,0,12,0,8
"(3, 8, 6)",55,0,45,0,100,0,11,0,9
"(3, 8, 7)",65,0,35,0,100,0,13,0,7
