stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio,SBB_External_Competition_auction_count,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio,SBB_Ascending_Prices_gft_ratio
AGNC,1:4,10,7,7,17.6,6,6,85.714,85.714,16.33,16.33,92.792,92.792,6,6,85.714,85.714,16.33,16.33,92.792,92.792,6,6,85.714,85.714,16.33,16.33,92.792,92.792,6,6,85.714,85.714,16.33,16.33,92.792,92.792
AGNC,1:4,15,9,9,25.28,9,9,100.0,100.0,25.28,25.28,100.0,100.0,9,9,100.0,100.0,25.28,25.28,100.0,100.0,9,9,100.0,100.0,25.28,25.28,100.0,100.0,9,9,100.0,100.0,25.28,25.28,100.0,100.0
AGNC,1:4,25,16,16,80.48,15,15,93.75,93.75,76.91,76.91,95.558,95.558,16,16,100.0,100.0,80.48,80.48,100.0,100.0,15,15,93.75,93.75,76.91,76.91,95.558,95.558,16,16,100.0,100.0,80.48,80.48,100.0,100.0
AGNC,1:4,50,27,27,323.88,27,27,100.0,100.0,323.88,323.88,100.0,100.0,27,27,100.0,100.0,323.88,323.88,100.0,100.0,27,27,100.0,100.0,323.88,323.88,100.0,100.0,27,27,100.0,100.0,323.88,323.88,100.0,100.0
AGNC,1:4,100,55,55,594.0,54,54,98.181,98.181,588.58,588.58,99.086,99.086,54,54,98.181,98.181,588.58,588.58,99.086,99.086,54,54,98.181,98.181,588.58,588.58,99.086,99.086,54,54,98.181,98.181,588.58,588.58,99.086,99.086
AGNC,1:4,500,254,254,8082.74,253,253,99.606,99.606,8071.46,8071.46,99.861,99.861,253,253,99.606,99.606,8071.46,8071.46,99.861,99.861,253,253,99.606,99.606,8071.46,8071.46,99.861,99.861,253,253,99.606,99.606,8071.46,8071.46,99.861,99.861
AGNC,1:4,1000,513,513,15318.44,513,513,100.0,100.0,15318.44,15318.44,100.0,100.0,513,513,100.0,100.0,15318.44,15318.44,100.0,100.0,513,513,100.0,100.0,15318.44,15318.44,100.0,100.0,513,513,100.0,100.0,15318.44,15318.44,100.0,100.0
AGNC,1:4,2000,1009,1009,36863.85,1007,1007,99.801,99.801,36835.39,36835.39,99.923,99.923,1008,1008,99.9,99.9,36849.62,36849.62,99.961,99.961,1007,1007,99.801,99.801,36835.39,36835.39,99.923,99.923,1008,1008,99.9,99.9,36849.62,36849.62,99.961,99.961
AGNC,1:4,5000,2534,2534,92636.47,2533,2533,99.96,99.96,92622.79,92622.79,99.985,99.985,2534,2534,100.0,100.0,92636.47,92636.47,100.0,100.0,2533,2533,99.96,99.96,92622.79,92622.79,99.985,99.985,2534,2534,100.0,100.0,92636.47,92636.47,100.0,100.0
AGNC,1:4,6200,3125,3125,109734.95,3125,3125,100.0,100.0,109734.95,109734.95,100.0,100.0,3125,3125,100.0,100.0,109734.95,109734.95,100.0,100.0,3125,3125,100.0,100.0,109734.95,109734.95,100.0,100.0,3125,3125,100.0,100.0,109734.95,109734.95,100.0,100.0
AMAT,1:4,2,2,2,0.78,1,1,50.0,50.0,0.39,0.39,50.444,50.444,1,1,50.0,50.0,0.39,0.39,50.444,50.444,1,1,50.0,50.0,0.39,0.39,50.444,50.444,1,1,50.0,50.0,0.39,0.39,50.444,50.444
AMAT,1:4,3,3,3,1.17,2,2,66.666,66.666,0.78,0.78,67.06,67.06,2,2,66.666,66.666,0.78,0.78,67.06,67.06,2,2,66.666,66.666,0.78,0.78,67.06,67.06,2,2,66.666,66.666,0.78,0.78,67.06,67.06
AMAT,1:4,4,4,4,1.57,3,3,75.0,75.0,1.18,1.18,75.442,75.442,3,3,75.0,75.0,1.18,1.18,75.442,75.442,3,3,75.0,75.0,1.18,1.18,75.442,75.442,3,3,75.0,75.0,1.18,1.18,75.442,75.442
AMAT,1:4,5,5,5,1.98,4,4,80.0,80.0,1.6,1.6,80.559,80.559,4,4,80.0,80.0,1.6,1.6,80.559,80.559,4,4,80.0,80.0,1.6,1.6,80.559,80.559,4,4,80.0,80.0,1.6,1.6,80.559,80.559
AMAT,1:4,10,10,10,3.77,9,9,90.0,90.0,3.45,3.45,91.538,91.538,9,9,90.0,90.0,3.45,3.45,91.538,91.538,9,9,90.0,90.0,3.45,3.45,91.538,91.538,9,9,90.0,90.0,3.45,3.45,91.538,91.538
AMAT,1:4,15,15,15,5.65,14,14,93.333,93.333,5.33,5.33,94.357,94.357,14,14,93.333,93.333,5.33,5.33,94.357,94.357,14,14,93.333,93.333,5.33,5.33,94.357,94.357,14,14,93.333,93.333,5.33,5.33,94.357,94.357
AMAT,1:4,25,25,25,9.27,24,24,96.0,96.0,8.95,8.95,96.56,96.56,24,24,96.0,96.0,8.95,8.95,96.56,96.56,24,24,96.0,96.0,8.95,8.95,96.56,96.56,24,24,96.0,96.0,8.95,8.95,96.56,96.56
AMAT,1:4,50,50,50,19.35,49,49,98.0,98.0,19.03,19.03,98.351,98.351,49,49,98.0,98.0,19.03,19.03,98.351,98.351,49,49,98.0,98.0,19.03,19.03,98.351,98.351,49,49,98.0,98.0,19.03,19.03,98.351,98.351
