stock_name,recipe,num_possible_trades,optimal_count,optimal_count_with_gft_zero,optimal_gft,SBB_External_Competition_auction_count,SBB_External_Competition_count_ratio,SBB_External_Competition_gft,SBB_External_Competition_gft_ratio,SBB_Ascending_Prices_auction_count,SBB_Ascending_Prices_count_ratio,SBB_Ascending_Prices_gft,SBB_Ascending_Prices_gft_ratio
WFC,1:2,100,36,37,11.06,36,97.297,11.06,100.0,36,97.297,10.82,97.796
WFC,1:2,500,337,337,242.78,334,99.109,240.83,99.197,337,100.0,242.5,99.885
WFC,1:2,1000,484,484,307.32,483,99.793,307.05,99.91,483,99.793,307.05,99.91
WFC,1:2,2000,870,887,406.62,861,97.068,404.56,99.494,887,100.0,406.62,100.0
WFC,1:2,5000,1668,1671,4204.02,1666,99.7,4202.62,99.967,1670,99.94,4203.32,99.983
WFC,1:2,10000,5010,5010,197794.04,5006,99.92,197769.44,99.988,5009,99.98,197787.89,99.997
WFC,1:2,12173,6099,6100,375285.24,6095,99.918,375224.8,99.984,6099,99.983,375278.54,99.998
WMT,1:2,2,2,2,0.0,0,0.0,0.0,0.0,1,50.0,0.0,50.0
WMT,1:2,3,2,2,0.01,2,100.0,0.01,100.0,2,100.0,0.01,100.0
WMT,1:2,4,3,3,0.01,2,66.666,0.01,81.982,2,66.666,0.01,81.982
WMT,1:2,5,4,4,0.01,3,75.0,0.01,88.764,3,75.0,0.01,88.764
WMT,1:2,10,6,6,0.02,5,83.333,0.01,90.404,6,100.0,0.02,100.0
WMT,1:2,15,9,10,0.07,7,70.0,0.06,95.385,9,90.0,0.06,92.077
WMT,1:2,25,15,16,0.11,15,93.75,0.11,97.351,15,93.75,0.11,97.351
WMT,1:2,50,16,18,0.14,14,77.777,0.13,92.906,18,100.0,0.13,98.019
WMT,1:2,100,64,66,1.85,63,95.454,1.85,99.658,65,98.484,1.83,98.817
WMT,1:2,500,235,235,10.93,234,99.574,10.91,99.813,234,99.574,10.91,99.813
WMT,1:2,1000,342,342,15.55,341,99.707,15.52,99.803,342,100.0,15.55,100.0
WMT,1:2,2000,667,668,78.94,667,99.85,78.92,99.97,667,99.85,78.92,99.97
WMT,1:2,5000,1667,1667,18505.63,1667,100.0,18504.29,99.993,1667,100.0,18504.29,99.993
WMT,1:2,10000,5026,5039,382271.05,5024,99.702,382242.33,99.992,5039,100.0,382271.05,100.0
WMT,1:2,12113,6066,6066,685691.87,6066,100.0,685681.47,99.998,6066,100.0,685681.47,99.998
X,1:2,2,1,1,9.0,1,100.0,9.0,100.0,1,100.0,9.0,100.0
X,1:2,3,2,2,9.25,1,50.0,6.38,68.919,1,50.0,4.94,53.378
X,1:2,4,2,2,9.75,2,100.0,9.75,100.0,2,100.0,9.75,100.0
X,1:2,5,3,3,12.38,3,100.0,12.38,100.0,3,100.0,12.38,100.0
X,1:2,10,7,8,34.0,7,87.5,34.0,100.0,7,87.5,30.62,90.074
X,1:2,15,9,10,38.88,9,90.0,38.88,100.0,10,100.0,38.88,100.0
X,1:2,25,16,17,58.88,15,88.235,56.24,95.522,17,100.0,58.88,100.0
X,1:2,50,24,24,91.25,23,95.833,88.55,97.038,24,100.0,91.25,100.0
X,1:2,100,42,42,226.62,40,95.238,219.9,97.032,42,100.0,226.62,100.0
X,1:2,500,169,170,2301.0,166,97.647,2284.54,99.285,169,99.411,2298.7,99.9
X,1:2,1000,514,517,10871.34,512,99.032,10847.22,99.778,517,100.0,10871.34,100.0
X,1:2,2000,1077,1077,28937.21,1075,99.814,28902.77,99.881,1077,100.0,28928.6,99.97
X,1:2,5000,2817,2823,178122.22,2814,99.681,177985.0,99.923,2823,100.0,178122.22,100.0
X,1:2,7408,3759,3760,216468.33,3756,99.893,216417.54,99.977,3759,99.973,216451.41,99.992
