stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:2,2,1.07,5.454,1.07,86539.60,86539.60,0.66,57.87,64319.80,59.110,64319.80,59.110,0.66,57.87,64319.80,59.110,64319.80,59.110
Average,1:2,3,1.53,17.979,1.53,134994.35,134994.35,1.06,68.78,109941.02,74.435,109941.02,74.435,1.06,68.78,109941.02,74.435,109941.02,74.435
Average,1:2,4,2.00,30.181,2.00,177070.51,177070.51,1.60,80.85,158936.12,87.485,158936.12,87.485,1.60,80.85,158936.12,87.485,158936.12,87.485
Average,1:2,5,2.44,39.010,2.44,224118.60,224118.60,2.10,85.95,207475.54,90.229,207475.54,90.229,2.10,85.95,207475.54,90.229,207475.54,90.229
Average,1:2,10,5.01,65.926,5.01,488870.06,488870.06,4.61,91.89,468027.30,95.535,468027.30,95.535,4.61,91.89,468027.30,95.535,468027.30,95.535
Average,1:2,15,7.56,76.153,7.56,737224.72,737224.72,7.19,95.33,716845.37,97.291,716845.37,97.291,7.19,95.33,716845.37,97.291,716845.37,97.291
Average,1:2,25,12.37,84.853,12.37,1222742.98,1222742.98,12.01,97.16,1205442.38,98.547,1205442.38,98.547,12.01,97.16,1205442.38,98.547,1205442.38,98.547
Average,1:2,50,24.98,92.248,24.98,2458365.03,2458365.03,24.56,98.32,2438407.97,99.179,2438407.97,99.179,24.56,98.32,2438407.97,99.179,2438407.97,99.179
Average,1:2,100,50.24,96.083,50.24,5046392.15,5046392.15,49.84,99.20,5025478.98,99.586,5025478.98,99.586,49.84,99.20,5025478.98,99.586,5025478.98,99.586
Average,1:2,500,250.16,99.203,250.16,24949167.79,24949167.79,249.80,99.85,24930646.73,99.925,24930646.73,99.925,249.80,99.85,24930646.73,99.925,24930646.73,99.925
Average,1:2,1000,499.24,99.600,499.24,49908328.00,49908328.00,498.87,99.92,49889804.05,99.962,49889804.05,99.962,498.87,99.92,49889804.05,99.962,49889804.05,99.962
