stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:4,2,0.92,1.414,0.92,350025.03,350025.03,0.64,62.72,328772.63,62.328,328772.63,62.328,0.64,62.72,328772.63,62.328,328772.63,62.328
Average,1:4,3,1.46,16.161,1.46,694234.87,694234.87,1.22,83.23,681009.28,86.225,681009.28,86.225,1.22,83.23,681009.28,86.225,681009.28,86.225
Average,1:4,4,2.01,30.707,2.01,1070786.47,1070786.47,1.66,83.13,1035550.20,88.518,1035550.20,88.518,1.66,83.13,1035550.20,88.518,1035550.20,88.518
Average,1:4,5,2.47,40.121,2.47,1325357.06,1325357.06,2.16,88.53,1299758.82,93.649,1299758.82,93.649,2.16,88.53,1299758.82,93.649,1299758.82,93.649
Average,1:4,10,5.07,66.106,5.07,2322807.31,2322807.31,4.78,94.43,2303698.36,98.038,2303698.36,98.038,4.78,94.43,2303698.36,98.038,2303698.36,98.038
Average,1:4,15,7.51,76.141,7.51,3506159.23,3506159.23,7.17,95.49,3477432.97,98.470,3477432.97,98.470,7.17,95.49,3477432.97,98.470,3477432.97,98.470
Average,1:4,25,12.50,85.028,12.50,6099941.74,6099941.74,12.17,97.43,6076102.14,99.168,6076102.14,99.168,12.17,97.43,6076102.14,99.168,6076102.14,99.168
Average,1:4,50,25.13,92.303,25.13,10851978.97,10851978.97,24.85,98.87,10829750.06,99.677,10829750.06,99.677,24.85,98.87,10829750.06,99.677,10829750.06,99.677
Average,1:4,100,50.00,96.065,50.00,22268602.72,22268602.72,49.70,99.42,22242343.29,99.804,22242343.29,99.804,49.70,99.42,22242343.29,99.804,22242343.29,99.804
Average,1:4,500,250.55,99.204,250.61,111697742.00,111697742.00,250.38,99.93,111678153.81,99.967,111678153.81,99.967,250.38,99.90,111678153.81,99.967,111678153.81,99.967
Average,1:4,1000,499.60,99.600,499.78,229167299.37,229167299.37,499.58,99.99,229144508.66,99.982,229144508.66,99.982,499.58,99.95,229144508.66,99.982,229144508.66,99.982
