stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,0.99,6.666,0.99,39021.40,39021.40,0.56,50.30,29803.67,54.213,27761.36,51.457,0.13,6.66,8017.61,10.577,5975.30,7.820,0.45,38.78,21560.73,40.480,21560.73,40.480,0.45,38.78,21560.73,40.480,21560.73,40.480
Average,1:1,3,1.44,24.949,1.44,59828.40,59828.40,0.96,61.01,50361.27,70.549,44650.00,63.796,0.52,24.94,30481.45,37.039,19622.04,25.261,0.90,56.16,43981.95,61.105,43981.95,61.105,0.90,56.16,43981.95,61.105,43981.95,61.105
Average,1:1,4,2.08,45.353,2.08,98017.43,98017.43,1.66,78.78,90869.97,88.828,82260.76,80.868,1.10,45.35,69026.69,62.620,42427.40,40.515,1.62,78.08,84226.36,84.333,84226.36,84.333,1.62,78.08,84226.36,84.333,84226.36,84.333
Average,1:1,5,2.47,53.767,2.47,111688.80,111688.80,2.12,85.63,107056.16,94.298,99765.23,87.727,1.47,53.76,87251.02,72.396,57552.07,48.319,2.01,80.78,99321.17,86.142,99321.17,86.142,2.01,80.78,99321.17,86.142,99321.17,86.142
Average,1:1,10,5.02,78.939,5.02,240364.81,240364.81,4.49,89.59,235484.29,97.864,215461.15,89.850,4.02,78.93,226879.70,93.869,178513.27,73.549,4.53,90.23,228185.48,94.535,228185.48,94.535,4.53,90.23,228185.48,94.535,228185.48,94.535
Average,1:1,15,7.56,86.340,7.56,362430.66,362430.66,7.06,93.38,358876.99,99.002,336189.22,92.901,6.56,86.34,353452.87,97.469,296685.86,82.165,7.01,92.74,348179.24,96.034,348179.24,96.034,7.01,92.74,348179.24,96.034,348179.24,96.034
Average,1:1,25,12.62,91.913,12.62,624471.76,624471.76,12.07,95.54,622296.55,99.633,597881.94,95.623,11.62,91.91,618874.24,99.087,555520.96,89.006,12.09,95.84,610802.66,97.754,610802.66,97.754,12.09,95.84,610802.66,97.754,610802.66,97.754
Average,1:1,50,25.15,95.987,25.15,1237078.01,1237078.01,24.63,97.91,1236112.69,99.921,1213144.33,98.075,24.15,95.98,1234190.48,99.763,1166484.18,94.259,24.64,97.95,1224290.86,98.967,1224290.86,98.967,24.64,97.95,1224290.86,98.967,1224290.86,98.967
Average,1:1,100,50.09,97.993,50.09,2501409.81,2501409.81,49.58,98.98,2500982.44,99.982,2480180.86,99.141,49.09,97.99,2500123.00,99.948,2437104.68,97.432,49.63,99.08,2489965.75,99.541,2489965.75,99.541,49.63,99.08,2489965.75,99.541,2489965.75,99.541
Average,1:1,500,250.14,99.599,250.14,12486169.49,12486169.49,249.73,99.83,12486093.46,99.999,12467148.50,99.848,249.14,99.59,12485818.06,99.997,12398548.38,99.295,249.71,99.82,12475365.34,99.913,12475365.34,99.913,249.71,99.82,12475365.34,99.913,12475365.34,99.913
Average,1:1,1000,499.29,99.799,499.32,24907185.27,24907185.27,498.83,99.90,24907142.67,99.999,24885986.05,99.914,498.32,99.79,24907033.87,99.999,24831777.41,99.697,498.84,99.90,24895235.19,99.951,24895235.19,99.951,498.84,99.90,24895235.19,99.951,24895235.19,99.951
