stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,0.96,8.787,0.96,76792.43,76792.43,0.50,41.51,51459.30,45.725,45257.12,41.148,0.17,8.78,21943.38,12.998,15741.21,8.420,0.46,37.27,33835.78,39.615,33835.78,39.615,0.46,37.27,33835.78,39.615,33835.78,39.615
Average,1:1,3,1.45,24.141,1.45,188946.84,188946.84,1.01,66.26,173051.37,75.570,160797.01,69.516,0.51,24.14,120420.04,36.216,93993.96,25.353,0.97,62.92,167342.22,69.867,167342.22,69.867,0.97,62.92,167342.22,69.867,167342.22,69.867
Average,1:1,4,1.95,40.101,1.95,175749.47,175749.47,1.39,69.89,155507.75,84.800,136513.24,76.892,0.98,40.10,122394.55,58.982,88443.90,44.525,1.46,72.42,156829.10,80.557,156829.10,80.557,1.46,72.42,156829.10,80.557,156829.10,80.557
Average,1:1,5,2.47,51.767,2.47,325334.26,325334.26,2.03,80.40,313791.16,89.518,297338.18,82.119,1.47,51.76,257736.01,69.865,183600.65,48.591,1.99,80.45,310997.40,87.921,310997.40,87.921,1.99,80.45,310997.40,87.921,310997.40,87.921
Average,1:1,10,5.07,78.995,5.08,602719.41,602719.41,4.56,89.63,597170.13,98.544,572377.65,93.255,4.08,79.09,582264.90,94.979,502797.98,77.837,4.61,90.82,589988.89,95.928,589988.89,95.928,4.61,90.62,589988.89,95.928,589988.89,95.928
Average,1:1,15,7.70,86.441,7.71,793612.36,793612.36,7.21,93.53,790109.27,99.382,766776.89,95.270,6.71,86.45,782490.15,98.113,715091.42,86.607,7.20,93.46,777103.55,97.596,777103.55,97.596,7.20,93.36,777103.55,97.596,777103.55,97.596
Average,1:1,25,12.35,91.756,12.35,1448285.49,1448285.49,12.00,97.18,1446268.93,99.824,1421785.90,97.932,11.35,91.75,1440022.29,99.103,1342927.21,89.774,11.89,96.25,1436375.52,98.647,1436375.52,98.647,11.89,96.25,1436375.52,98.647,1436375.52,98.647
Average,1:1,50,25.05,95.960,25.06,2957559.09,2957559.09,24.55,97.98,2956076.32,99.946,2919548.05,98.659,24.06,95.96,2953098.71,99.792,2846315.47,95.003,24.57,98.11,2945869.40,99.426,2945869.40,99.426,24.57,98.08,2945869.40,99.426,2945869.40,99.426
Average,1:1,100,50.38,98.004,50.44,5532965.46,5532965.46,49.89,98.92,5532548.53,99.991,5510941.72,99.573,49.44,98.00,5531714.19,99.968,5470876.98,98.413,49.85,98.95,5521403.78,99.646,5521403.78,99.646,49.85,98.82,5521403.78,99.646,5521403.78,99.646
Average,1:1,500,249.69,99.599,249.84,27850319.10,27850319.10,249.29,99.77,27850210.33,99.999,27823453.39,99.873,248.84,99.59,27850055.06,99.998,27785005.30,99.606,249.37,99.87,27842032.53,99.943,27842032.53,99.943,249.37,99.81,27842032.53,99.943,27842032.53,99.943
Average,1:1,1000,498.65,99.799,498.96,57099804.17,57099804.17,498.33,99.87,57099725.46,99.999,57060258.86,99.936,497.96,99.79,57099642.77,99.999,57018729.43,99.835,498.40,99.94,57089691.00,99.967,57089691.00,99.967,498.40,99.88,57089691.00,99.967,57089691.00,99.967
