stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1:1:1:1:1:1:1:1,2,0.95,4.242,0.95,552279.89,552279.89,0.39,35.15,345748.26,37.591,345748.26,37.591,0.39,35.15,345748.26,37.591,345748.26,37.591
Average,1:1:1:1:1:1:1:1:1,3,1.41,22.222,1.41,964328.21,964328.21,0.93,67.07,857909.28,77.318,857909.28,77.318,0.93,67.07,857909.28,77.318,857909.28,77.318
Average,1:1:1:1:1:1:1:1:1,4,1.91,41.464,1.91,1699188.75,1699188.75,1.44,76.81,1580113.20,88.571,1580113.20,88.571,1.44,76.81,1580113.20,88.571,1580113.20,88.571
Average,1:1:1:1:1:1:1:1:1,5,2.50,55.858,2.50,2332139.24,2332139.24,2.00,81.46,2273420.20,93.681,2273420.20,93.681,2.00,81.46,2273420.20,93.681,2273420.20,93.681
Average,1:1:1:1:1:1:1:1:1,10,4.93,79.072,4.93,4767904.27,4767904.27,4.47,91.00,4733174.26,97.838,4733174.26,97.838,4.47,91.00,4733174.26,97.838,4733174.26,97.838
Average,1:1:1:1:1:1:1:1:1,15,7.38,86.169,7.38,5966640.25,5966640.25,6.89,93.45,5905513.80,98.574,5905513.80,98.574,6.89,93.45,5905513.80,98.574,5905513.80,98.574
Average,1:1:1:1:1:1:1:1:1,25,12.49,91.894,12.49,10960354.51,10960354.51,11.96,95.73,10918372.49,99.294,10918372.49,99.294,11.96,95.73,10918372.49,99.294,10918372.49,99.294
Average,1:1:1:1:1:1:1:1:1,50,24.91,95.967,24.91,22167108.26,22167108.26,24.43,98.08,22132516.86,99.626,22132516.86,99.626,24.43,98.08,22132516.86,99.626,22132516.86,99.626
Average,1:1:1:1:1:1:1:1:1,100,49.27,97.965,49.27,44137063.96,44137063.96,48.73,98.91,44083879.58,99.801,44083879.58,99.801,48.73,98.91,44083879.58,99.801,44083879.58,99.801
Average,1:1:1:1:1:1:1:1:1,500,249.72,99.599,249.72,226843808.40,226843808.40,249.18,99.78,226792533.92,99.962,226792533.92,99.962,249.18,99.78,226792533.92,99.962,226792533.92,99.962
Average,1:1:1:1:1:1:1:1:1,1000,499.09,99.799,499.09,461130179.56,461130179.56,498.58,99.89,461094327.38,99.984,461094327.38,99.984,498.58,99.89,461094327.38,99.984,461094327.38,99.984
