stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,1.07,11.060,1.07,425.64,425.64,0.61,50.75,322.15,56.411,275.15,51.004,0.22,11.06,126.76,16.714,79.75,11.307,0.50,39.84,255.25,42.681,255.25,42.681,0.50,39.84,255.25,42.681,255.25,42.681
Average,1:1,3,1.49,25.858,1.49,633.67,633.67,1.04,67.22,544.91,76.517,484.47,69.947,0.53,25.85,335.06,38.489,215.07,26.012,0.96,60.40,481.03,65.494,481.03,65.494,0.96,60.40,481.03,65.494,481.03,65.494
Average,1:1,4,2.04,43.383,2.04,933.53,933.53,1.62,78.08,865.30,88.371,784.48,80.545,1.06,43.38,647.71,60.349,408.17,39.672,1.50,71.96,774.05,78.505,774.05,78.505,1.50,71.96,774.05,78.505,774.05,78.505
Average,1:1,5,2.50,55.020,2.50,1125.22,1125.22,2.06,81.45,1062.98,92.140,969.80,84.318,1.50,55.02,906.33,75.564,630.15,53.132,1.96,77.44,983.19,84.696,983.19,84.696,1.96,77.44,983.19,84.696,983.19,84.696
Average,1:1,10,4.90,77.719,4.90,2305.67,2305.67,4.47,91.34,2271.03,98.420,2130.06,92.492,3.90,77.71,2168.09,92.934,1710.20,72.999,4.42,90.38,2180.71,94.434,2180.71,94.434,4.42,90.38,2180.71,94.434,2180.71,94.434
Average,1:1,15,7.59,86.266,7.59,3722.06,3722.06,7.13,93.85,3694.04,99.192,3515.64,94.349,6.59,86.26,3629.55,97.409,3052.71,82.106,7.09,93.46,3591.81,96.418,3591.81,96.418,7.09,93.46,3591.81,96.418,3591.81,96.418
Average,1:1,25,12.49,91.807,12.49,6091.85,6091.85,12.02,96.20,6075.75,99.723,5893.22,96.674,11.49,91.80,6034.39,99.038,5398.15,88.647,11.99,96.05,5968.78,97.935,5968.78,97.935,11.99,96.05,5968.78,97.935,5968.78,97.935
Average,1:1,50,24.90,95.945,24.90,12324.21,12324.21,24.36,97.82,12315.21,99.925,12100.59,98.170,23.90,95.94,12297.95,99.786,11677.56,94.795,24.37,97.86,12190.65,98.905,12190.65,98.905,24.37,97.86,12190.65,98.905,12190.65,98.905
Average,1:1,100,49.93,97.987,49.93,24750.33,24750.33,49.41,98.95,24745.99,99.982,24532.79,99.127,48.93,97.98,24736.93,99.945,24084.72,97.324,49.37,98.87,24609.58,99.424,24609.58,99.424,49.37,98.87,24609.58,99.424,24609.58,99.424
Average,1:1,500,249.41,99.598,249.41,124298.24,124298.24,248.93,99.80,124297.29,99.999,124060.32,99.809,248.41,99.59,124295.27,99.997,123557.63,99.405,248.96,99.81,124185.40,99.908,124185.40,99.908,248.96,99.81,124185.40,99.908,124185.40,99.908
Average,1:1,1000,499.49,99.799,499.49,249277.52,249277.52,499.00,99.90,249277.02,99.999,249031.14,99.901,498.49,99.79,249275.98,99.999,248509.29,99.691,498.97,99.89,249147.13,99.947,249147.13,99.947,498.97,99.89,249147.13,99.947,249147.13,99.947
