stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:16,2,0.93,1.111,0.93,1592505.27,1592505.27,0.70,68.93,1500127.95,67.975,1500127.95,67.975,0.70,68.93,1500127.95,67.975,1500127.95,67.975
Average,1:16,3,1.46,15.909,1.46,2403953.94,2403953.94,1.20,83.53,2302504.42,87.549,2302504.42,87.549,1.20,83.53,2302504.42,87.549,2302504.42,87.549
Average,1:16,4,1.94,29.545,1.94,3112857.70,3112857.70,1.68,87.42,3040700.84,91.927,3040700.84,91.927,1.68,87.42,3040700.84,91.927,3040700.84,91.927
Average,1:16,5,2.48,40.696,2.48,4044455.73,4044455.73,2.19,89.29,3872489.67,94.786,3872489.67,94.786,2.19,89.29,3872489.67,94.786,3872489.67,94.786
Average,1:16,10,4.95,65.646,4.95,9510062.31,9510062.31,4.69,95.13,9424159.82,98.199,9424159.82,98.199,4.69,95.13,9424159.82,98.199,9424159.82,98.199
Average,1:16,15,7.46,76.027,7.46,14830258.72,14830258.72,7.20,96.62,14734996.61,98.851,14734996.61,98.851,7.20,96.62,14734996.61,98.851,14734996.61,98.851
Average,1:16,25,12.43,84.987,12.43,22633414.39,22633414.39,12.19,98.09,22560636.33,99.388,22560636.33,99.388,12.19,98.09,22560636.33,99.388,22560636.33,99.388
Average,1:16,50,25.22,92.335,25.23,48782035.77,48782035.77,24.92,98.80,48682811.27,99.652,48682811.27,99.652,24.92,98.79,48682811.27,99.652,48682811.27,99.652
Average,1:16,100,50.03,96.070,50.03,90630942.26,90630942.26,49.76,99.46,90551288.86,99.843,90551288.86,99.843,49.76,99.46,90551288.86,99.843,90551288.86,99.843
Average,1:16,500,249.76,99.201,249.82,461055166.29,461055166.29,249.63,99.94,460958779.08,99.971,460958779.08,99.971,249.63,99.92,460958779.08,99.971,460958779.08,99.971
Average,1:16,1000,499.82,99.600,499.98,914957675.13,914957675.13,499.86,100.00,914908771.14,99.986,914908771.14,99.986,499.86,99.97,914908771.14,99.986,914908771.14,99.986
