stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,1.00,8.416,1.00,99462.53,99462.53,0.55,47.32,78718.49,52.278,72033.09,48.801,0.16,8.43,26445.57,13.387,19760.16,9.910,0.50,41.90,73114.66,45.186,73114.66,45.186,0.50,41.88,73114.66,45.186,73114.66,45.186
Average,1:1,3,1.49,25.825,1.50,153730.59,153730.59,1.06,67.32,138517.86,76.970,128559.34,71.509,0.55,25.87,84633.28,39.341,60798.89,28.147,1.00,63.49,133663.29,70.596,133663.29,70.596,1.00,63.43,133663.29,70.596,133663.29,70.596
Average,1:1,4,2.00,42.169,2.00,212723.50,212723.50,1.55,76.42,200400.06,88.142,186611.81,81.472,1.01,42.21,155490.42,61.249,115374.05,44.049,1.50,73.93,195055.99,82.518,195055.99,82.518,1.50,73.87,195055.99,82.518,195055.99,82.518
Average,1:1,5,2.50,54.178,2.50,270429.08,270429.08,2.04,81.40,259941.93,93.354,244000.19,86.604,1.51,54.22,223881.60,75.289,170863.78,55.471,2.01,80.05,254827.91,88.772,254827.91,88.772,2.01,79.97,254827.91,88.772,254827.91,88.772
Average,1:1,10,5.00,78.786,5.01,558887.54,558887.54,4.53,90.50,553362.83,98.675,530989.22,93.767,4.01,78.80,537488.23,95.077,459738.60,78.633,4.51,90.08,546021.71,95.997,546021.71,95.997,4.51,90.01,546021.71,95.997,546021.71,95.997
Average,1:1,15,7.49,86.150,7.50,847313.36,847313.36,7.01,93.54,843537.95,99.406,818760.23,95.716,6.50,86.15,833900.20,97.928,750981.88,85.757,7.00,93.42,835807.10,97.581,835807.10,97.581,7.00,93.36,835807.10,97.581,835807.10,97.581
Average,1:1,25,12.50,91.834,12.51,1419560.02,1419560.02,12.02,96.05,1417303.94,99.788,1391227.47,97.395,11.51,91.83,1411862.75,99.281,1326241.18,91.454,12.01,96.08,1408508.69,98.660,1408508.69,98.660,12.01,96.01,1408508.69,98.660,1408508.69,98.660
Average,1:1,50,25.00,95.958,25.02,2844628.99,2844628.99,24.52,98.01,2843479.19,99.945,2815771.79,98.643,24.02,95.96,2840808.05,99.824,2750352.27,95.719,24.52,98.08,2834468.89,99.369,2834468.89,99.369,24.52,98.01,2834468.89,99.369,2834468.89,99.369
Average,1:1,100,49.94,97.987,49.98,5694352.37,5694352.37,49.47,98.98,5693748.18,99.986,5664156.26,99.308,48.98,97.98,5692458.05,99.956,5600304.91,97.842,49.47,99.06,5684509.26,99.689,5684509.26,99.689,49.47,98.98,5684509.26,99.689,5684509.26,99.689
Average,1:1,500,249.97,99.599,250.14,28623505.37,28623505.37,249.60,99.78,28623389.80,99.999,28594600.96,99.862,249.14,99.59,28623157.30,99.998,28536688.94,99.586,249.64,99.86,28614327.58,99.941,28614327.58,99.941,249.64,99.80,28614327.58,99.941,28614327.58,99.941
Average,1:1,1000,499.77,99.799,500.11,57244503.70,57244503.70,499.53,99.88,57244455.22,99.999,57220252.84,99.937,499.11,99.79,57244348.11,99.999,57166738.35,99.811,499.61,99.96,57235257.37,99.970,57235257.37,99.970,499.61,99.89,57235257.37,99.970,57235257.37,99.970
