stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,0.96,8.636,0.97,108869.71,108869.71,0.53,44.69,76783.50,49.012,66061.09,44.692,0.17,8.63,24844.91,12.952,14122.50,8.631,0.47,38.93,81735.11,41.366,81735.11,41.366,0.47,38.93,81735.11,41.366,81735.11,41.366
Average,1:1,3,1.50,26.161,1.50,162378.57,162378.57,1.04,64.64,141526.00,74.243,133516.25,68.911,0.55,26.16,88299.90,39.734,61046.12,28.379,0.99,61.46,139180.13,68.744,139180.13,68.744,0.99,61.46,139180.13,68.744,139180.13,68.744
Average,1:1,4,2.01,42.651,2.01,227917.94,227917.94,1.54,75.07,216517.90,87.549,199773.37,80.490,1.04,42.65,176581.96,61.815,134857.50,44.853,1.53,74.67,212447.01,83.490,212447.01,83.490,1.53,74.67,212447.01,83.490,212447.01,83.490
Average,1:1,5,2.53,54.545,2.53,295112.84,295112.84,2.06,81.51,282023.98,93.119,257132.61,85.768,1.54,54.57,251791.41,74.733,191891.96,54.724,2.03,80.30,279504.16,89.188,279504.16,89.188,2.03,80.22,279504.16,89.188,279504.16,89.188
Average,1:1,10,5.01,78.631,5.02,630283.84,630283.84,4.56,91.01,623883.62,98.888,596725.12,94.703,4.02,78.63,603435.36,94.642,504359.14,77.423,4.53,90.39,612537.26,95.959,612537.26,95.959,4.53,90.35,612537.26,95.959,612537.26,95.959
Average,1:1,15,7.51,86.144,7.52,808012.92,808012.92,7.03,93.44,804959.60,99.460,785028.80,96.206,6.52,86.14,793451.24,97.964,706093.96,85.973,6.99,92.97,797266.60,97.552,797266.60,97.552,6.99,92.94,797266.60,97.552,797266.60,97.552
Average,1:1,25,12.42,91.763,12.42,1325979.96,1325979.96,11.94,96.11,1324349.70,99.799,1305528.68,97.572,11.42,91.76,1319714.11,99.285,1249954.82,91.562,11.93,96.03,1315017.24,98.665,1315017.24,98.665,11.93,96.00,1315017.24,98.665,1315017.24,98.665
Average,1:1,50,25.19,95.991,25.20,2656702.44,2656702.44,24.72,98.06,2655909.33,99.947,2636913.96,98.706,24.20,95.99,2652883.65,99.821,2561963.38,95.646,24.70,98.05,2648009.86,99.356,2648009.86,99.356,24.70,97.99,2648009.86,99.356,2648009.86,99.356
Average,1:1,100,50.08,97.994,50.13,5848042.82,5848042.82,49.63,98.99,5847597.50,99.987,5825856.87,99.392,49.13,97.99,5846234.63,99.958,5756745.12,97.905,49.63,99.09,5837771.17,99.691,5837771.17,99.691,49.63,98.99,5837771.17,99.691,5837771.17,99.691
Average,1:1,500,249.80,99.599,249.96,29068040.49,29068040.49,249.43,99.78,29067938.34,99.999,29042407.76,99.860,248.96,99.59,29067697.86,99.998,28981609.19,99.574,249.52,99.88,29060841.37,99.947,29060841.37,99.947,249.52,99.82,29060841.37,99.947,29060841.37,99.947
Average,1:1,1000,499.34,99.799,499.66,56998084.77,56998084.77,499.12,99.89,56998045.03,99.999,56978518.36,99.936,498.66,99.79,56997926.46,99.999,56918983.30,99.799,499.14,99.95,56986971.91,99.968,56986971.91,99.968,499.14,99.89,56986971.91,99.968,56986971.91,99.968
