stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,1.00,8.181,1.00,391.54,391.54,0.54,46.66,294.41,51.538,265.56,48.228,0.16,8.18,93.51,13.053,64.66,9.743,0.47,39.09,228.24,41.249,228.24,41.249,0.47,39.09,228.24,41.249,228.24,41.249
Average,1:1,3,1.47,24.949,1.47,619.90,619.90,1.06,67.82,550.11,76.565,506.03,71.514,0.53,24.94,319.14,37.339,213.58,26.093,1.02,65.70,498.32,70.822,498.32,70.822,1.02,65.70,498.32,70.822,498.32,70.822
Average,1:1,4,1.95,40.555,1.95,877.56,877.56,1.53,78.03,803.39,87.843,727.90,80.669,0.95,40.55,588.35,57.183,376.86,37.984,1.46,73.43,740.50,78.793,740.50,78.793,1.46,73.43,740.50,78.793,740.50,78.793
Average,1:1,5,2.44,52.499,2.44,1093.97,1093.97,1.97,80.10,1028.03,91.149,933.09,83.150,1.44,52.49,861.38,71.658,588.41,50.047,1.90,76.89,944.81,83.278,944.81,83.278,1.90,76.89,944.81,83.278,944.81,83.278
Average,1:1,10,5.03,78.993,5.03,2399.16,2399.16,4.57,91.06,2360.33,98.306,2200.67,91.878,4.03,78.99,2266.49,94.061,1772.49,73.803,4.52,90.01,2267.98,94.343,2267.98,94.343,4.52,90.01,2267.98,94.343,2267.98,94.343
Average,1:1,15,7.53,86.165,7.53,3676.37,3676.37,7.04,93.56,3647.56,99.180,3458.43,94.076,6.53,86.16,3582.92,97.344,2996.73,81.589,7.03,93.48,3548.84,96.441,3548.84,96.441,7.03,93.48,3548.84,96.441,3548.84,96.441
Average,1:1,25,12.53,91.847,12.53,6187.20,6187.20,12.01,95.83,6166.72,99.663,5930.77,95.879,11.53,91.84,6130.40,99.055,5492.13,88.709,12.02,95.91,6053.20,97.832,6053.20,97.832,12.02,95.91,6053.20,97.832,6053.20,97.832
Average,1:1,50,25.06,95.971,25.06,12384.75,12384.75,24.53,97.90,12375.16,99.923,12141.15,98.069,24.06,95.97,12355.07,99.758,11654.24,94.120,24.50,97.80,12243.13,98.856,12243.13,98.856,24.50,97.80,12243.13,98.856,12243.13,98.856
Average,1:1,100,50.02,97.990,50.02,24925.74,24925.74,49.50,98.95,24920.73,99.979,24677.64,98.989,49.02,97.99,24910.37,99.937,24167.38,96.932,49.51,98.98,24798.02,99.483,24798.02,99.483,49.51,98.98,24798.02,99.483,24798.02,99.483
Average,1:1,500,250.30,99.600,250.30,124985.04,124985.04,249.81,99.80,124984.06,99.999,124740.39,99.805,249.30,99.60,124982.05,99.997,124235.28,99.401,249.79,99.79,124857.71,99.898,124857.71,99.898,249.79,99.79,124857.71,99.898,124857.71,99.898
Average,1:1,1000,500.96,99.800,500.96,249865.95,249865.95,500.46,99.90,249865.53,99.999,249653.34,99.914,499.96,99.80,249864.59,99.999,249184.19,99.727,500.42,99.89,249732.45,99.946,249732.45,99.946,500.42,99.89,249732.45,99.946,249732.45,99.946
