stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1:1:1:1:1:1:1:1,2,0.92,3.939,0.92,593617.82,593617.82,0.43,39.09,438304.47,41.423,438304.47,41.423,0.43,39.09,438304.47,41.423,438304.47,41.423
Average,1:1:1:1:1:1:1:1:1,3,1.42,22.878,1.42,1052040.26,1052040.26,0.92,63.78,935802.07,73.441,935802.07,73.441,0.92,63.78,935802.07,73.441,935802.07,73.441
Average,1:1:1:1:1:1:1:1:1,4,1.93,41.767,1.93,1601750.39,1601750.39,1.45,76.36,1514789.79,87.594,1514789.79,87.594,1.45,76.36,1514789.79,87.594,1514789.79,87.594
Average,1:1:1:1:1:1:1:1:1,5,2.40,53.914,2.40,1917700.78,1917700.78,1.88,79.01,1827274.62,91.542,1827274.62,91.542,1.88,79.01,1827274.62,91.542,1827274.62,91.542
Average,1:1:1:1:1:1:1:1:1,10,4.96,79.073,4.96,4232331.25,4232331.25,4.49,90.76,4184855.45,97.707,4184855.45,97.707,4.49,90.76,4184855.45,97.707,4184855.45,97.707
Average,1:1:1:1:1:1:1:1:1,15,7.45,86.260,7.45,7266331.99,7266331.99,6.93,93.16,7206385.88,98.363,7206385.88,98.363,6.93,93.16,7206385.88,98.363,7206385.88,98.363
Average,1:1:1:1:1:1:1:1:1,25,12.41,91.828,12.41,11154668.73,11154668.73,11.92,96.12,11099240.46,99.227,11099240.46,99.227,11.92,96.12,11099240.46,99.227,11099240.46,99.227
Average,1:1:1:1:1:1:1:1:1,50,24.95,95.970,24.95,22333747.89,22333747.89,24.42,97.88,22293055.21,99.605,22293055.21,99.605,24.42,97.88,22293055.21,99.605,22293055.21,99.605
Average,1:1:1:1:1:1:1:1:1,100,49.59,97.977,49.59,47187481.75,47187481.75,49.11,99.05,47142599.65,99.818,47142599.65,99.818,49.11,99.05,47142599.65,99.818,47142599.65,99.818
Average,1:1:1:1:1:1:1:1:1,500,249.13,99.598,249.15,227559485.33,227559485.33,248.61,99.78,227517653.18,99.965,227517653.18,99.965,248.61,99.78,227517653.18,99.965,227517653.18,99.965
Average,1:1:1:1:1:1:1:1:1,1000,499.26,99.799,499.27,458468421.38,458468421.38,498.81,99.90,458430024.37,99.984,458430024.37,99.984,498.81,99.90,458430024.37,99.984,458430024.37,99.984
