stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:16,2,0.99,2.242,0.99,673619.16,673619.16,0.72,68.93,581820.29,68.250,581820.29,68.250,0.72,68.93,581820.29,68.250,581820.29,68.250
Average,1:16,3,1.48,16.090,1.48,1068442.35,1068442.35,1.20,84.04,965003.36,86.656,965003.36,86.656,1.20,84.04,965003.36,86.656,965003.36,86.656
Average,1:16,4,1.97,30.048,1.97,1463964.12,1463964.12,1.69,86.86,1354827.77,90.756,1354827.77,90.756,1.69,86.86,1354827.77,90.756,1354827.77,90.756
Average,1:16,5,2.50,40.976,2.50,1889029.13,1889029.13,2.23,90.16,1783675.81,93.689,1783675.81,93.689,2.23,90.16,1783675.81,93.689,1783675.81,93.689
Average,1:16,10,4.99,65.945,4.99,3867248.92,3867248.92,4.72,94.75,3760806.82,97.100,3760806.82,97.100,4.72,94.75,3760806.82,97.100,3760806.82,97.100
Average,1:16,15,7.47,76.038,7.47,5840269.60,5840269.60,7.20,96.43,5733053.49,98.101,5733053.49,98.101,7.20,96.43,5733053.49,98.101,5733053.49,98.101
Average,1:16,25,12.51,85.060,12.51,9874367.58,9874367.58,12.23,97.83,9763712.05,98.862,9763712.05,98.862,12.23,97.83,9763712.05,98.862,9763712.05,98.862
Average,1:16,50,24.97,92.261,24.97,19854690.78,19854690.78,24.71,98.94,19749929.19,99.467,19749929.19,99.467,24.71,98.94,19749929.19,99.467,19749929.19,99.467
Average,1:16,100,49.89,96.060,49.89,39846495.83,39846495.83,49.64,99.49,39744454.73,99.742,39744454.73,99.742,49.64,99.49,39744454.73,99.742,39744454.73,99.742
Average,1:16,500,249.85,99.202,249.85,199906149.31,199906149.31,249.59,99.89,199801893.02,99.947,199801893.02,99.947,249.59,99.89,199801893.02,99.947,199801893.02,99.947
Average,1:16,1000,499.82,99.600,499.82,399644509.90,399644509.90,499.55,99.94,399537829.37,99.973,399537829.37,99.973,499.55,99.94,399537829.37,99.973,399537829.37,99.973
