stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,0.98,7.893,0.98,98058.57,98058.57,0.54,46.46,78185.02,51.175,71454.98,47.987,0.15,7.89,27883.28,12.599,21153.23,9.411,0.47,39.80,71722.03,42.983,71722.03,42.983,0.47,39.80,71722.03,42.983,71722.03,42.983
Average,1:1,3,1.49,25.333,1.49,149237.70,149237.70,1.04,66.71,134215.26,76.176,126078.32,70.573,0.54,25.36,77489.80,38.378,56348.85,27.339,0.99,63.49,129369.25,70.268,129369.25,70.268,0.99,63.45,129369.25,70.268,129369.25,70.268
Average,1:1,4,2.00,42.080,2.00,211532.93,211532.93,1.54,75.95,197909.82,87.734,183908.54,81.261,1.02,42.09,158843.74,61.279,121935.25,44.662,1.49,73.21,192423.83,82.086,192423.83,82.086,1.49,73.20,192423.83,82.086,192423.83,82.086
Average,1:1,5,2.52,54.317,2.52,279695.23,279695.23,2.06,81.59,267902.30,93.521,248972.17,86.821,1.52,54.34,231288.75,75.438,174056.93,55.957,2.01,79.47,263992.83,88.519,263992.83,88.519,2.01,79.42,263992.83,88.519,263992.83,88.519
Average,1:1,10,5.01,78.766,5.01,559178.81,559178.81,4.55,90.87,553558.46,98.691,530315.62,93.810,4.01,78.78,538628.56,94.901,462929.52,78.079,4.53,90.51,546820.63,96.218,546820.63,96.218,4.53,90.46,546820.63,96.218,546820.63,96.218
Average,1:1,15,7.51,86.182,7.51,844354.82,844354.82,7.03,93.59,840773.05,99.401,816870.45,95.670,6.51,86.19,831157.89,97.930,749069.63,85.757,7.02,93.50,832282.26,97.617,832282.26,97.617,7.02,93.44,832282.26,97.617,832282.26,97.617
Average,1:1,25,12.50,91.825,12.51,1384714.29,1384714.29,12.02,96.11,1382474.88,99.791,1355916.67,97.421,11.51,91.82,1377135.23,99.275,1291519.74,91.349,12.00,95.96,1373569.39,98.622,1373569.39,98.622,12.00,95.92,1373569.39,98.622,1373569.39,98.622
Average,1:1,50,24.96,95.953,24.98,2832518.89,2832518.89,24.46,97.93,2831486.79,99.945,2806865.60,98.644,23.98,95.95,2829109.15,99.826,2748833.56,95.777,24.47,98.02,2821744.70,99.347,2821744.70,99.347,24.47,97.95,2821744.70,99.347,2821744.70,99.347
Average,1:1,100,49.93,97.987,49.97,5685688.87,5685688.87,49.48,99.00,5685166.50,99.986,5659258.89,99.322,48.97,97.98,5683821.37,99.955,5592550.84,97.792,49.47,99.06,5676014.45,99.687,5676014.45,99.687,49.47,98.98,5676014.45,99.687,5676014.45,99.687
Average,1:1,500,249.82,99.599,249.99,28611774.08,28611774.08,249.44,99.78,28611652.80,99.999,28581469.19,99.860,248.99,99.59,28611428.16,99.998,28525313.89,99.581,249.50,99.87,28602485.64,99.941,28602485.64,99.941,249.50,99.80,28602485.64,99.941,28602485.64,99.941
Average,1:1,1000,499.72,99.799,500.04,57114132.05,57114132.05,499.48,99.88,57114084.34,99.999,57090206.87,99.938,499.04,99.79,57113974.75,99.999,57035494.89,99.804,499.55,99.96,57104885.53,99.971,57104885.53,99.971,499.55,99.90,57104885.53,99.971,57104885.53,99.971
