stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,1.00,7.939,1.00,39340.81,39340.81,0.57,49.93,30114.29,54.357,27119.98,50.837,0.15,7.93,9266.65,12.357,6272.35,8.837,0.50,42.06,24488.88,44.199,24488.88,44.199,0.50,42.06,24488.88,44.199,24488.88,44.199
Average,1:1,3,1.51,26.666,1.51,64563.84,64563.84,1.09,68.19,56912.61,76.909,51585.22,70.869,0.56,26.66,34291.27,39.334,22065.96,26.598,1.00,62.99,49741.38,68.105,49741.38,68.105,1.00,62.99,49741.38,68.105,49741.38,68.105
Average,1:1,4,1.99,41.931,1.99,88688.37,88688.37,1.56,77.39,81869.18,88.009,73954.76,80.257,1.00,41.94,61212.94,59.326,39780.37,40.062,1.50,74.41,75138.43,80.502,75138.43,80.502,1.50,74.40,75138.43,80.502,75138.43,80.502
Average,1:1,5,2.49,54.163,2.49,114031.89,114031.89,2.06,82.29,108193.00,92.842,98878.70,85.222,1.50,54.16,90187.32,73.270,60860.29,50.459,1.99,79.40,100016.64,85.548,100016.64,85.548,1.99,79.40,100016.64,85.548,100016.64,85.548
Average,1:1,10,5.02,78.835,5.02,240208.30,240208.30,4.55,90.74,236298.87,98.292,220161.24,91.721,4.02,78.83,226572.86,93.829,176029.97,73.041,4.52,90.10,226919.87,94.203,226919.87,94.203,4.52,90.09,226919.87,94.203,226919.87,94.203
Average,1:1,15,7.51,86.171,7.51,361051.60,361051.60,7.01,93.36,358097.67,99.154,338761.48,93.851,6.51,86.17,351989.70,97.385,295941.97,81.956,7.01,93.34,348204.03,96.319,348204.03,96.319,7.01,93.34,348204.03,96.319,348204.03,96.319
Average,1:1,25,12.47,91.813,12.47,611100.03,611100.03,11.98,96.04,609257.02,99.692,588071.80,96.237,11.47,91.81,605443.63,99.054,542312.32,88.747,11.97,95.99,598386.26,97.881,598386.26,97.881,11.97,95.99,598386.26,97.881,598386.26,97.881
Average,1:1,50,25.02,95.961,25.02,1238803.05,1238803.05,24.52,98.03,1237879.80,99.924,1215745.54,98.139,24.02,95.96,1235877.69,99.761,1166689.15,94.185,24.52,98.03,1226342.94,98.989,1226342.94,98.989,24.52,98.03,1226342.94,98.989,1226342.94,98.989
Average,1:1,100,49.94,97.987,49.94,2486981.71,2486981.71,49.44,99.01,2486508.26,99.980,2463356.55,99.054,48.94,97.98,2485494.44,99.940,2413182.59,97.038,49.45,99.01,2474591.74,99.498,2474591.74,99.498,49.45,99.01,2474591.74,99.498,2474591.74,99.498
Average,1:1,500,249.95,99.599,249.95,12487736.41,12487736.41,249.44,99.79,12487634.88,99.999,12462376.76,99.796,248.95,99.59,12487444.08,99.997,12414744.22,99.415,249.44,99.79,12474782.73,99.896,12474782.73,99.896,249.44,99.79,12474782.73,99.896,12474782.73,99.896
Average,1:1,1000,499.99,99.799,500.00,24973524.33,24973524.33,499.50,99.90,24973475.77,99.999,24949228.77,99.902,499.00,99.79,24973377.61,99.999,24900224.17,99.706,499.50,99.90,24960977.21,99.949,24960977.21,99.949,499.50,99.89,24960977.21,99.949,24960977.21,99.949
