stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,1.00,8.696,1.01,98239.47,98239.47,0.56,47.84,77887.09,52.981,71453.76,49.387,0.17,8.72,25560.11,13.860,19126.78,10.266,0.50,41.75,73393.54,45.183,73393.54,45.183,0.50,41.75,73393.61,45.201,73393.61,45.201
Average,1:1,3,1.48,25.353,1.48,165870.35,165870.35,1.04,66.97,147870.57,76.662,137009.45,71.355,0.53,25.35,94930.32,38.722,70478.44,27.839,0.98,62.65,143870.75,69.751,143870.75,69.751,0.98,62.64,143868.54,69.748,143868.54,69.748
Average,1:1,4,1.98,41.707,1.98,217291.01,217291.01,1.53,75.97,204019.91,87.518,190072.41,80.769,1.00,41.79,158051.91,60.586,116690.74,43.354,1.48,73.92,200584.92,82.730,200584.92,82.730,1.48,73.88,200837.20,82.727,200837.20,82.727
Average,1:1,5,2.50,53.810,2.50,267834.60,267834.60,2.05,81.53,258475.28,93.331,243092.50,86.616,1.51,53.83,222110.23,74.798,171612.46,55.468,2.01,79.77,250585.78,88.472,250585.78,88.472,2.01,79.80,251602.09,88.493,251602.09,88.493
Average,1:1,10,4.99,78.785,5.00,545030.74,545030.74,4.51,90.27,539960.26,98.590,519339.55,93.372,4.00,78.80,525408.64,94.985,452491.99,78.213,4.50,90.11,532701.28,96.100,532701.28,96.100,4.51,90.16,532823.39,96.138,532823.39,96.138
Average,1:1,15,7.47,86.098,7.48,844208.53,844208.53,6.99,93.53,840387.93,99.395,815591.87,95.642,6.48,86.10,830443.38,97.899,745859.81,85.662,6.97,93.29,831308.87,97.522,831308.87,97.522,6.98,93.34,832065.99,97.563,832065.99,97.563
Average,1:1,25,12.45,91.799,12.46,1424181.81,1424181.81,11.99,96.20,1422371.54,99.798,1401330.05,97.559,11.46,91.80,1416828.72,99.295,1334557.90,91.654,11.94,95.91,1412472.34,98.596,1412472.34,98.596,11.96,95.98,1413383.60,98.630,1413383.60,98.630
Average,1:1,50,24.99,95.956,25.01,2844774.67,2844774.67,24.51,98.03,2843613.21,99.947,2815299.73,98.694,24.01,95.95,2841109.70,99.824,2754205.68,95.712,24.48,97.94,2832728.64,99.338,2832728.64,99.338,24.51,98.00,2834636.59,99.365,2834636.59,99.365
Average,1:1,100,49.89,97.985,49.92,5709166.21,5709166.21,49.42,98.99,5708570.08,99.985,5679382.13,99.304,48.92,97.98,5707130.32,99.955,5607736.02,97.809,49.36,98.95,5697588.82,99.663,5697588.82,99.663,49.43,99.02,5699849.32,99.698,5699849.32,99.698
Average,1:1,500,250.01,99.599,250.19,28627527.45,28627527.45,249.65,99.78,28627428.04,99.999,28602588.61,99.868,249.19,99.59,28627186.15,99.998,28542203.47,99.582,249.36,99.74,28597608.38,99.909,28597608.38,99.909,249.70,99.80,28618812.89,99.942,28618812.89,99.942
Average,1:1,1000,500.15,99.799,500.49,57417876.71,57417876.71,499.91,99.88,57417829.55,99.999,57394194.17,99.942,499.49,99.80,57417717.96,99.999,57338512.72,99.812,499.33,99.83,57369089.35,99.937,57369089.35,99.937,499.98,99.89,57408740.81,99.969,57408740.81,99.969
