stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,2:2,2,0.99,1.414,0.99,82258.70,82258.70,0.50,47.87,48633.31,45.798,48633.31,45.798,0.50,47.87,48666.22,45.815,48666.22,45.815
Average,2:2,3,1.53,17.878,1.53,137027.28,137027.28,1.02,69.34,106202.37,73.694,106202.37,73.694,1.02,69.34,105492.02,73.365,105492.02,73.365
Average,2:2,4,1.95,29.393,1.95,182555.62,182555.62,1.51,79.19,150454.23,81.044,150454.23,81.044,1.51,79.19,150772.10,81.366,150772.10,81.366
Average,2:2,5,2.50,40.878,2.50,236049.53,236049.53,1.99,80.93,203029.40,85.002,203029.40,85.002,1.99,80.93,202129.75,84.676,202129.75,84.676
Average,2:2,10,4.96,65.665,4.96,481918.54,481918.54,4.46,89.93,445960.39,92.217,445960.39,92.217,4.46,89.93,445228.33,92.098,445228.33,92.098
Average,2:2,15,7.54,76.287,7.54,755975.57,755975.57,7.06,93.66,721450.32,95.305,721450.32,95.305,7.06,93.66,721978.25,95.376,721978.25,95.376
Average,2:2,25,12.45,85.016,12.45,1234288.71,1234288.71,11.92,95.75,1196614.11,96.889,1196614.11,96.889,11.92,95.75,1197039.90,96.928,1197039.90,96.928
Average,2:2,50,25.19,92.328,25.19,2506142.85,2506142.85,24.67,97.93,2467971.05,98.473,2467971.05,98.473,24.67,97.93,2468944.11,98.510,2468944.11,98.510
Average,2:2,100,49.81,96.055,49.81,4955839.57,4955839.57,49.35,99.07,4920516.42,99.286,4920516.42,99.286,49.35,99.07,4920618.15,99.288,4920618.15,99.288
Average,2:2,500,250.03,99.202,250.03,24988788.36,24988788.36,249.50,99.78,24952794.58,99.855,24952794.58,99.855,249.50,99.78,24952389.10,99.854,24952389.10,99.854
Average,2:2,1000,499.49,99.600,499.49,49909461.91,49909461.91,499.01,99.90,49872949.45,99.926,49872949.45,99.926,499.01,99.90,49873540.83,99.928,49873540.83,99.928
