stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,2:2:2,2,0.96,0.404,0.96,349543.29,349543.29,0.44,43.63,259507.72,42.801,259507.72,42.801,0.44,43.63,258651.98,42.627,258651.98,42.627
Average,2:2:2,3,1.44,14.747,1.44,719912.96,719912.96,0.98,71.21,596146.29,77.121,596146.29,77.121,0.98,71.21,586517.49,75.236,586517.49,75.236
Average,2:2:2,4,1.97,30.505,1.97,816146.15,816146.15,1.53,79.09,717372.98,84.554,717372.98,84.554,1.53,79.09,697545.34,83.507,697545.34,83.507
Average,2:2:2,5,2.55,42.161,2.55,1136339.75,1136339.75,1.99,79.19,1032685.99,88.031,1032685.99,88.031,1.99,79.19,975908.91,85.608,975908.91,85.608
Average,2:2:2,10,4.99,66.098,4.99,2437923.11,2437923.11,4.47,89.89,2313209.83,94.269,2313209.83,94.269,4.47,89.89,2300234.92,93.615,2300234.92,93.615
Average,2:2:2,15,7.46,76.104,7.46,3492575.40,3492575.40,6.91,92.68,3389722.18,96.001,3389722.18,96.001,6.91,92.68,3372596.76,95.359,3372596.76,95.359
Average,2:2:2,25,12.39,84.962,12.39,5666794.44,5666794.44,11.90,96.12,5593357.96,98.096,5593357.96,98.096,11.90,96.12,5553112.95,97.514,5553112.95,97.514
Average,2:2:2,50,24.99,92.278,25.00,12047386.92,12047386.92,24.47,97.92,11947220.94,98.895,11947220.94,98.895,24.47,97.90,11922045.03,98.696,11922045.03,98.696
Average,2:2:2,100,49.82,96.058,49.82,22529348.92,22529348.92,49.32,98.99,22434085.74,99.493,22434085.74,99.493,49.32,98.99,22393765.90,99.381,22393765.90,99.381
Average,2:2:2,500,249.93,99.202,249.96,114139029.29,114139029.29,249.46,99.81,114033898.06,99.890,114033898.06,99.890,249.46,99.79,114006079.32,99.873,114006079.32,99.873
Average,2:2:2,1000,499.30,99.600,499.34,230395216.52,230395216.52,498.83,99.90,230307340.92,99.942,230307340.92,99.942,498.83,99.89,230267488.74,99.935,230267488.74,99.935
