stockname,recipe,numpossibletrades,optimalcount,gftratioformula,optimalcountwithgftzero,optimalgft,optimalgftwithgftzero,McAfeecount,McAfeecountratio,McAfeetotalgft,McAfeetotalgftratio,McAfeemarketgft,McAfeemarketgftratio,McAfeeWithoutHeuristiccount,McAfeeWithoutHeuristiccountratio,McAfeeWithoutHeuristictotalgft,McAfeeWithoutHeuristictotalgftratio,McAfeeWithoutHeuristicmarketgft,McAfeeWithoutHeuristicmarketgftratio,SBBExternalCompetitioncount,SBBExternalCompetitioncountratio,SBBExternalCompetitiontotalgft,SBBExternalCompetitiontotalgftratio,SBBExternalCompetitionmarketgft,SBBExternalCompetitionmarketgftratio,SBBAscendingPricescount,SBBAscendingPricescountratio,SBBAscendingPricestotalgft,SBBAscendingPricestotalgftratio,SBBAscendingPricesmarketgft,SBBAscendingPricesmarketgftratio
Average,1:1,2,0.93,7.272,0.94,74039.47,74039.47,0.50,42.72,67531.72,47.623,64896.45,44.944,0.15,7.57,22133.61,12.472,19498.34,9.792,0.47,40.60,51411.33,43.552,51411.33,43.552,0.47,40.30,51411.33,43.552,51411.33,43.552
Average,1:1,3,1.51,26.868,1.51,139836.50,139836.50,1.06,65.65,123439.08,75.923,112960.36,70.158,0.58,26.86,90453.97,41.075,73326.83,30.158,1.02,63.53,115462.99,70.994,115462.99,70.994,1.02,63.53,115462.99,70.994,115462.99,70.994
Average,1:1,4,1.97,41.010,1.97,206917.09,206917.09,1.48,75.15,192300.70,88.047,176411.87,80.365,0.98,41.01,134177.73,59.888,100517.51,43.439,1.43,71.81,184278.90,80.558,184278.90,80.558,1.43,71.81,184278.90,80.558,184278.90,80.558
Average,1:1,5,2.40,52.171,2.40,305662.98,305662.98,1.98,82.52,290308.10,93.008,260529.24,86.739,1.41,52.17,254828.46,73.657,185595.29,54.784,1.93,79.59,290231.85,88.337,290231.85,88.337,1.93,79.59,290231.85,88.337,290231.85,88.337
Average,1:1,10,4.96,78.383,4.96,669572.48,669572.48,4.36,88.26,663467.90,98.326,636015.70,92.409,3.96,78.39,646030.81,95.062,563801.38,80.053,4.39,88.85,651551.47,95.406,651551.47,95.406,4.39,88.76,651551.47,95.406,651551.47,95.406
Average,1:1,15,7.67,86.503,7.67,785564.46,785564.46,7.20,93.68,780851.04,99.442,749726.69,96.019,6.67,86.50,776004.55,98.110,715157.95,86.667,7.10,92.56,771518.79,97.127,771518.79,97.127,7.10,92.56,771518.79,97.127,771518.79,97.127
Average,1:1,25,12.49,91.795,12.50,1458748.77,1458748.77,12.06,96.35,1456972.05,99.784,1436644.64,97.389,11.50,91.80,1447426.99,99.214,1321440.13,90.608,12.02,96.16,1447008.94,98.595,1447008.94,98.595,12.02,96.05,1447008.94,98.595,1447008.94,98.595
Average,1:1,50,24.87,95.929,24.89,2714308.42,2714308.42,24.45,98.22,2713198.48,99.943,2687509.82,98.626,23.89,95.93,2710394.54,99.797,2617827.98,95.067,24.47,98.39,2705780.32,99.425,2705780.32,99.425,24.47,98.31,2705780.32,99.425,2705780.32,99.425
Average,1:1,100,49.76,97.981,49.78,5821500.44,5821500.44,49.35,99.13,5821010.27,99.982,5796855.07,99.120,48.78,97.98,5819595.67,99.948,5725601.90,97.452,49.33,99.13,5810914.71,99.728,5810914.71,99.728,49.33,99.09,5810914.71,99.728,5810914.71,99.728
Average,1:1,500,248.66,99.597,248.87,28266402.32,28266402.32,248.42,99.82,28266310.58,99.999,28243412.93,99.876,247.87,99.59,28266043.95,99.998,28177361.17,99.535,248.40,99.89,28257872.77,99.942,28257872.77,99.942,248.40,99.81,28257872.77,99.942,28257872.77,99.942
Average,1:1,1000,500.06,99.799,500.39,57593129.54,57593129.54,499.82,99.88,57593034.23,99.999,57545624.98,99.937,499.39,99.80,57592969.30,99.999,57513435.35,99.832,499.94,99.97,57585961.67,99.973,57585961.67,99.973,499.94,99.91,57585961.67,99.973,57585961.67,99.973
